kategoria;narocnost;otazka;odpoved
Cudzie jazyky;1;Aký jazyk sa hovorí v Španielsku?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Taliansku?;Taliančina  
Cudzie jazyky;1;Aký jazyk sa používa v Japonsku?;Japončina  
Cudzie jazyky;1;Ktorý jazyk je najrozšírenejší na svete?;Angličtina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Nemecku?;Nemčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Rusku?;Ruština  
Cudzie jazyky;1;Aký jazyk sa hovorí v Číne?;Čínština  
Cudzie jazyky;1;Ktorý jazyk je úradný v Francúzsku?;Francúzština  
Cudzie jazyky;1;Aký jazyk majú v Brazílii?;Portugalčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Egypte?;Arabčina  
Cudzie jazyky;1;Aký jazyk je oficiálny v Indii?;Hindučina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Holandsku?;Holandčina  
Cudzie jazyky;1;Aký jazyk hovorí väčšina ľudí v Argentíne?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Mexiku?;Španielčina  
Cudzie jazyky;1;Aký jazyk je úradný v Kórei?;Kórejčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Turecku?;Turečtina  
Cudzie jazyky;1;Aký jazyk hovorí väčšina ľudí v Južnej Afrike?;Afrikánčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Fínsku?;Fínčina  
Cudzie jazyky;1;Aký jazyk sa používa v Dánsku?;Dánčina  
Cudzie jazyky;1;Ktorý jazyk hovorí väčšina ľudí v Švédsku?;Švédčina  
Cudzie jazyky;1;Aký jazyk je úradný v Maďarsku?;Maďarčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Rakúsku?;Nemčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Nórsku?;Nórčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Belgicku?;Holandčina  
Cudzie jazyky;1;Aký jazyk je úradný v Izraeli?;Hebrejčina  
Cudzie jazyky;1;Ktorý jazyk hovorí väčšina ľudí na Filipínach?;Filipínčina  
Cudzie jazyky;1;Aký jazyk je oficiálny v Thajsku?;Thajčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Vietname?;Vietnamsčina  
Cudzie jazyky;1;Aký jazyk je úradný v Malajzii?;Malajčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Kolumbii?;Španielčina  
Cudzie jazyky;1;Aký jazyk sa používa v Kene?;Swahilčina  
Cudzie jazyky;1;Ktorý jazyk hovorí väčšina ľudí v Kazachstane?;Kazaština  
Cudzie jazyky;1;Aký jazyk je úradný v Sýrii?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí na Jamajke?;Angličtina  
Cudzie jazyky;1;Aký jazyk je oficiálny v Srbsku?;Srbčina  
Cudzie jazyky;1;Ktorý jazyk sa používa na Islande?;Islandčina  
Cudzie jazyky;1;Aký jazyk je úradný v Gruzínsku?;Gruzínčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí na Novom Zélande?;Maorčina  
Cudzie jazyky;1;Aký jazyk je úradný v Zambii?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Ugande?;Angličtina  
Cudzie jazyky;1;Aký jazyk je úradný v Paname?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Barmě?;Barmčina  
Cudzie jazyky;1;Aký jazyk je úradný v Nepále?;Nepálčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Kosove?;Albánčina  
Cudzie jazyky;1;Aký jazyk je úradný v Kube?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Mjanmarsku?;Barmčina
Cudzie jazyky;1;Aký jazyk sa hovorí v Austrálii?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Kanade?;Francúzština  
Cudzie jazyky;1;Aký jazyk sa hovorí v Portugalsku?;Portugalčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Belgicku?;Nizozemčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Rakúsku?;Nemčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Sýrii?;Arabčina  
Cudzie jazyky;1;Aký jazyk je úradný v Južnej Afrike?;Afrikánčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Alžírsku?;Arabčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Taliansku?;Taliančina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Rwande?;Kinyarwanda  
Cudzie jazyky;1;Aký jazyk je oficiálny v Egypte?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk hovorí väčšina ľudí v Indonézii?;Bahasa  
Cudzie jazyky;1;Aký jazyk je úradný v Monaku?;Francúzština  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Mauríciu?;Angličtina  
Cudzie jazyky;1;Aký jazyk sa používa v Kambodži?;Khmerčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Taliansku?;Taliančina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Švajčiarsku?;Nemčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Bahrajne?;Arabčina  
Cudzie jazyky;1;Aký jazyk je úradný v Kórei?;Kórejčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Zambii?;Bemba  
Cudzie jazyky;1;Aký jazyk sa používa v Guyane?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Mozambiku?;Portugalčina  
Cudzie jazyky;1;Aký jazyk hovorí väčšina ľudí v Nemecku?;Nemčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Bahamských ostrovoch?;Angličtina  
Cudzie jazyky;1;Aký jazyk je oficiálny v Pobreží slonoviny?;Francúzština  
Cudzie jazyky;1;Ktorý jazyk sa používa v Angole?;Portugalčina  
Cudzie jazyky;1;Aký jazyk sa hovorí na Malte?;Maltčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Nigeri?;Hausa  
Cudzie jazyky;1;Aký jazyk sa používa v Senegale?;Francúzština  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Suriname?;Holandčina  
Cudzie jazyky;1;Aký jazyk je úradný v Súdáne?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Eritrei?;Tigrinya  
Cudzie jazyky;1;Aký jazyk sa hovorí v Zelená Hora?;Čiernohorský  
Cudzie jazyky;1;Ktorý jazyk je úradný v Libanone?;Arabčina  
Cudzie jazyky;1;Aký jazyk sa používa v Kirgizsku?;Kirgizčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Sýrii?;Arabčina  
Cudzie jazyky;1;Aký jazyk je úradný v Arménsku?;Arménčina  
Cudzie jazyky;1;Ktorý jazyk hovorí väčšina ľudí v Ghaně?;Akan  
Cudzie jazyky;1;Aký jazyk je úradný v Etiopii?;Amharčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Barbadosu?;Angličtina  
Cudzie jazyky;1;Aký jazyk je úradný v Salvadore?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Trinidadu a Tobagu?;Angličtina  
Cudzie jazyky;1;Aký jazyk je úradný v Rwande?;Kinyarwanda  
Cudzie jazyky;1;Ktorý jazyk sa používa v Paname?;Španielčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Dominikánskej republike?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk je oficiálny v Španielsku?;Španielčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Nórsku?;Nórčina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Česku?;Čeština
Cudzie jazyky;1;Aký jazyk sa hovorí v Austrálii?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Kanade?;Angličtina  
Cudzie jazyky;1;Aký jazyk sa používa v Afrike?;Súčasť  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Brazílii?;Portugalčina  
Cudzie jazyky;1;Aký jazyk sa používa v Maďarsku?;Maďarčina  
Cudzie jazyky;1;Ktorý jazyk je oficiálny na Malte?;Maltčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Kolumbii?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Chorvátsku?;Chorvátčina  
Cudzie jazyky;1;Aký jazyk sa používa v JAR?;Afrikánčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Rwande?;Kinyarwanda  
Cudzie jazyky;1;Aký jazyk je úradný v Zelená Hora?;Čiernohorský  
Cudzie jazyky;1;Ktorý jazyk sa používa v Turecku?;Turečtina  
Cudzie jazyky;1;Aký jazyk je úradný v Sýrii?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Egypte?;Arabčina  
Cudzie jazyky;1;Aký jazyk sa používa v Alžírsku?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk je oficiálny v Indii?;Hindčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Írsku?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk sa používa v Japonsku?;Japončina  
Cudzie jazyky;1;Aký jazyk je úradný v Guatemale?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Súdáne?;Arabčina  
Cudzie jazyky;1;Aký jazyk je úradný v Singapure?;Malajčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Sýrii?;Arabčina  
Cudzie jazyky;1;Aký jazyk sa používa v Bolívii?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Dominikánskej republike?;Španielčina  
Cudzie jazyky;1;Aký jazyk sa hovorí na Bahamách?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk je úradný v Hondurasu?;Španielčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Guinei?;Francúzština  
Cudzie jazyky;1;Ktorý jazyk sa používa v Malajzii?;Malajčina  
Cudzie jazyky;1;Aký jazyk je úradný v Jemene?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Bruneji?;Malajčina  
Cudzie jazyky;1;Aký jazyk sa používa v Peru?;Španielčina  
Cudzie jazyky;1;Ktorý jazyk je úradný v českej republike?;Čeština  
Cudzie jazyky;1;Aký jazyk je úradný v Nemecku?;Nemčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Taliansku?;Taliančina  
Cudzie jazyky;1;Aký jazyk sa používa v USA?;Angličtina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí na Filipínach?;Filipínčina  
Cudzie jazyky;1;Aký jazyk je úradný v Bahrajne?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Tajvane?;Mandarínčina  
Cudzie jazyky;1;Aký jazyk sa používa v Rwande?;Kinyarwanda  
Cudzie jazyky;1;Ktorý jazyk je úradný v Etiopii?;Amharčina  
Cudzie jazyky;1;Aký jazyk sa hovorí v Súdáne?;Arabčina  
Cudzie jazyky;1;Ktorý jazyk sa hovorí v Taliansku?;Taliančina  
Cudzie jazyky;1;Aký jazyk sa používa na Islande?;Islandčina
Cudzie jazyky;2;Aký jazyk je úradný v Austrálii?;Angličtina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Taliansku?;Taliančina  
Cudzie jazyky;2;Aký jazyk je úradný v Španielsku?;Katalánčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Turecku?;Turečtina  
Cudzie jazyky;2;Aký jazyk sa používa v Taliansku?;Taliančina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Indii?;Hindčina  
Cudzie jazyky;2;Aký jazyk je úradný v Japonsku?;Japončina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Malajzii?;Malačtina  
Cudzie jazyky;2;Aký jazyk je úradný v Thajsku?;Thajčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Bahrajne?;Arabčina  
Cudzie jazyky;2;Aký jazyk sa používa v Pobreží slonoviny?;Francúzština  
Cudzie jazyky;2;Ktorý jazyk je úradný v Kambodži?;Khmerčina  
Cudzie jazyky;2;Aký jazyk hovoria v Tanzánii?;Swahilčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Nórsku?;Nórčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Senegale?;Francúzština  
Cudzie jazyky;2;Ktorý jazyk je úradný v Líbyi?;Arabčina  
Cudzie jazyky;2;Aký jazyk sa používa v Ugande?;Angličtina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Zambii?;Bemba  
Cudzie jazyky;2;Aký jazyk sa používa v Číne?;Mandarínčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Antigue?;Angličtina  
Cudzie jazyky;2;Aký jazyk sa hovorí v JAR?;Afrikánčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Zelená Hora?;Čiernohorský  
Cudzie jazyky;2;Aký jazyk sa hovorí na Malte?;Maltčina  
Cudzie jazyky;2;Ktorý jazyk sa používa v Suriname?;Nederlands  
Cudzie jazyky;2;Aký jazyk je úradný v Srbsku?;Srbčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Hondurasu?;Španielčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Guatemale?;Španielčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Guyane?;Angličtina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Dominikánskej republike?;Španielčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Paname?;Španielčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Jemene?;Arabčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Malawí?;Chichewa  
Cudzie jazyky;2;Aký jazyk sa používa v Mjanmarsku?;Barmčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí na Novom Zélande?;Maorčina  
Cudzie jazyky;2;Aký jazyk je úradný v El Salvador?;Španielčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Guinei?;Francúzština  
Cudzie jazyky;2;Aký jazyk sa používa v Bahamských ostrovoch?;Angličtina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Lesothe?;Sesotho  
Cudzie jazyky;2;Aký jazyk sa hovorí v Arménsku?;Arménčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Ekvádore?;Španielčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Kirgizsku?;Kirgizčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Českej republike?;Čeština  
Cudzie jazyky;2;Aký jazyk je úradný v Gabone?;Francúzština  
Cudzie jazyky;2;Ktorý jazyk sa hovorí vo Vatikáne?;Taliančina  
Cudzie jazyky;2;Aký jazyk je úradný v Sýrii?;Arabčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí na Seychelách?;Francúzština
Cudzie jazyky;2;Aký jazyk sa hovorí v Argentíne?;Španielčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Jemene?;Arabčina  
Cudzie jazyky;2;Aký jazyk je úradný v Maďarsku?;Maďarčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Thajsku?;Thajčina  
Cudzie jazyky;2;Aký jazyk je úradný v Dánsku?;Dánčina  
Cudzie jazyky;2;Ktorý jazyk sa používa v Kene?;Swahilčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Malajzii?;Malajčina  
Cudzie jazyky;2;Ktorý jazyk je úradný v Srbsku?;Srbčina  
Cudzie jazyky;2;Aký jazyk je úradný v Ghaně?;Akan  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Kolumbii?;Španielčina  
Cudzie jazyky;2;Aký jazyk sa hovorí v Gruzínsku?;Gruzínčina  
Cudzie jazyky;2;Ktorý jazyk sa používa v Rwande?;Kinyarwanda  
Cudzie jazyky;2;Aký jazyk je úradný v Alžírsku?;Arabčina  
Cudzie jazyky;2;Ktorý jazyk sa hovorí v Arménsku?;Arménčina  
Cudzie jazyky;2;Aký jazyk sa používa v Zambii?;Nyanja  
Cudzie jazyky;2;Ktorý jazyk je úradný v Bahrajne?;Arabčina  
