kategoria;narocnost;otazka;odpoved
Slovenský jazyk;1;Aké je hlavné mesto Slovenska?;Bratislava  
Slovenský jazyk;1;Aký jazyk je úradný na Slovensku?;Slovenčina  
Slovenský jazyk;1;Aký je najvyšší vrch Slovenska?;Gerlachovský štít  
Slovenský jazyk;1;Kto napísal pieseň "Túlavá"?;Janko  
Slovenský jazyk;1;Aký je slovenský názov pre "Czechoslovakia"?;Československo  
Slovenský jazyk;1;Čo je to "hádanka"?;Otázka  
Slovenský jazyk;1;Kto je autorom "Krajina pod Mračnom"?;Hronský  
Slovenský jazyk;1;Aký je slovenský názov pre "book"?;Kniha  
Slovenský jazyk;1;Aké je najznámejšie slovenské jedlo?;Bryndzové halušky  
Slovenský jazyk;1;Ktorý jazyk je blízky slovenčine?;Čeština  
Slovenský jazyk;1;Čo znamená slovo "srdce"?;Orgán  
Slovenský jazyk;1;Aká je najdlhšia rieka na Slovensku?;Dunaj  
Slovenský jazyk;1;Kedy sa oslavuje Deň učiteľov?;28. marec  
Slovenský jazyk;1;Aké je hlavné mesto Maďarska?;Budapešť  
Slovenský jazyk;1;Aká je farba slovenského národného znaku?;Modrá  
Slovenský jazyk;1;Kto napísal "Jozefa Mak"?;Kukučín  
Slovenský jazyk;1;Aký jazyk je úradný v Česku?;Čeština  
Slovenský jazyk;1;Aký je slovenský názov pre "family"?;Rodina  
Slovenský jazyk;1;Kto je autorom "Slovenských pohľadov"?;Križan  
Slovenský jazyk;1;Aký je slovenský názov pre "friend"?;Priateľ  
Slovenský jazyk;1;Kto je autorom "Zlatého klasu"?;Sládkovič  
Slovenský jazyk;1;Ktorý jazyk je najrozšírenejší na svete?;Angličtina  
Slovenský jazyk;1;Aký je slovenský názov pre "love"?;Láska  
Slovenský jazyk;1;Kto je autorom "Pohádok"?;Kollár  
Slovenský jazyk;1;Kedy sa oslavuje Deň slovenskej kultúry?;5. február  
Slovenský jazyk;1;Aké je najznámejšie slovenské mesto?;Bratislava  
Slovenský jazyk;1;Aký je slovenský názov pre "holiday"?;Prázdniny  
Slovenský jazyk;1;Kto napísal "Reštart"?;Krištúfek  
Slovenský jazyk;1;Aký je slovenský názov pre "school"?;Škola  
Slovenský jazyk;1;Aký je slovenský názov pre "water"?;Voda  
Slovenský jazyk;1;Kto je autorom "Búrlivého vína"?;Zúrik  
Slovenský jazyk;1;Aký je slovenský názov pre "city"?;Mesto  
Slovenský jazyk;1;Kde sa nachádza Bratislava?;Na Slovensku  
Slovenský jazyk;1;Kto je najznámejší slovenský spisovateľ?;Kukučín  
Slovenský jazyk;1;Aká je slovenská mena?;Euro  
Slovenský jazyk;1;Kedy sa oslavuje Deň štátnosti?;1. september  
Slovenský jazyk;1;Aký je slovenský názov pre "teacher"?;Učiteľ  
Slovenský jazyk;1;Kto napísal "Osudy dobrého vojáka Švejka"?;Hašek  
Slovenský jazyk;1;Aký je slovenský názov pre "friendship"?;Priateľstvo  
Slovenský jazyk;1;Aké je hlavné mesto Česka?;Praha  
Slovenský jazyk;1;Kto je autorom "Kniha o Slovensku"?;Pavlík  
Slovenský jazyk;1;Aký je slovenský názov pre "music"?;Hudba  
Slovenský jazyk;1;Kedy sa koná festival "Pohoda"?;Júl  
Slovenský jazyk;1;Aký je slovenský názov pre "language"?;Jazyk  
Slovenský jazyk;1;Kto je autorom "Básní"?;Hviezdoslav  
Slovenský jazyk;1;Aký je slovenský názov pre "art"?;Umenie  
Slovenský jazyk;1;Kto napísal "Malý princ"?;Saint-Exupéry  
Slovenský jazyk;1;Aký je slovenský názov pre "sun"?;Slnko  
Slovenský jazyk;1;Aký je slovenský názov pre "star"?;Hvězda  
Slovenský jazyk;1;Aké je slovenské slovo pre "joy"?;Radosť  
Slovenský jazyk;1;Kto je autorom "Dielo"?;Rázus  
Slovenský jazyk;1;Aký je slovenský názov pre "dream"?;Snívanie  
Slovenský jazyk;1;Aké je slovenské slovo pre "peace"?;Mier
Slovenský jazyk;1;Aký je slovenský názov pre "apple"?;jablko  
Slovenský jazyk;1;Čo je to "príslovie"?;výrok  
Slovenský jazyk;1;Kto je autorom "Panta Rhei"?;Milan Kňažko  
Slovenský jazyk;1;Aký je slovenský názov pre "house"?;dom  
Slovenský jazyk;1;Aké je slovenské slovo pre "tree"?;strom  
Slovenský jazyk;1;Kto napísal "Kocúr v čižmách"?;Perrault  
Slovenský jazyk;1;Aký je slovenský názov pre "bird"?;vták  
Slovenský jazyk;1;Ktorý deň sa oslavuje Deň materského jazyka?;21. február  
Slovenský jazyk;1;Čo znamená slovo "kniha"?;publikácia  
