kategoria;narocnost;otazka;odpoved
Biológia;1;Aký je najväčší cicavec na svete?;Modrý veľryba  
Biológia;1;Aký orgán pumpuje krv v tele?;Srdce  
Biológia;1;Ktorý proces zabezpečuje výrobu energie v bunkách?;Fotosyntéza  
Biológia;1;Aký je najmenší kostný ústroj v tele?;Stredné ucho  
Biológia;1;Ktoré zviera je známe svojím pomalým pohybom?;Lenochod  
Biológia;1;Aká je základná jednotka života?;Bunka  
Biológia;1;Ktorý vitamín je známy ako „vitamín slnka“?;Vitamín D  
Biológia;1;Aký proces sa používa na rast rastlín?;Fotosyntéza  
Biológia;1;Ktorý typ buniek prenáša kyslík?;Červené krvinky  
Biológia;1;Aké je najväčšie zviera na súši?;Slon  
Biológia;1;Ktorá rastlina sa často používa na výrobu papiera?;Bambus  
Biológia;1;Aký orgán je zodpovedný za trávenie?;Žalúdok  
Biológia;1;Ktorý hmyz má najviac druhov?;Chrobák  
Biológia;1;Ktorý orgán produkuje inzulín?;Pankreas  
Biológia;1;Ktorá časť rastliny absorbuje vodu?;Korene  
Biológia;1;Ktoré zviera je známe svojou dlhoročnou pamäťou?;Slon  
Biológia;1;Aký je najdôležitejší plyn v atmosfére?;Kyslík  
Biológia;1;Ktorý typ buniek bojuje proti infekciám?;Imunitné bunky  
Biológia;1;Aký je hlavný zdroj energie pre rastliny?;Slnko  
Biológia;1;Ktorý orgán je centrom nervovej sústavy?;Mozog  
Biológia;1;Aký typ štruktúry je DNA?;Dvojitá helix  
Biológia;1;Ktorá časť bunky obsahuje genetický materiál?;Jadro  
Biológia;1;Ktorý organismus môže prežiť v extrémnych podmienkach?;Mikrobi  
Biológia;1;Ktorá rastlina je známa ako liečivá?;Aloe  
Biológia;1;Ktorý proces sa používa na rozmnožovanie rastlín?;Opeľovanie  
Biológia;1;Ktorý druh živočícha kladie vajíčka?;Ovocný mušky  
Biológia;1;Aký je najbežnejší typ tkaniva v tele?;Epitel  
Biológia;1;Ktoré zviera je známe svojou schopnosťou kamufláže?;Chameleón  
Biológia;1;Aký typ potravín je bohatý na bielkoviny?;Mäso  
Biológia;1;Ktorý proces sa používa na výrobu tepla v tele?;Metabolizmus  
Biológia;1;Aký je najväčší orgán v tele?;Koža  
Biológia;1;Ktorý hmyz je známy svojou schopnosťou lietať?;Včela  
Biológia;1;Ktorý typ rastlín nemá kvety?;Paprade  
Biológia;1;Ktoré živočíchy sú známe svojím ostatným spôsobom života?;Korytnačky  
Biológia;1;Aký je základný stavebný kameň bielkovín?;Amino kyseliny  
Biológia;1;Ktorý typ baktérií je prospešný pre trávenie?;Probiotiká  
Biológia;1;Ktorý orgán je zodpovedný za detoxikáciu?;Pečeň  
Biológia;1;Ktorý typ mäsa je najkonzumovanejší?;Kuracie  
Biológia;1;Aký typ živočíchov sa množí pučaním?;Medúza  
Biológia;1;Ktoré zviera je známe svojou rýchlosťou?;Gepard  
Biológia;1;Ktorý typ rastliny je známy svojou odolnosťou voči suchu?;Kaktus  
Biológia;1;Aký je najväčší predátor na súši?;Medveď  
Biológia;1;Ktoré zviera má najväčšiu dĺžku života?;Žralok  
Biológia;1;Ktorý typ tkaniva má schopnosť sťahovať sa?;Svalové  
Biológia;1;Aký proces sa používa na výrobu kyslíka rastlinami?;Fotosyntéza  
Biológia;1;Ktoré zviera je známe svojou vysokou inteligenciou?;Delfín  
Biológia;1;Aký je najmenší živý organizmus?;Baktéria  
Biológia;1;Ktorý typ živočícha je najviac ohrozený?;Kriticky ohrozený  
Biológia;1;Ktorá časť rastliny je zodpovedná za fotosyntézu?;Listy  
Biológia;1;Ktorý typ buniek je zodpovedný za zrážanie krvi?;Krvné doštičky  
Biológia;1;Aký je najčastejší typ rakoviny u mužov?;Prostaty
Biológia;1;Aký orgán je zodpovedný za dýchanie?;Pľúca  
Biológia;1;Aká je najmenšia jednotka života?;Bunka  
Biológia;1;Ktorá rastlina produkuje najviac kyslíka?;Mikroalga  
Biológia;1;Ktoré zviera je známe ako „kráľ džungle“?;Lev  
Biológia;1;Ktorý vitamín sa nachádza v citrusoch?;C  
Biológia;1;Aký je najčastejší typ tkaniva v rastlinách?;Pletivové  
Biológia;1;Ktoré zviera má najväčšie uši?;Slon  
Biológia;1;Aká je základná zložka DNA?;Nukleotid  
Biológia;1;Ktorý proces zabezpečuje rast rastlín?;Fotosyntéza  
Biológia;1;Aký je najbežnejší typ buniek v krvi?;Erytrocyty  
Biológia;1;Ktoré zviera je známe svojou rýchlou regeneráciou?;Axolotl  
Biológia;1;Ktoré rastliny sa často používajú na varenie?;Bylinky  
