kategoria;narocnost;otazka;odpoved
Logika a hádanky;1;Aký tvar má štvoruholník so všetkými stranami rovnakými?;Štvorček  
Logika a hádanky;1;Koľko mesiacov má rok?;Dvanásť  
Logika a hádanky;1;Aká farba vznikne zmiešaním modrej a žltej?;Zelená  
Logika a hádanky;1;Aký tvar má kruh?;Kruh  
Logika a hádanky;1;Čo je to, čo má štyri nohy, ale nechodí?;Stôl  
Logika a hádanky;1;Koľko prstov má človek na jednej ruke?;Päť  
Logika a hádanky;1;Aká je farba neba za jasného dňa?;Modrá  
Logika a hádanky;1;Koľko dní má týždeň?;Sedem  
Logika a hádanky;1;Čo je to, čo padajúce z neba, ale nie je to dážď?;Sneh  
Logika a hádanky;1;Aký je opak dňa?;Noc  
Logika a hádanky;1;Ktoré zviera je známe ako najlepší priateľ človeka?;Pes  
Logika a hádanky;1;Koľko rokov má dospelý človek?;Dvadsať  
Logika a hádanky;1;Aký je hlavný mestom Slovenska?;Bratislava  
Logika a hádanky;1;Akú farbu má slnko?;Žltá  
Logika a hádanky;1;Čo je to, čo má klobúk a nechodí?;Huba  
Logika a hádanky;1;Aký je najväčší oceán na svete?;Tichý  
Logika a hádanky;1;Koľko je 2+2?;Štyri  
Logika a hádanky;1;Aký je najvyšší vrch sveta?;Everest  
Logika a hádanky;1;Koľko mesiacov má február v priestore?;Dva  
Logika a hádanky;1;Čo je to, čo sa vždy pohybuje, ale nikdy sa nezmení?;Hodiny  
Logika a hádanky;1;Aké zviera je kráľom džungle?;Lev  
Logika a hádanky;1;Aký je opak svetla?;Tma  
Logika a hádanky;1;Aký je najmenší kontinent?;Austrália  
Logika a hádanky;1;Koľko zubov má dospelý človek?;Tridsaťdva  
Logika a hádanky;1;Ktoré ovocie je známe ako „kráľovná ovocia“?;Mango  
Logika a hádanky;1;Aká je farba čerešní?;Červená  
Logika a hádanky;1;Čo je to, čo má jedno oko, ale nemôže vidieť?;Ihlica  
Logika a hádanky;1;Aká je základná jednotka dĺžky?;Meter  
Logika a hádanky;1;Koľko hodín má deň?;Dvadsaťštyri  
Logika a hádanky;1;Aký je najmenší štát na svete?;Vatikán  
Logika a hádanky;1;Aký je opak tepla?;Chlad  
Logika a hádanky;1;Čo je to, čo letí, ale nemá krídla?;Rok  
Logika a hádanky;1;Aká je najznámejšia pyramída v Egypte?;Cheops  
Logika a hádanky;1;Ktorý mesiac je najchladnejší?;Január  
Logika a hádanky;1;Aký je najväčší cicavec?;Modrá veľryba  
Logika a hádanky;1;Koľko štátov je v USA?;Päťdesiat  
Logika a hádanky;1;Čo je to, čo sa dá zlomiť bez dotyku?;Sľub  
Logika a hádanky;1;Aké je hlavné mesto Francúzska?;Paríž  
Logika a hádanky;1;Aký je najhlbší oceán na svete?;Tichý  
Logika a hádanky;1;Čo je to, čo má štyri rohy a nie je to zviera?;Stôl  
Logika a hádanky;1;Aký je najpopulárnejší šport na svete?;Futbal  
Logika a hádanky;1;Koľko strán má trojuholník?;Tri  
Logika a hádanky;1;Čo je to, čo sa nikdy nevráti?;Čas  
Logika a hádanky;1;Aká je farba hrachu?;Zelená  
Logika a hádanky;1;Aký je opak slnka?;Mesiac  
Logika a hádanky;1;Ktoré zviera je známe svojou pomalosťou?;Želva  
Logika a hádanky;1;Aké je hlavné mesto Talianska?;Rím  
Logika a hádanky;1;Koľko písmen má abeceda?;Dvadsťšesť  
Logika a hádanky;1;Aký je najbežnejší jazyk na svete?;Mandarínčina  
Logika a hádanky;1;Koľko farieb má dúha?;Sedem  
Logika a hádanky;1;Čo je to, čo je v noci a nie je to deň?;Tma  
Logika a hádanky;1;Aký je opak hmoty?;Prázdnota
Logika a hádanky;1;Aké číslo je nula plus nula?;Nula  
Logika a hádanky;1;Koľko mesiacov má február v normálnom roku?;Dva  
Logika a hádanky;1;Aký tvar má veľký štvoruholník?;Obdĺžnik  
Logika a hádanky;1;Aké zviera sa považuje za najrýchlejšie na súši?;Gepard  
Logika a hádanky;1;Čo sa vždy pohybuje, ale nikdy sa nezastaví?;Čas  
Logika a hádanky;1;Koľko prstov má človek na oboch rukách?;Desať  
Logika a hádanky;1;Aké zviera je známe svojím hlasným krikom?;Sova  
Logika a hádanky;1;Koľko dní má apríl?;Tridsať  
Logika a hádanky;1;Aký tvar má guľa?;Kruh  
Logika a hádanky;1;Čo je to, čo je čierne a biele a je to zviera?;Panda  
Logika a hádanky;1;Koľko mesiacov má rok v letnom období?;Tri  
Logika a hádanky;1;Akú farbu má zmrzlina z jahôd?;Ružová  
Logika a hádanky;1;Koľko žiaroviek je v bežnej lampe?;Jedna  
Logika a hádanky;1;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;1;Aký je opak tepla?;Chlad  
Logika a hádanky;1;Koľko strán má štvorec?;Štyri  
Logika a hádanky;1;Čo má štyri nohy a spí na zemi?;Stôl  
Logika a hádanky;1;Koľko farieb je v základnej palete?;Štyri  
Logika a hádanky;1;Aké je opak šťastia?;Smútenie  
Logika a hádanky;1;Čo je to, čo si oblečieš, ale nikdy to nevidíš?;Pokožka  
Logika a hádanky;1;Koľko očí má človek?;Dve  
Logika a hádanky;1;Aký je opak hory?;Dolina  
Logika a hádanky;1;Čo je to, čo má štyri rohy a nie je to dom?;Stôl  
Logika a hádanky;1;Aké zviera je najnižšie na svete?;Jelen  
Logika a hádanky;1;Koľko prstov má človek na nohách?;Dvadsať  
Logika a hádanky;1;Aký je opak dať?;Zobrať  
Logika a hádanky;1;Čo je to, čo vidíš, ale nedotýkaš sa?;Svetlo  
