kategoria;narocnost;otazka;odpoved
Chémia;1;Aký je chemický symbol pre vodík?;H  
Chémia;1;Ktorý prvok má chemický symbol O?;Kyslík  
Chémia;1;Aké je chemické zloženie vody?;H2O  
Chémia;1;Aký je chemický symbol pre zlato?;Au  
Chémia;1;Ktorý plyn dýchame?;Kyslík  
Chémia;1;Aký je chemický symbol pre sodík?;Na  
Chémia;1;Ktorý prvok je najhojnejší vo vesmíre?;Vodík  
Chémia;1;Aký je chemický symbol pre uhlík?;C  
Chémia;1;Ktorá kyselina je v citrónoch?;Citrónová  
Chémia;1;Aký je chemický symbol pre železo?;Fe  
Chémia;1;Ktorý prvok je v tabuľke prvkov na pozícii 1?;Vodík  
Chémia;1;Aký je chemický symbol pre vápnik?;Ca  
Chémia;1;Ktorý plyn je bezfarebný a bez zápachu?;Hélium  
Chémia;1;Aký je chemický symbol pre rýchlosť svetla?;C  
Chémia;1;Ktorý prvok je základom všetkého života?;Uhlík  
Chémia;1;Aká je chemická zlúčenina pre soľ?;NaCl  
Chémia;1;Ktorý plyn je hlavnou zložkou vzduchu?;Dusík  
Chémia;1;Aký je chemický symbol pre meď?;Cu  
Chémia;1;Ktorá kyselina je známa ako "olejová"?;Oleínová  
Chémia;1;Aký je chemický symbol pre striebro?;Ag  
Chémia;1;Ktorý prvok je známy ako "uhlíkový" prvok?;Uhlík  
Chémia;1;Aká je chemická zlúčenina pre amoniak?;NH3  
Chémia;1;Ktorý prvok je rádioaktívny a má symbol U?;Uran  
Chémia;1;Aký je chemický symbol pre ortuť?;Hg  
Chémia;1;Ktorá zlúčenina je známa ako "kyselina octová"?;Octová  
Chémia;1;Aký je chemický symbol pre fosfor?;P  
Chémia;1;Ktorý plyn je známy ako "snežný"?;Oxid uhličitý  
Chémia;1;Aký je chemický symbol pre bór?;B  
Chémia;1;Ktorý prvok je známy ako "majster v elektronech"?;Zinok  
Chémia;1;Aká je chemická zlúčenina pre kyselinu sírovú?;H2SO4  
Chémia;1;Ktorý prvok je známy ako "zelený fosfór"?;Fosfor  
Chémia;1;Aký je chemický symbol pre bróm?;Br  
Chémia;1;Ktorý prvok má symbol Kr?;Kriptón  
Chémia;1;Aký je chemický symbol pre chlór?;Cl  
Chémia;1;Ktorý plyn je známy ako "plyn smrti"?;Chlór  
Chémia;1;Aký je chemický symbol pre selén?;Se  
Chémia;1;Ktorý prvok je základom organickej chémie?;Uhlík  
Chémia;1;Aká je chemická zlúčenina pre metán?;CH4  
Chémia;1;Ktorý prvok je známy ako "kyslík v pečeni"?;Fosfor  
Chémia;1;Aký je chemický symbol pre nikel?;Ni  
Chémia;1;Ktorý prvok je známy ako "neviditeľný"?;Argón  
Chémia;1;Aký je chemický symbol pre zirkón?;Zr  
Chémia;1;Ktorý prvok je známy ako "žltý fosfór"?;Fosfor  
Chémia;1;Aká je chemická zlúčenina pre etanol?;C2H5OH  
Chémia;1;Ktorý prvok má symbol Rn?;Radón  
Chémia;1;Aký je chemický symbol pre titán?;Ti  
Chémia;1;Ktorý prvok je známy ako "vodný" prvok?;Vodík  
Chémia;1;Aká je chemická zlúčenina pre propán?;C3H8  
Chémia;1;Ktorý prvok má symbol S?;Síra  
Chémia;1;Aký je chemický symbol pre bárium?;Ba  
Chémia;1;Ktorý prvok má atomové číslo 1?;Vodík  
Chémia;1;Aký je chemický symbol pre argón?;Ar  
Chémia;1;Ktorý prvok je známy ako "železný" prvok?;Železo\nChémia;1;Aký je chemický symbol pre hélium?;He  
Chémia;1;Ktorý plyn je známy ako "oxid uhličitý"?;CO2  
Chémia;1;Aký je chemický symbol pre zlúčeninu amoniaku?;NH3  
Chémia;1;Ktorý prvok má chemický symbol Ca?;Vápnik  
Chémia;1;Aký je chemický symbol pre zirkón?;Zr  
Chémia;1;Ktorá zlúčenina je známa ako "kyselina sírová"?;H2SO4  
Chémia;1;Aký je chemický symbol pre fosfor?;P  
Chémia;1;Ktorý prvok je známy ako "zelený fosfór"?;P3  
Chémia;1;Aký je chemický symbol pre argón?;Ar  
Chémia;1;Ktorý prvok má atomové číslo 29?;Meď  
Chémia;1;Aký je chemický symbol pre neón?;Ne  
Chémia;1;Ktorý plyn je známy ako "pouličný"?;C2H4  
Chémia;1;Aký je chemický symbol pre síru?;S  
Chémia;1;Ktorý prvok má chemický symbol Au?;Zlato  
Chémia;1;Aký je chemický symbol pre draslík?;K  
Chémia;1;Ktorý prvok má atomové číslo 6?;Uhlík  
Chémia;1;Aký je chemický symbol pre hliník?;Al  
Chémia;1;Ktorý prvok je známy ako "zelený plyn"?;Cl2  
Chémia;1;Aká je chemická zlúčenina pre uhľovodík?;C  
Chémia;1;Ktorý plyn je známy ako "kyslík"?;O2  
Chémia;1;Aký je chemický symbol pre cín?;Sn  
Chémia;1;Ktorý prvok má symbol I?;Jód  
Chémia;1;Aký je chemický symbol pre nikel?;Ni  
Chémia;1;Ktorý prvok je známy ako "čierny uhlík"?;C  
Chémia;1;Aký je chemický symbol pre stroncium?;Sr  
Chémia;1;Ktorý prvok má atomové číslo 8?;Kyslík  
Chémia;1;Aký je chemický symbol pre vápnik?;Ca  
Chémia;1;Ktorý prvok má chemický symbol Mg?;Horčík  
Chémia;1;Aký je chemický symbol pre telúr?;Te  
Chémia;1;Ktorý prvok je známy ako "drogový"?;C4H10  
Chémia;1;Aký je chemický symbol pre bór?;B  
Chémia;1;Ktorý prvok má atomové číslo 15?;Fosfor  
Chémia;1;Aký je chemický symbol pre rýz?;Rh  
Chémia;1;Ktorý prvok je známy ako "modrý" prvok?;Cu  
Chémia;1;Aký je chemický symbol pre striebro?;Ag  
Chémia;1;Ktorá zlúčenina je známa ako "kyselina dusičná"?;HNO3  
Chémia;1;Aký je chemický symbol pre bárium?;Ba  
Chémia;1;Ktorý prvok má chemický symbol Zn?;Zinok  
Chémia;1;Aký je chemický symbol pre kryptón?;Kr  
Chémia;1;Ktorý prvok je známy ako "červený fosfór"?;P2  
Chémia;1;Aký je chemický symbol pre selén?;Se  
Chémia;1;Ktorý prvok má atomové číslo 33?;Arzén  
Chémia;1;Aký je chemický symbol pre hafnium?;Hf  
Chémia;1;Ktorý prvok je známy ako "kovový vodík"?;H2  
Chémia;1;Aký je chemický symbol pre berylium?;Be  
Chémia;1;Ktorý prvok má symbol C?;Uhlík  
Chémia;1;Aký je chemický symbol pre osmium?;Os  
Chémia;1;Ktorý prvok má atomové číslo 12?;Horčík  
Chémia;1;Aký je chemický symbol pre kadmium?;Cd  
Chémia;1;Ktorý prvok je známy ako "noble gas"?;Ne  
Chémia;1;Aký je chemický symbol pre urán?;U  
Chémia;1;Ktorý prvok má chemický symbol Tl?;Talium  
Chémia;1;Aký je chemický symbol pre gália?;Ga  
Chémia;1;Ktorý prvok je známy ako "plyn kyseliny"?;H2S  
Chémia;1;Aký je chemický symbol pre nikl?;Ni  
Chémia;1;Ktorý prvok má atomové číslo 47?;Striebro
Chémia;2;Ktorý prvok má symbol Fe?;Železo  
Chémia;2;Aká je chemická zlúčenina pre oxid uhličitý?;CO2  
Chémia;2;Ktorý prvok je známy ako "tekutý kov"?;Zlato  
Chémia;2;Aký je chemický symbol pre hliník?;Al  
Chémia;2;Ktorý plyn sa používa na zváranie?;Argón  
Chémia;2;Aký je chemický symbol pre síru?;S  
Chémia;2;Ktorý prvok má chemický symbol Na?;Sodík  
Chémia;2;Aká je chemická zlúčenina pre metanol?;CH3OH  
Chémia;2;Ktorý prvok je známy ako "zelený plyn"?;Chlór  
Chémia;2;Ktorá zlúčenina je známa ako "kyselina dusičná"?;HNO3  
Chémia;2;Aký je chemický symbol pre kadmium?;Cd  
Chémia;2;Ktorý prvok je známy ako "čierny uhlík"?;Uhlík  
Chémia;2;Aký je chemický symbol pre strontium?;Sr  
Chémia;2;Ktorý prvok má atomové číslo 15?;Fosfor  
Chémia;2;Aký je chemický symbol pre platinu?;Pt  
Chémia;2;Ktorý prvok je známy ako "noble gas"?;Neón  
Chémia;2;Aká je chemická zlúčenina pre síran?;SO4  
Chémia;2;Ktorý prvok má chemický symbol I?;Jód  
Chémia;2;Aký je chemický symbol pre bór?;B  
Chémia;2;Ktorý prvok je základom organickej chémie?;Uhlík  
Chémia;2;Aký je chemický symbol pre rubídium?;Rb  
Chémia;2;Ktorý prvok má atomové číslo 26?;Železo  
Chémia;2;Aký je chemický symbol pre zlúčeninu amoniaku?;NH3  
Chémia;2;Ktorý prvok je známy ako "modrý fosfór"?;Fosfor  
Chémia;2;Aký je chemický symbol pre xenón?;Xe  
Chémia;2;Ktorý prvok má atomové číslo 30?;Zinok  
Chémia;2;Aký je chemický symbol pre titán?;Ti  
Chémia;2;Ktorý prvok je známy ako "kyselina sírová"?;H2SO4  
Chémia;2;Aký je chemický symbol pre zirkón?;Zr  
Chémia;2;Ktorý prvok je známy ako "meď"?;Cu  
Chémia;2;Aký je chemický symbol pre ortuť?;Hg  
Chémia;2;Ktorý prvok má atomové číslo 14?;Kremík  
Chémia;2;Aký je chemický symbol pre fosfor?;P  
Chémia;2;Ktorý prvok je známy ako "biely fosfór"?;Fosfor  
Chémia;2;Aký je chemický symbol pre kadmium?;Cd  
Chémia;2;Ktorý prvok má symbol Tl?;Tál  
Chémia;2;Aký je chemický symbol pre selén?;Se  
Chémia;2;Ktorý prvok má atomové číslo 47?;Striebro  
Chémia;2;Aký je chemický symbol pre hafnium?;Hf  
Chémia;2;Ktorý prvok je známy ako "vodíkový"?;H  
Chémia;2;Aký je chemický symbol pre zirkón?;Zr  
Chémia;2;Ktorý prvok má chemický symbol K?;Draslík  
Chémia;2;Aký je chemický symbol pre gália?;Ga  
Chémia;2;Ktorý prvok má atomové číslo 11?;Sodík  
Chémia;2;Aký je chemický symbol pre vápnik?;Ca  
Chémia;2;Ktorý prvok má chemický symbol Sn?;Cín  
Chémia;2;Aký je chemický symbol pre rhenium?;Re  
Chémia;2;Ktorý prvok je známy ako "žltý fosfór"?;Fosfor  
Chémia;2;Aký je chemický symbol pre tantál?;Ta  
Chémia;2;Ktorý prvok má atomové číslo 19?;Draslík  
Chémia;2;Aký je chemický symbol pre urán?;U  
Chémia;2;Ktorý prvok je známy ako "kovový vodík"?;H  
Chémia;2;Aký je chemický symbol pre berylium?;Be  
Chémia;2;Ktorý prvok má symbol Co?;Kobalt  
Chémia;2;Aký je chemický symbol pre osmium?;Os  
Chémia;2;Ktorý prvok má atomové číslo 47?;Striebro
Chémia;2;Ktorý prvok má chemický symbol Hg?;Ortuť  
Chémia;2;Aká je chemická zlúčenina pre oxid sodný?;Soľ  
Chémia;2;Ktorý plyn je známy ako "kyselina karbónová"?;Oxid uhličitý  
Chémia;2;Aký je chemický symbol pre molybden?;Mo  
Chémia;2;Ktorý prvok je základom skla?;Kremík  
Chémia;2;Aký je chemický symbol pre niób?;Nb  
Chémia;2;Ktorý prvok má atomové číslo 12?;Horčík  
Chémia;2;Aká je chemická zlúčenina pre etylén?;C2H4  
Chémia;2;Ktorý prvok je známy ako "tekutý plyn"?;Amoniak  
Chémia;2;Aký je chemický symbol pre berylium?;Be  
Chémia;2;Ktorý prvok je známy ako "kyslík v atmosfére"?;Ozon  
Chémia;2;Aký je chemický symbol pre palládium?;Pd  
Chémia;2;Ktorá zlúčenina je známa ako "kyselina citrónová"?;C6H8O7  
Chémia;2;Ktorý prvok má chemický symbol As?;Arzén  
Chémia;2;Aký je chemický symbol pre stroncium?;Sr  
Chémia;2;Ktorý prvok má atomové číslo 38?;Stroncium  
Chémia;2;Ktorá zlúčenina je známa ako "kyselina fosforečná"?;H3PO4  
Chémia;2;Aký je chemický symbol pre platinu?;Pt  
Chémia;2;Ktorý prvok je známy ako "kyslík v tkanivách"?;Hemoglobín  
Chémia;2;Aký je chemický symbol pre cer?;Ce  
Chémia;2;Ktorý plyn je známy ako "ozón"?;O3  
Chémia;2;Aký je chemický symbol pre lanthan?;La  
Chémia;2;Ktorý prvok má atomové číslo 20?;Vápnik  
Chémia;2;Aká je chemická zlúčenina pre kyselinu uhličitú?;H2CO3  
Chémia;2;Ktorý prvok má chemický symbol Cs?;Césium  
Chémia;2;Aký je chemický symbol pre rhenium?;Re  
Chémia;2;Ktorý prvok má atomové číslo 11?;Sodík  
Chémia;2;Aká je chemická zlúčenina pre polyetylén?;C2H4  
Chémia;2;Ktorý prvok má chemický symbol S?;Síra  
Chémia;2;Aký je chemický symbol pre kadmium?;Cd  
Chémia;2;Ktorý prvok má atomové číslo 29?;Meď  
Chémia;2;Aký je chemický symbol pre zinok?;Zn  
Chémia;2;Ktorý prvok je známy ako "kovový sodík"?;Sodík  
Chémia;2;Aká je chemická zlúčenina pre kyselinu sírovú?;H2SO4  
Chémia;2;Ktorý prvok má chemický symbol Ne?;Neón  
Chémia;2;Aký je chemický symbol pre gália?;Ga  
Chémia;2;Ktorá zlúčenina je známa ako "kyselina sírová"?;H2SO4  
Chémia;2;Aký je chemický symbol pre ródium?;Rh  
Chémia;2;Ktorý prvok má atomové číslo 47?;Striebro  
Chémia;2;Aká je chemická zlúčenina pre acetón?;C3H6O  
Chémia;2;Ktorý prvok je známy ako "čierny oxid"?;Oxid železa  
Chémia;2;Aký je chemický symbol pre gélium?;He  
Chémia;2;Ktorý prvok má chemický symbol Y?;Yttrium  
Chémia;2;Aký je chemický symbol pre antimón?;Sb  
Chémia;2;Ktorý prvok má atomové číslo 53?;Jód  
Chémia;2;Aký je chemický symbol pre bór?;B  
Chémia;2;Ktorý prvok má chemický symbol In?;Indium  
Chémia;2;Aký je chemický symbol pre molybdén?;Mo  
Chémia;2;Ktorý prvok má atomové číslo 4?;Bežná  
Chémia;2;Aká je chemická zlúčenina pre kyselinu mravčiu?;HCOOH  
Chémia;2;Ktorý prvok je známy ako "kyselina sírová"?;Síra  
Chémia;2;Aký je chemický symbol pre thalium?;Tl
Chémia;3;Aký je chemický symbol pre zlúčeninu uhličitanu vápenatého?;CaCO3  
Chémia;3;Ktorý prvok je známy ako "ťažký vodík"?;Deuterium  
Chémia;3;Aká je chemická zlúčenina pre kyselinu chlorovodíkovú?;HCl  
Chémia;3;Ktorý izotop uhlíka sa používa v datovaní?;C14  
Chémia;3;Aký je chemický symbol pre kobalt?;Co  
Chémia;3;Ktorý prvok je základom sklenených vlákien?;Kremík  
Chémia;3;Aký je chemický symbol pre dusičnan?;NO3  
Chémia;3;Ktorá kyselina je známa ako "baterková"?;Kyselina sírová  
Chémia;3;Aký je chemický symbol pre ortuť?;Hg  
Chémia;3;Ktorý prvok je známy ako "nobelium"?;No  
Chémia;3;Aký je chemický symbol pre kadmium?;Cd  
Chémia;3;Ktorý plyn je v atmosfére v najväčšej koncentrácii?;Dusík  
Chémia;3;Aký je chemický symbol pre paládium?;Pd  
Chémia;3;Ktorý prvok je známy ako "kyselina boritá"?;B  
Chémia;3;Aký je chemický symbol pre triódiom?;Ti  
Chémia;3;Ktorý plyn je známy ako "skleníkový plyn"?;CO2  
Chémia;3;Aký je chemický symbol pre zlúčeninu síranu?;SO4  
Chémia;3;Ktorý prvok je známy ako "platinový"?;Pt  
Chémia;3;Aký je chemický symbol pre cer?;Ce  
Chémia;3;Ktorý prvok má atomové číslo 86?;Radón  
Chémia;3;Aká je chemická zlúčenina pre etylén?;C2H4  
Chémia;3;Ktorý plyn je výsledkom fotosyntézy?;Kyslík  
Chémia;3;Aký je chemický symbol pre wolfram?;W  
