kategoria;narocnost;otazka;odpoved
Šport;1;Kto vyhral posledný Super Bowl?;Chiefs  
Šport;1;Aké je najpopulárnejšie športové podujatie na svete?;Majstrovstvá sveta  
Šport;1;Ktorý šport využíva loptičku a raketu?;Tenis  
Šport;1;Kto je najúspešnejší plavec všetkých čias?;Phelps  
Šport;1;Aký šport sa hrá na ľade?;Hokej  
Šport;1;Ktorý tím vyhral posledný majstrovský titul v NBA?;Nuggets  
Šport;1;Kto je známy ako "King James"?;LeBron  
Šport;1;Aký je názov olympijských hier v zime?;Zimné  
Šport;1;Ktoré mesto hostí letné olympijské hry 2024?;Paríž  
Šport;1;Kto je najrýchlejší bežec na 100 metrov?;Bolt  
Šport;1;Ktorý šport sa hrá s balónom a bránkami?;Futbal  
Šport;1;Kto je najznámejší cyklista?;Armstrong  
Šport;1;Aké je najvyššie ocenenie v americkom futbale?;Super Bowl  
Šport;1;Kto je najznámejší futbalista všetkých čias?;Pelé  
Šport;1;Kto je tréner FC Barcelona?;Xavi  
Šport;1;Kto je najúspešnejší tenista?;Federer  
Šport;1;Ktorý šport je známy ako "kráľ športov"?;Futbal  
Šport;1;Ktoré mesto je domovom klubu Manchester United?;Manchester  
Šport;1;Kto je najlepším strelec v histórii NHL?;Gretzky  
Šport;1;Aký šport sa hrá v súťažiach ako Wimbledon?;Tenis  
Šport;1;Kto je známy ako "Tennis Queen"?;Williams  
Šport;1;Ktoré krajiny hostia majstrovstvá sveta vo futbale?;Katar  
Šport;1;Kto vyhral Tour de France 2023?;Vingegaard  
Šport;1;Aký šport je súčasťou olympijských hier?;Atletika  
Šport;1;Kto je najlepší strelec v histórii NBA?;Kareem  
Šport;1;Ktorý šport je známy ako "game of kings"?;Šach  
Šport;1;Kto vyhral zlato na 100 m v Tokiu?;Bromell  
Šport;1;Aký šport sa hrá s pingpongovou loptičkou?;Stolný tenis  
Šport;1;Kto je najúspešnejší futbalový tréner?;Ferguson  
Šport;1;Ktorý šport sa hrá na piesku?;Volejbal  
Šport;1;Kto je najznámejší motoristický pretekár?;Schumacher  
Šport;1;Kto je najúspešnejší športovec v histórii?;Jordan  
Šport;1;Aké je najpopulárnejšie zimné športové odvetvie?;Hokej  
Šport;1;Ktorý šport sa hrá s loptou a palicou?;Golf  
Šport;1;Kto je najznámejší futbalový klub v Taliansku?;Juventus  
Šport;1;Kto je najmladší víťaz Grand Slamu?;Nadal  
Šport;1;Aký šport je známy ako "náš národný šport"?;Hokej  
Šport;1;Kto je najúspešnejší tenista v histórii?;Federer  
Šport;1;Ktorý šport je známy ako "kráľovská disciplína"?;Atletika  
Šport;1;Kto je známy ako "futbalový mág"?;Messi  
Šport;1;Aký je názov najväčšieho cyklistického preteku?;Tour  
Šport;1;Ktorý šport je súčasťou olympijských hier?;Gymnastika  
Šport;1;Kto je najúspešnejší maratónsky bežec?;Kipruto  
Šport;1;Aký šport je populárny v Austrálii a hrá sa na tráve?;Rugby  
Šport;1;Kto je najznámejší americký futbalista?;Brady  
Šport;1;Ktoré mesto hostilo olympijské hry 2000?;Sydney  
Šport;1;Aký je názov najprestížnejšieho futbalového turnaja v Európe?;LM  
Šport;1;Kto vyhral Golden Boot na MS 2018?;Kane  
Šport;1;Kto je známy ako "Tiger Woods"?;Woods  
Šport;1;Ktorý šport je známy ako "biela farba"?;Tenis  
Šport;1;Kto je známy ako "Rocket"?;Ovechkin  
Šport;1;Aký je názov najznámejšieho futbalového štadióna?;Camp Nou  
Šport;1;Kdo je nejznámější cyklistický závodník?;Armstrong
Šport;1;Kto je najznámejší hokejista?;Gretzky  
Šport;1;Kde sa konajú letné olympijské hry?;Atény  
Šport;1;Aký šport sa hrá vo vode?;Plávanie  
Šport;1;Kto je najlepší futbalový brankár?;Buffon  
Šport;1;Ktorý šport sa hrá s loptou a sieťou?;Volejbal  
Šport;1;Kto je známy ako "Maradona"?;Futbalista  
Šport;1;Aké je najpopulárnejšie zimné športové podujatie?;Olympiáda  
Šport;1;Kto je najlepší strelec v histórii futbalu?;Pele  
Šport;1;Kto je známy ako "Usain Bolt"?;Bežec  
Šport;1;Kde sa konajú majstrovstvá sveta v hokeji?;Rusia  
Šport;1;Kto je najúspešnejší golfista?;Woods  
Šport;1;Aký šport je spojený s gymnastikou?;Telesná  
Šport;1;Kto je najznámejší pretekár F1?;Schumacher  
Šport;1;Aké je najvyššie ocenenie v boxe?;Majster  
Šport;1;Kto je známy ako "Misty May"?;Volejbalistka  
Šport;1;Aký šport sa hrá na skateboarde?;Skateboarding  
Šport;1;Kto je najrýchlejší plavec?;Phelps  
Šport;1;Kto vyhral posledný Wimbledon?;Djokovic  
Šport;1;Kde sa hrá kriket?;Indie  
Šport;1;Kto je známy ako "Kobe"?;Futbalista  
Šport;1;Aký šport je populárny v Južnej Amerike?;Futbal  
Šport;1;Kto je najlepší tenista na tráve?;Federer  
Šport;1;Aký šport sa hrá s curlingovými kameňmi?;Curling  
Šport;1;Kto je najúspešnejší plážový volejbalista?;Rogers  
Šport;1;Kde sa koná Tour de France?;Francúzsko  
Šport;1;Kto je najznámejší maratónsky bežec?;Bekele  
Šport;1;Aký šport sa hrá s raketou a loptičkou?;Badminton  
Šport;1;Kto je najznámejší jazdec na koni?;Seabiscuit  
Šport;1;Kde sa konajú majstrovstvá sveta vo futbale?;Katar  
Šport;1;Kto je najlepší slovenský hokejista?;Hasek  
Šport;1;Aký šport je známy ako "kráľ športov"?;Futbal  
Šport;1;Kto je známy ako "The Rock"?;Wrestler  
Šport;1;Kde sa koná NBA finále?;USA  
Šport;1;Aký šport sa hrá na sánkach?;Sánkovanie  
Šport;1;Kto je známy ako "Michaels"?;Športovec  
Šport;1;Kde sa koná US Open?;New York  
Šport;1;Kto je najúspešnejší kaskadér?;Jackie  
Šport;1;Aký šport sa hrá v bazéne?;Vodný  
Šport;1;Kto je známy ako "Ali"?;Boxer  
Šport;1;Aký šport je známy ako "noblesse"?;Polo  
Šport;1;Kto je najznámejší futbalový útočník?;Ronaldo  
Šport;1;Kde sa konajú majstrovstvá sveta v hokeji?;Švédsko  
Šport;1;Kto je najlepší futbalový rozhodca?;Collina  
Šport;1;Aké je najpopulárnejšie vodné športové podujatie?;Olympiáda  
Šport;1;Kto je známy ako "Bolt"?;Bežec  
Šport;1;Aký šport sa hrá s raketou a sieťou?;Tenis  
Šport;1;Kdo je známy ako "Pele"?;Futbalista  
Šport;1;Kto je najstarší aktívny športovec?;Carter  
Šport;1;Kde sa konajú majstrovstvá sveta v basketbale?;USA  
Šport;1;Kto je najúspešnejší hokejový brankár?;Broduer  
Šport;1;Aký šport je známy ako "golden sport"?;Golf  
Šport;1;Kto je najznámejší americký bežec?;Carl  
Šport;1;Kde sa konajú majstrovstvá sveta v cyklistike?;Bélgium  
Šport;1;Kto je najlepším volejbalistom?;Kubiak  
Šport;1;Aký šport je známy ako "poker na vode"?;Jachting  
Šport;1;Kto je známy ako "Shakira"?;Speváčka  
Šport;1;Kde sa konajú majstrovstvá sveta v triatlone?;Zürich
Šport;2;Kto je najúspešnejší tenista v mužskej histórii?;Federer  
Šport;2;Aký je názov najznámejšieho futbalového klubu v Španielsku?;Real Madrid  
Šport;2;Kto je známy ako "Svetový šampión" v boxe?;Ali  
Šport;2;Ktorý tím vyhral posledný Stanley Cup?;Avalanche  
Šport;2;Kto je najrýchlejší plavec v histórii?;Phelps  
Šport;2;Aký šport sa hrá na zimných olympijských hrách?;Hokej  
Šport;2;Ktorý športovec má najviac zlatých medailí?;Phelps  
Šport;2;Kto je najúspešnejší futbalový hráč vo Francúzsku?;Zidane  
Šport;2;Kto vyhral posledný Grand Slam v tenise?;Djokovic  
Šport;2;Aký šport je najpopulárnejší v Anglicku?;Futbal  
Šport;2;Ktorý tím vyhral posledné majstrovstvá sveta vo futbale?;Francúzsko  
Šport;2;Kto je známy ako "Babe Ruth" v baseballu?;Ruth  
Šport;2;Aký šport sa hrá s palicou a loptičkou?;Hokej  
Šport;2;Kto je najznámejší tenista žien?;Williams  
Šport;2;Ktoré mesto je známe svojím maratónom?;Boston  
Šport;2;Kto vyhral Tour de France v 2022?;Vingegaard  
Šport;2;Aký šport je známy ako "kráľovská hra"?;Šach  
Šport;2;Kto je najúspešnejší volejbalista?;Kurek  
Šport;2;Kto je najstarší víťaz v histórii Grand Slamu?;Andrescu  
Šport;2;Ktorý šport sa hrá na pieskových plážach?;Volejbal  
Šport;2;Kto je najznámejší skokan do vody?;Dahlke  
Šport;2;Aké je najprestížnejšie golfové podujatie?;Masters  
Šport;2;Kto je známy ako "Michael Jordan" basketbalu?;Jordan  
Šport;2;Ktorý tím vyhral UEFA Champions League v 2021?;Chelsea  
Šport;2;Kto je najúspešnejší hokejista všetkých čias?;Gretzky  
Šport;2;Aký šport je populárny v Taliansku?;Futbal  
Šport;2;Kto je najlepší americký futbalista?;Brady  
Šport;2;Aký šport je známy ako "pohybujúca sa hra"?;Kriket  
Šport;2;Kto vyhral posledné majstrovstvá sveta v hokeji?;Kanada  
Šport;2;Kto je najúspešnejší maratónsky bežec?;Bekele  
Šport;2;Ktorý atlet je známy ako "najrýchlejší muž"?;Bolt  
Šport;2;Aký šport je známy ako "súťaž v kráse"?;Gymnastika  
Šport;2;Kto je známy ako "Kráľ tenisu"?;Federer  
Šport;2;Kto je najlepším futbalovým brankárom?;Buffon  
Šport;2;Ktoré mesto hostí Formula 1?;Monako  
Šport;2;Aký šport sa hrá s raketou a loptou?;Badminton  
Šport;2;Kto je najúspešnejší cyklista v histórii?;Armstrong  
Šport;2;Kde sa konajú olympijské hry v roku 2028?;Los Angeles  
Šport;2;Kto vyhral posledné majstrovstvá sveta v ženského futbale?;USA  
Šport;2;Kto je známy ako "Kráľ boxu"?;Ali  
Šport;2;Ktorý šport sa hrá s curlingovými kameňmi?;Curling  
Šport;2;Kto je najznámejší slovenský futbalista?;Hamšík  
Šport;2;Aký šport je známy ako "futbal na piesku"?;Plážový futbal  
Šport;2;Kto je najznámejší chodec?;Waldner  
Šport;2;Kde sa koná Wimbledon?;Londýn  
Šport;2;Kto vyhral posledný Super Bowl?;Chiefs  
Šport;2;Kto je najúspešnejší skokan na lyžiach?;Stoch  
Šport;2;Aký šport sa hrá na dráhe?;Atletika  
Šport;2;Ktoré mesto hostilo letné olympijské hry 2008?;Peking  
Šport;2;Kto je najznámejší pretekár v MotoGP?;Rossi  
Šport;2;Kto je najúspešnejší športovec v histórii?;Jordan  
Šport;2;Aký šport sa hrá s palicou a loptičkou?;Golf  
Šport;2;Kto je najlepší skokan do vody?;Daley  
Šport;2;Kto vyhral posledné majstrovstvá sveta v rugby?;Nový Zéland
Šport;2;Kto vyhral posledný majstrovský titul v Premier League?;Manchester City  
Šport;2;Kto je najlepším slovenským hokejistom všetkých čias?;Peter Šťastný  
Šport;2;Aký šport sa hrá na ľade s puku?;Hokej  
Šport;2;Kto je najrýchlejší muž na svete?;Usain Bolt  
Šport;2;Kto je najúspešnejší tréner v histórii futbalu?;Sir Alex Ferguson  
Šport;2;Ktorý tím je známy ako "Bílí Tygři"?;Liberec  
Šport;2;Kto je najúspešnejší tenista žien?;Margaret Court  
Šport;2;Aký je názov najprestížnejšieho futbalového turnaja?;Liga majstrov  
Šport;2;Ktoré mesto hostí tenisové US Open?;New York  
Šport;2;Kto je najznámejší jazdec na motorke?;Valentino Rossi  
Šport;2;Ktorý šport je známy ako "kráľovná športov"?;Atletika  
Šport;2;Kto je najúspešnejší hokejový útočník?;Wayne Gretzky  
Šport;2;Ktorý šport sa hrá na bežeckých dráhach?;Atletika  
Šport;2;Kto je najznámejší futbalista Argentíny?;Lionel Messi  
Šport;2;Kto je najúspešnejší skokan na lyžiach?;Matti Nykanen  
Šport;2;Aký šport je súčasťou letných olympijských hier?;Gymnastika  
Šport;2;Kto je najlepším futbalovým brankárom?;Lev Yashin  
