kategoria;narocnost;otazka;odpoved
Mýtológia;1;Kto je bohom hromu v severskej mytológii?;Thor  
Mýtológia;1;Aké zviera je symbolom bohyne Ateny?;Sova  
Mýtológia;1;Kto je bohom vína v gréckej mytológii?;Dionýsos  
Mýtológia;1;Kto je kráľom bohov v gréckej mytológii?;Zeus  
Mýtológia;1;Aká je hlavná rieka v podsvetí?;Styx  
Mýtológia;1;Kto je bohyňou lásky a krásy?;Afrodíta  
Mýtológia;1;Ktorý hrdina zabil Minotaura?;Théseus  
Mýtológia;1;Kto je bohom vojny v rímskej mytológii?;Mars  
Mýtológia;1;Aký je názov gréckej múzy poézie?;Kalliope  
Mýtológia;1;Kto je bohom slnka v gréckej mytológii?;Apollón  
Mýtológia;1;Kto je matkou boha Hermesa?;Maia  
Mýtológia;1;Kto sa premenil na labuť?;Zeus  
Mýtológia;1;Kto je bohyňou úrody?;Demetra  
Mýtológia;1;Kto je bohom podsvetia?;Hádés  
Mýtológia;1;Aké stvorenie stráži vstup do podsvetia?;Kerberos  
Mýtológia;1;Kto je bohom múz?;Apollón  
Mýtológia;1;Kto sa považuje za prvého človeka v gréckej mytológii?;Prometheus  
Mýtológia;1;Ktorý hrdina vykonal dvanásť prác?;Herakles  
Mýtológia;1;Kto je bohyňa vína v rímskej mytológii?;Bacchus  
Mýtológia;1;Aký je názov posvätného stromu bohyne Ateny?;Olive  
Mýtológia;1;Kto je bohom obchodu a cestovania?;Hermes  
Mýtológia;1;Kto je bohom smrti?;Thanatos  
Mýtológia;1;Kto je kráľom podsvetia v rímskej mytológii?;Pluto  
Mýtológia;1;Aký je názov bohyně vojny?;Athéna  
Mýtológia;1;Kto je bohom morskej hladiny?;Poseidón  
Mýtológia;1;Ktorý hrdina sa plavil na lodi Argo?;Jasón  
Mýtológia;1;Kto je bohyňou osudu?;Moiry  
Mýtológia;1;Kto je bohom hudby?;Apollón  
Mýtológia;1;Aké zvíře je symbolem boha Anubisa?;Šakal  
Mýtológia;1;Kto je bohyňou pomsty?;Nemesis  
Mýtológia;1;Kto je bohom múz a inšpirácie?;Apollón  
Mýtológia;1;Kto je bohom vína v gréckej mytológii?;Dionýsos  
Mýtológia;1;Kto je vládcov podsvetia?;Hádés  
Mýtológia;1;Kto bol otcom boha Hermesa?;Zeus  
