kategoria;narocnost;otazka;odpoved
Technológie;1;Aký jazyk sa používa na webový vývoj?;HTML  
Technológie;1;Aký je najpoužívanejší operačný systém na svete?;Windows  
Technológie;1;Kto je zakladateľom spoločnosti Microsoft?;Gates  
Technológie;1;Aký je skratka pre osobný počítač?;PC  
Technológie;1;Aký produkt vyrába spoločnosť Google?;Android  
Technológie;1;Ktorý prehliadač je od spoločnosti Mozilla?;Firefox  
Technológie;1;Aký je skriptovací jazyk pre web?;JavaScript  
Technológie;1;Aký typ pamäte je RAM?;Dočasná  
Technológie;1;Aký je názov najpopulárnejšej sociálnej siete?;Facebook  
Technológie;1;Aký je názov aplikácie pre videohovory od Microsoftu?;Teams  
Technológie;1;Ktorý vyhľadávač je najpoužívanejší?;Google  
Technológie;1;Aký je názov populárneho grafického editora?;Photoshop  
Technológie;1;Ktorá spoločnosť vyvinula Windows?;Microsoft  
Technológie;1;Aký je skratka pre rozhranie USB?;Universal  
Technológie;1;Aký jazyk sa používa na vytváranie aplikácií pre iOS?;Swift  
Technológie;1;Aký je názov cloudovej služby od Amazonu?;AWS  
Technológie;1;Ktorý jazyk je vyvinutý na analýzu dát?;R  
Technológie;1;Aký je názov známeho operačného systému pre servery?;Linux  
Technológie;1;Kto vyvinul jazyk Python?;Guido  
Technológie;1;Ktorá technológia sa používa na bezdrôtový prenos?;Wi-Fi  
Technológie;1;Aký je názov najpopulárnejšej platformy pre videohry?;Steam  
Technológie;1;Aký je názov technológie virtuálnej reality od Oculus?;Rift  
Technológie;1;Ktorá spoločnosť vyrába MacBook?;Apple  
Technológie;1;Aký je názov aplikácie pre poznámky od Microsoftu?;OneNote  
Technológie;1;Aký je najpoužívanejší jazyk na programovanie webu?;JavaScript  
Technológie;1;Aký je názov technológie pre prehliadanie internetu?;HTTP  
Technológie;1;Ktorá firma vyrobila Xbox?;Microsoft  
Technológie;1;Aký je názov populárnej platformy pre video streaming?;YouTube  
Technológie;1;Ktorý jazyk je známy pre svoj syntax a čitateľnosť?;Python  
Technológie;1;Aký je názov najpopulárnejšieho operačného systému pre mobily?;Android  
Technológie;1;Aký je názov nástroja na správu verzí?;Git  
Technológie;1;Kto je zakladateľom spoločnosti Apple?;Jobs  
Technológie;1;Aký je názov populárneho operačného systému pre servery?;Ubuntu  
Technológie;1;Aký je názov programovacieho jazyka od Sun Microsystems?;Java  
Technológie;1;Aký je názov systému pre správu databáz od Oracle?;Oracle  
Technológie;1;Aký je názov nástroja na analýzu webovej návštevnosti?;Google Analytics  
Technológie;1;Aký je názov technológie pre bezdrôtové nabíjanie?;Qi  
Technológie;1;Ktorá firma vyrába Surface?;Microsoft  
Technológie;1;Aký je názov najpopulárnejšieho operačného systému pre serverové aplikácie?;Linux  
Technológie;1;Aký je názov technológie pre zabezpečenie webových stránok?;SSL  
Technológie;1;Aký jazyk sa používa na programovanie webových aplikácií?;PHP  
Technológie;1;Aký je názov platformy pre online spoluprácu od Atlassian?;Confluence  
Technológie;1;Ktorý jazyk je známy pre svoje použitie v data science?;R  
Technológie;1;Aký je názov populárnej aplikácie pre správu úloh?;Todoist  
Technológie;1;Aký je názov technológie pre automatizáciu marketingu?;CRM  
Technológie;1;Ktorá firma vyrobila Chromebook?;Google  
Technológie;1;Aký je názov technológie pre mobilné platby?;NFC  
Technológie;1;Aký je názov operačného systému pre zariadenia Apple?;iOS  
Technológie;1;Ktorý jazyk je známy pre svoju rýchlosť?;C++  
Technológie;1;Aký je názov aplikácie na správu hesiel?;LastPass  
