kategoria;narocnost;otazka;odpoved
Náboženstvo;1;Kto je zakladateľom kresťanstva?;Ježiš Kristus  
Náboženstvo;1;Ktorá kniha je považovaná za svätú v islame?;Korán  
Náboženstvo;1;Aký deň sa oslavuje Veľká noc?;Nedeľa  
Náboženstvo;1;Kto je hlavným bohom v hinduizme?;Brahma  
Náboženstvo;1;Akým jazykom je napísaná Biblia?;Hebrejčina  
Náboženstvo;1;Aký je symbol kresťanstva?;Kríž  
Náboženstvo;1;Aké náboženstvo sa zakladá na učeniach Budhu?;Buddhizmus  
Náboženstvo;1;Kto je prorok v islame?;Mohamed  
Náboženstvo;1;Kto bol Mojžiš?;Prorok  
Náboženstvo;1;Aké je najrozšírenejšie náboženstvo na svete?;Kresťanstvo  
Náboženstvo;1;Ktorý sviatok oslavujú Židia na pamiatku úniku z Egypta?;Pesach  
Náboženstvo;1;Ktorá postava je známa ako "otec národov" v islame?;Abraham  
Náboženstvo;1;Ako sa volá indický festival svetiel?;Diwali  
Náboženstvo;1;Ktorá kniha je základom judaizmu?;Tóra  
Náboženstvo;1;Kto je najvyššou autoritou v katolíckej cirkvi?;Pápež  
Náboženstvo;1;Aký je názov modlitby moslimov?;Salát  
Náboženstvo;1;Kto napísal knihu "Kniha mŕtvych"?;Egypt  
Náboženstvo;1;Aké sú štyri pravdy v buddhizme?;Štyri  
Náboženstvo;1;Aký je názov najväčšej kresťanskej cirkvi?;Katolícka  
Náboženstvo;1;Ktorý deň v týždni je zasvätený v judaizme?;Šabat  
Náboženstvo;1;Aká je hlavná modlitba v judaizme?;Šema  
Náboženstvo;1;Ktorý náboženský text obsahuje "Bhagavad Gítu"?;Mahábhárata  
Náboženstvo;1;Aký je názov islamského pôstu?;Ramadán  
Náboženstvo;1;Kto je bohom vojny v gréckej mytológii?;Ares  
Náboženstvo;1;Ako sa volá duchovný vodca v budhizme?;Dalajláma  
Náboženstvo;1;Ktoré mesto je považované za sväté v islame?;Mekka  
Náboženstvo;1;Aký je názov modlitby v kresťanstve?;Otče náš  
Náboženstvo;1;Kto je bohom múdrosti v hinduizme?;Sarasvati  
Náboženstvo;1;Aký je názov kresťanského sviatku narodenia Ježiša?;Vianoce  
Náboženstvo;1;Kto je zakladateľom islamu?;Mohamed  
