kategoria;narocnost;otazka;odpoved
Móda;1;Aký je názov obľúbenej značky športového oblečenia s logom "swoosh"?;Nike  
Móda;1;Ktorý módny doplnok sa nosí na krku a môže byť z rôznych materiálov?;Šál  
Móda;1;Aký je názov populárnej módnej prehliadky, ktorá sa koná v Paríži?;Paris  
Móda;1;Ktorá značka je známa svojimi luxusnými kabelkami a iniciálami "LV"?;Louis Vuitton  
Móda;1;Aký je názov klasických pánskych nohavíc, ktoré sú často vyrobené z džínoviny?;Džínsy  
Móda;1;Ktorý módny návrhár vytvoril značku "Chanel"?;Coco  
Móda;1;Aký je názov obľúbeného ženského oblečenia, ktoré zakrýva celé telo a je zvyčajne elegantné?;Šaty  
Móda;1;Ktorý typ obuvi je známy svojou vysokou podrážkou a je často spájaný s večernými róbami?;Lodičky  
Móda;1;Aký je názov prúžkovanej látky, ktorá je obľúbená na letné oblečenie?;Plážovka  
Móda;1;Ktoré módne slovo označuje oblečenie, ktoré je vyrobené z recyklovaných materiálov?;Eko  
Móda;1;Aký je názov slávnych nohavíc, ktoré sú zvyčajne úzke a končia nad členkom?;Kocky  
Móda;1;Ktorý typ klobúka je známy svojím širokým okrajom a často sa nosí na slnku?;Slnečný  
Móda;1;Aký je názov populárneho svetového módneho domu, ktorý založil Giorgio Armani?;Armani  
Móda;1;Ktoré oblečenie je obvykle vyrobené z jemnej látky a nosí sa na spanie?;Pyžamo  
Móda;1;Aký je názov klasického pánskeho obleku, ktorý sa nosí na formálne príležitosti?;Frak  
Móda;1;Ktorý módny kúsok zvyčajne obsahuje opasok a je nosený na spodnej časti tela?;Nohavice  
Móda;1;Aký je názov populárneho oblečenia s krátkym rukávom, ktoré sa často nosí v lete?;Tričko  
Móda;1;Ktorý typ šperku sa nosí na zápästí a môže byť vyrobený z rôznych materiálov?;Náramok  
Móda;1;Aký je názov oblečenia, ktoré je zvyčajne voľné a nosí sa na pláži?;Plavky  
Móda;1;Ktoré slovo označuje oblečenie, ktoré je vyrobené z kože?;Kožené  
Móda;1;Aký je názov populárneho oblečenia, ktoré nosíme na hlave na ochranu pred slnkom?;Klobúk  
Móda;1;Ktorý typ obuvi je známy svojím elegantným vzhľadom a nosí sa na formálne akcie?;Topánky  
Móda;1;Aký je názov módneho doplnku, ktorý sa nosí na ušiach?;Náušnice  
