kategoria;narocnost;otazka;odpoved
Literatúra;1;Kto napísal román "1984"?;Orwell  
Literatúra;1;Aký je názov hlavného hrdinu v románe "Zločin a trest"?;Raskolnikov  
Literatúra;1;Kto je autorom "Malého princa"?;Saint-Exupéry  
Literatúra;1;Ktorý spisovateľ vytvoril postavu Sherlocka Holmesa?;Doyle  
Literatúra;1;Aký je názov diela od Shakespeara o tragédii dvoch milencov?;Romeo a Júlia  
Literatúra;1;Kto napísal "Búrlivé výšiny"?;Brontëová  
Literatúra;1;Aký je názov románu od Tolstého o ruskej spoločnosti?;Vojna a mier  
Literatúra;1;Kto je autorom diela "Na ceste"?;Kerouac  
Literatúra;1;Ktoré dielo napísal Franz Kafka?;Premet  
Literatúra;1;Aké je meno hlavného hrdinu v "Dobrých predpokladoch"?;Pip  
Literatúra;1;Kto napísal "Moby Dick"?;Melville  
Literatúra;1;Aký je názov románu od Jane Austenovej o láske a pýche?;Pýcha a predsudok  
Literatúra;1;Kto autorom "Hrdého budzogáňa"?;Kollár  
Literatúra;1;Aký je názov diela o čarodejnici od Roalda Dahla?;Čarodejnice  
Literatúra;1;Kto napísal "Hobita"?;Tolkien  
Literatúra;1;Aký je názov románu od J.K. Rowlingovej?;Harry Potter  
Literatúra;1;Kto je autorom "Veľkého Gatsbyho"?;Fitzgerald  
Literatúra;1;Aký je názov románu "Pán prsteňov"?;Spoločenstvo  
Literatúra;1;Kto napísal "Farma zvierat"?;Orwell  
Literatúra;1;Aký je názov najznámejšej básne od E. A. Poea?;Havran  
Literatúra;1;Kto je autorom "Srdce tmy"?;Conrad  
Literatúra;1;Aké je meno hlavnej postavy v "Harry Potter"?;Harry  
Literatúra;1;Kto napísal "Návrat domov"?;Fugger  
Literatúra;1;Aký je názov románu od Charlesa Dickensa?;Oliver Twist  
Literatúra;1;Kto je autorom "Pohrobka"?;Zweig  
Literatúra;1;Aký je názov diela od Gabriela Garcíu Márqueza?;Sto rokov  
Literatúra;1;Kto napísal "Džin a jeho priateľ"?;Maugham  
Literatúra;1;Aký je názov románu od Johna Steinbecka?;Hrozny hnevu  
Literatúra;1;Kto je autorom "Podivuhodného Kocúra"?;Keller  
Literatúra;1;Aký je názov diela "Anna Karenina"?;Tolstoj  
Literatúra;1;Kto napísal "Sophie’s World"?;Gaarder  
Literatúra;1;Aký je názov románu od J. D. Salingera?;Kto chytá v žite  
Literatúra;1;Kto je autorom "Pán much"?;Golding  
Literatúra;1;Aký je názov románu "Pí a jeho život"?;Martel  
Literatúra;1;Kto napísal "Pani Bovaryová"?;Flaubert  
Literatúra;1;Aký je názov diela od Romaina Rollanda?;Jean-Christophe  
Literatúra;1;Kto je autorom "Cudzie slová"?;Kollár  
Literatúra;1;Aký je názov románu "Cikán a generál"?;Kukura  
Literatúra;1;Kto napísal "Dějiny zločinu"?;Morris  
Literatúra;1;Aký je názov diela od Ericha Marii Remarquea?;Na západe nič nové  
Literatúra;1;Kto je autorom "Zlodejka kníh"?;Zusak  
Literatúra;1;Aký je názov románu "Päťdesiat odtieňov"?;Grey  
Literatúra;1;Kto napísal "Bratři Karamazovi"?;Dostojevskij  
Literatúra;1;Aký je názov románu od Agathy Christie?;Vražda v Orient expresu  
Literatúra;1;Kto je autorom "Mestských poviedok"?;Kollár  
Literatúra;1;Aký je názov diela od H. G. Wellsa?;Stroj času  
Literatúra;1;Kto napísal "Cestovanie s Charleyom"?;Steinbeck  
Literatúra;1;Aký je názov románu "Pani Dallowayová"?;Woolf  
Literatúra;1;Kto je autorom "Tichý Don"?;Šolokhov  
Literatúra;1;Aký je názov diela od D. H. Lawrence?;Milenci  
Literatúra;1;Kto napísal "Cesta"?;McCarthy  
Literatúra;1;Aký je názov románu "Kto chytá v žite"?;Salinger  
Literatúra;1;Kto je autorom "Hľadanie strateného času"?;Proust
Literatúra;1;Kto napísal román "Pani Bovaryová"?;Flaubert  
Literatúra;1;Kto je autorom "Básníkov"?;Shakespeare  
Literatúra;1;Aký je názov románu od J. R. R. Tolkiena?;Hobit  
Literatúra;1;Kto napísal "Cez prekážky"?;Hemingway  
Literatúra;1;Aký je názov diela od Dostojevského?;Idiot  
Literatúra;1;Kto je autorom "Cikán a generál"?;Kundera  
Literatúra;1;Aký je názov románu "Veľký Gatsby"?;Fitzgerald  
Literatúra;1;Kto napísal "Farma zvierat"?;Orwell  
Literatúra;1;Aký je názov diela od Kafku?;Premet  
Literatúra;1;Kto je autorom "Smrť v Benátkach"?;Mann  
Literatúra;1;Aký je názov románu od Edith Wharton?;Stredná trieda  
Literatúra;1;Kto napísal "Cudzie slová"?;Pavlík  
Literatúra;1;Aký je názov románu od Agathy Christie?;Vražda  
Literatúra;1;Kto je autorom "Ferdyduka"?;Tuwim  
Literatúra;1;Aký je názov diela od C. S. Lewisa?;Narnia  
Literatúra;1;Kto napísal "Kto chytá v žite"?;Salinger  
Literatúra;1;Aký je názov románu "Moby Dick"?;Melville  
Literatúra;1;Kto je autorom "Majster a Margaréta"?;Bulgakov  
Literatúra;1;Aký je názov diela od Ray Bradbury?;Fahrenheit  
Literatúra;1;Kto napísal "Krajina pôvodu"?;Tolkien  
Literatúra;1;Aký je názov románu od Kunderu?;Nesnesiteľná  
Literatúra;1;Kto je autorom "Búrlivé výšiny"?;Bronte  
Literatúra;1;Aký je názov diela od S. Kinga?;To  
Literatúra;1;Kto napísal "Cesta"?;McCarthy  
Literatúra;1;Aký je názov románu "Prežili sme"?;Kollár  
Literatúra;1;Kto je autorom "Sophie’s World"?;Gaarder  
Literatúra;1;Aký je názov diela od A. Christie?;Murder  
Literatúra;1;Kto napísal "Zabudnutý jazyk"?;Kafka  
Literatúra;1;Aký je názov románu od B. Brechta?;Matka  
Literatúra;1;Kto je autorom "O myšiach a ľuďoch"?;Steinbeck  
Literatúra;1;Aký je názov diela od F. M. Dostojevského?;Zločin  
Literatúra;1;Kto napísal "Pán prsteňov"?;Tolkien  
Literatúra;1;Aký je názov románu od J. K. Rowling?;Harry  
Literatúra;1;Kto je autorom "Trójske vojny"?;Homer  
Literatúra;1;Aký je názov diela od A. Camus?;Cudzinec  
Literatúra;1;Kto napísal "Cudzie slová"?;Pavlík  
Literatúra;1;Aký je názov románu od F. Kafka?;Zámok  
Literatúra;1;Kto je autorom "Básne o láske"?;Neruda  
Literatúra;1;Aký je názov diela od M. Prousta?;Hľadanie  
