kategoria;narocnost;otazka;odpoved
Politika;1;Kto je prezidentom USA?;Biden  
Politika;1;Ktorá strana je v Slovensku vládnou?;Smer  
Politika;1;Kto je predsedom vlády Slovenska?;Heger  
Politika;1;Aké je hlavné mesto Francúzska?;Paríž  
Politika;1;Kto je lídrom KDH?;Hrušovský  
Politika;1;Čo je názov parlamentu v UK?;Westminster  
Politika;1;Kto bol prvý prezident Slovenska?;Kováč  
Politika;1;Kto je zakladateľom OĽaNO?;Matovič  
Politika;1;Aká je farba vlajky USA?;Červená  
Politika;1;Kto je premiérom Veľkej Británie?;Sunak  
Politika;1;Aké je hlavné mesto Nemecka?;Berlín  
Politika;1;Kto je lídrom PS?;Hlinčík  
Politika;1;Ktorá krajina má najväčší počet štátov?;USA  
Politika;1;Aká je farba vlajky Slovenska?;Modrá  
Politika;1;Kto je predsedom Európskej komisie?;Ursula  
Politika;1;Čo je názov parlamentu v SR?;Národná rada  
Politika;1;Kto je najdlhšie slúžiacim prezidentom USA?;Franklin  
Politika;1;Kde sídli OSN?;New York  
Politika;1;Kto je prezidentom Ruska?;Putin  
Politika;1;Aká je hlavná úloha vlády?;Správa  
Politika;1;Kto je predsedom SNS?;Danko  
Politika;1;Ktorá krajina je známa ako "Zem vychádzajúceho slnka"?;Japonsko  
Politika;1;Čo je názov najvyššieho súdu v USA?;Supremný  
Politika;1;Kto je lídrom KDH?;Mikloško  
Politika;1;Aké je hlavné mesto Talianska?;Rím  
Politika;1;Kto je prezidentom Francúzska?;Macron  
Politika;1;Kto je ministerkou spravodlivosti SR?;Žitňanská  
Politika;1;Kto je predsedom Smeru?;Fico  
Politika;1;Aká je farba vlajky Nemecka?;Čierna  
Politika;1;Kde sídli NATO?;Brusel  
Politika;1;Kto je zakladateľom strany SaS?;Sulík  
Politika;1;Kto je ministrom zahraničných vecí SR?;Káčer  
Politika;1;Kto je šéfom Maďarskej vlády?;Orbán  
Politika;1;Aké je hlavné mesto Španielska?;Madrid  
Politika;1;Kto je predsedom čínskej vlády?;Li  
Politika;1;Kto je prvou dámou USA?;Jill  
Politika;1;Kto je lídrom strany Zelených?;Grüne  
Politika;1;Aké je hlavné mesto Česka?;Praha  
Politika;1;Kto je prezidentom Ukrajiny?;Zelenskyj  
Politika;1;Kto je predsedom vlády Talianska?;Meloni  
Politika;1;Kto je generálnym tajomníkom OSN?;Guterres  
Politika;1;Kto je predsedom Európskeho parlamentu?; Metsola  
Politika;1;Kto je prezidentom Indie?;Murmu  
Politika;1;Aká je farba vlajky Japonska?;Biela  
Politika;1;Kto je predsedom vlády Kanady?;Trudeau  
Politika;1;Ktorá strana je v Česku vládnou?;Piráti  
Politika;1;Kto je premiérom Austrálie?;Albanese  
Politika;1;Kto je prezidentom Brazílie?;Lula  
Politika;1;Kto je predsedníčkou vlády Nového Zélandu?;Ardern  
Politika;1;Kto je predsedom strany FIDESZ?;Orbán
Politika;1;Aké je hlavné mesto Švédska?;Štokholm  
Politika;1;Kto je prezidentom Číny?;Si Ťin-pching  
Politika;1;Kto je premiérkou Spojeného kráľovstva?;Rishi Sunak  
Politika;1;Kto je predsedom strany ĽSNS?;Marián Kotleba  
Politika;1;Kto je predsedom vlády Nemecka?;Olaf Scholz  
Politika;1;Kto je prezidentom Talianska?;Sergio Mattarella  
Politika;1;Kto je prezidentom Južnej Kórey?;Yoon Suk-yeol  
Politika;1;Kto je premiérom Indie?;Narendra Modi  
Politika;1;Aké je hlavné mesto Belgicka?;Brusel  
Politika;1;Ktorá strana je v Nemecku vládnou?;SPD  
Politika;1;Kto je prezidentom Argentíny?;Javier Milei  
Politika;1;Kto je predsedom strany OĽaNO?;Igor Matovič  
Politika;1;Aké je hlavné mesto Holandska?;Amsterdam  
Politika;1;Kto je prezidentom Srbska?;Aleksandar Vučić  
Politika;1;Kto je predsedom vlády Japonska?;Fumio Kishida  
Politika;1;Kto je prezidentom Egypta?;Abdel Fattah  
Politika;1;Kto je predsedom strany Smer?;Robert Fico  
Politika;1;Kto je premiérkou Nového Zélandu?;Chris Hipkins  
Politika;1;Aké je hlavné mesto Turecka?;Ankara  
Politika;1;Kto je prezidentom Mexika?;Andrés Manuel  
Politika;1;Kto je predsedom strany SNS?;Andrej Danko  
Politika;1;Ktorá strana je v Rakúsku vládnou?;ÖVP  
Politika;1;Kto je prezidentom Filipín?;Ferdinand Marcos  
Politika;1;Kto je predsedom vlády Španielska?;Pedro Sánchez  
Politika;1;Kto je predsedom strany FIDESZ?;Viktor Orbán  
Politika;1;Aké je hlavné mesto Dánska?;Kodaň  
Politika;1;Kto je prezidentom Ukrajiny?;Volodymyr Zelenskyj  
Politika;1;Kto je predsedom strany PS?;Michal Šimečka  
Politika;1;Kto je premiérom Kanady?;Justin Trudeau  
Politika;1;Kto je prezidentom Írska?;Michael D. Higgins  
Politika;1;Kto je predsedom vlády Austrálie?;Anthony Albanese  
Politika;1;Ktorá strana je v Taliansku vládnou?;Lega  
Politika;1;Kto je prezidentom Portugalska?;Marcelo Rebelo  
Politika;1;Aké je hlavné mesto Nemecka?;Berlín  
