kategoria;narocnost;otazka;odpoved
Technológie;1;Ktorá spoločnosť vyvinula Android?;Google  
Technológie;1;Aký je názov najpopulárnejšieho prehliadača od Microsoftu?;Edge  
Technológie;1;Kto je zakladateľom spoločnosti Microsoft?;Gates  
Technológie;1;Aký je názov najnovšieho modelu iPhone?;iPhone  
Technológie;1;Ktorý jazyk je najpoužívanejší na webových stránkach?;JavaScript  
Technológie;1;Čo je to Wi-Fi?;Bezdrôtová sieť  
Technológie;1;Ktorý sociálny sieťový server vlastní Mark Zuckerberg?;Facebook  
Technológie;1;Aký je názov cloudového úložiska od Google?;Drive  
Technológie;1;Ktorý operačný systém je vyvinutý spoločnosťou Apple?;macOS  
Technológie;1;Aké zariadenie slúži na snímanie fotografií?;Fotoaparát  
Technológie;1;Aké je skratka pre internetový protokol?;IP  
Technológie;1;Ktorá technológia sa používa na bezkontaktné platby?;NFC  
Technológie;1;Ktorý typ pamäte sa často používa v mobilných zariadeniach?;RAM  
Technológie;1;Aký je názov najznámejšej hernej konzoly od Sony?;PlayStation  
Technológie;1;Kto vytvoril Linux?;Torvalds  
Technológie;1;Aký je názov populárneho video portálu?;YouTube  
Technológie;1;Aké zariadenie slúži na prepojenie s internetom?;Router  
Technológie;1;Čo je to USB?;Univerzálny zbernica  
Technológie;1;Ktorý jazyk je najpoužívanejší na programovanie?;Python  
Technológie;1;Ktorý operačný systém je vyvinutý pre mobilné zariadenia od Apple?;iOS  
Technológie;1;Aký je názov technológie pre rozpoznávanie tváre?;Biometria  
Technológie;1;Ktorá značka vyrába Surface zariadenia?;Microsoft  
Technológie;1;Aký je názov populárneho operačného systému pre servery?;Linux  
Technológie;1;Ktorý typ siete je najčastejšie používaný v domácnostiach?;Wi-Fi  
Technológie;1;Aký je názov technológie pre prenos dát na krátke vzdialenosti?;Bluetooth  
Technológie;1;Čo je to HTML?;Značkovací jazyk  
Technológie;1;Aká je skratka pre "základná doska"?;MB  
Technológie;1;Aký je názov populárneho operačného systému od Googlu pre zariadenia?;Chrome  
Technológie;1;Ktorý typ obrazovky je najbežnejší v smartfónoch?;LCD  
Technológie;1;Aký je názov technológie pre prácu s virtuálnou realitou?;VR  
Technológie;1;Ktorý internetový vyhľadávač je najpoužívanejší?;Google  
Technológie;1;Aký je názov populárneho softvéru na úpravu videa?;Premiere  
Technológie;1;Kto založil spoločnosť Apple?;Jobs  
Technológie;1;Aký je skratka pre "grafická karta"?;GPU  
Technológie;1;Aký je názov technológie pre kompresiu súborov?;ZIP  
Technológie;1;Ktorý operačný systém je určený pre servery od Microsoftu?;Windows Server  
Technológie;1;Aké je názov technológie pre bezdrôtové nabíjanie?;Qi  
Technológie;1;Ktorý jazyk sa používa na tvorbu webových stránok?;HTML  
Technológie;1;Čo je to malware?;Zlý softvér  
Technológie;1;Ktorý typ pamäte je trvalý?;SSD  
Technológie;1;Aký je názov technológie pre video konferencie?;Zoom  
Technológie;1;Kto je zakladateľom spoločnosti Tesla?;Musk  
Technológie;1;Aký je názov programovacieho jazyka od Microsoftu?;C#  
Technológie;1;Ktorý typ databázy je najčastejšie používaný?;SQL  
Technológie;1;Aký je názov technológie pre sledovanie polohy?;GPS  
Technológie;1;Aký je názov najpopulárnejšej platformy na blogovanie?;WordPress  
Technológie;1;Kto je zakladateľom spoločnosti Amazon?;Bezos  
Technológie;1;Ktorý typ čipu je používaný v mobilných zariadeniach?;SoC  
Technológie;1;Aký je názov najpopulárnejšieho operačného systému pre PC?;Windows  
Technológie;1;Ktorý typ pamäte je používaný pre dočasné ukladanie dát?;RAM  
Technológie;1;Aký je názov najznámejšieho vyhľadávača?;Google  
Technológie;1;Kto vytvoril prvý počítač?;Babbage\nTechnológie;1;Kto je zakladateľom Microsoftu?;Gates
Technológie;1;Aký je názov najpoužívanejšieho internetového prehliadača?;Chrome
Technológie;1;Ktorý výrobca produkuje PlayStation?;Sony
Technológie;1;Aký typ pamäte je RAM?;Dočasná
Technológie;1;Kto je zakladateľom Facebooku?;Zuckerberg
Technológie;1;Aká je skratka pre umelú inteligenciu?;AI
Technológie;1;Čo označuje skratka Wi-Fi?;Bezdrôtová
Technológie;1;Ktorý operačný systém vyvinul Apple?;macOS
Technológie;1;Aký je názov najpopulárnejšej sociálnej siete?;Facebook
Technológie;1;Ktoré zariadenie sa používa na tlač dokumentov?;Tlačiareň
Technológie;1;Aký je názov najznámejšieho vyhľadávača?;Google
Technológie;1;Ktorá firma vytvorila Windows?;Microsoft
Technológie;1;Aká je skratka pre textový procesor Microsoftu?;Word
Technológie;1;Ktorý produkt je známy ako smartphone od Samsungu?;Galaxy
