kategoria;narocnost;otazka;odpoved
Geografia;1;Aké je hlavné mesto Francúzska?;Paríž  
Geografia;1;Ktorá krajina je známa ako krajina vychádzajúceho slnka?;Japonsko  
Geografia;1;Aké je hlavné mesto Talianska?;Rím  
Geografia;1;Na ktorom kontinente leží Egypt?;Afrika  
Geografia;1;Ktorá rieka preteká Bratislavou?;Dunaj  
Geografia;1;Ktoré mesto je hlavným mestom USA?;Washington  
Geografia;1;Ktorý oceán je najväčší?;Tichý  
Geografia;1;Aký je hlavný jazyk v Brazílii?;Portugalčina  
Geografia;1;Ktoré mesto je známe ako Benátky severu?;Amsterdam  
Geografia;1;Kde sa nachádza Veľký čínsky múr?;Čína  
Geografia;1;Aká je najvyššia hora sveta?;Everest  
Geografia;1;Ktorá krajina má najviac ostrovov?;Švédsko  
Geografia;1;Aké je hlavné mesto Nemecka?;Berlín  
Geografia;1;Ktorá krajina je domovom kangúra?;Austrália  
Geografia;1;Aký je hlavný jazyk v Španielsku?;Španielčina  
Geografia;1;Kde sa nachádza Eiffelova veža?;Paríž  
Geografia;1;Ktoré jazero je najhlbšie na svete?;Baikal  
Geografia;1;Ktorý kontinent je najmenší?;Austrália  
Geografia;1;Kde sa nachádza pyramída v Gíze?;Egypt  
Geografia;1;Aké je hlavné mesto Kanady?;Ottawa  
Geografia;1;Ktoré mesto je známe svojimi kanálmi?;Benátky  
Geografia;1;Kde sa nachádza socha Slobody?;New York  
Geografia;1;Aké je hlavné mesto Ruska?;Moskva  
Geografia;1;Ktorá krajina je známa čokoládou?;Švajčiarsko  
Geografia;1;Aké je hlavné mesto Japonska?;Tokio  
Geografia;1;Ktorá krajina sa rozprestiera na dvoch kontinentoch?;Turecko  
Geografia;1;Aké je hlavné mesto Grécka?;Atény  
Geografia;1;Kde sa nachádza najväčšia púšť?;Sahara  
Geografia;1;Ktorý oceán leží medzi Afrikou a Austráliou?;Indický  
Geografia;1;Aké je hlavné mesto Argentíny?;Buenos Aires  
Geografia;1;Ktorý štát je najmenší na svete?;Vatikán  
Geografia;1;Kde sa nachádza Niagara Falls?;Kanada  
Geografia;1;Aké je hlavné mesto Egypta?;Káhira  
Geografia;1;Ktoré mesto je známe ako „Veľké jablko“?;New York  
Geografia;1;Kde sa nachádza Mount Rushmore?;USA  
Geografia;1;Ktoré mesto je hlavným mestom Austrálie?;Canberra  
Geografia;1;Kde sa nachádza Antarktída?;Južný pól  
Geografia;1;Aké je hlavné mesto Švédska?;Štokholm  
Geografia;1;Ktorá krajina je známa pre svoje fjordy?;Nórsko  
Geografia;1;Kde sa nachádza Stonehenge?;Anglicko  
Geografia;1;Ktorý oceán je najmenší?;Arktický  
Geografia;1;Aké je hlavné mesto Fínska?;Helsinki  
Geografia;1;Ktoré mesto je známe ako „Mesto svetla“?;Paríž  
Geografia;1;Kde sa nachádza Kilimandžáro?;Tanzánia  
Geografia;1;Aké je hlavné mesto Indie?;Nové Dillí  
Geografia;1;Kde sa nachádza Veľký bariérový útes?;Austrália  
Geografia;1;Ktoré mesto je známe svojimi pamätníkmi?;Rím  
Geografia;1;Aké je hlavné mesto Španielska?;Madrid  
Geografia;1;Kde sa nachádza jazero Titicaca?;Bolívia  
Geografia;1;Ktorá krajina je známa ako krajina tisícich jazier?;Fínsko  
