kategoria;narocnost;otazka;odpoved
Gastro;1;Aký typ syra sa často používa na pizzu?;Mozzarella  
Gastro;1;Čo je hlavná ingrediencia guacamole?;Avokádo  
Gastro;1;Aký nápoj je známy ako "čierna káva"?;Káva  
Gastro;1;Ktorá múka je základom pre chlieb?;Pšeničná  
Gastro;1;Aký typ ryže je bežne používaný v sushi?;Jasmin  
Gastro;1;Čo je základná prísada v pesto?;Bazalka  
Gastro;1;Ktorý nápoj je vyrobený z fermentovanej ryže?;Saké  
Gastro;1;Aký dezert sa pripravuje z mascarpone?;Tiramisu  
Gastro;1;Čo je hlavným zložením polievky miso?;Miso  
Gastro;1;Aký druh mäsa je použité v tradičnej paelle?;Kuracie  
Gastro;1;Aká zelenina je základným komponentom v šaláte Caesar?;Rímsky  
Gastro;1;Čo je hlavný ingredienciou v hummuse?;Cícer  
Gastro;1;Aký nápoj je známy ako "bublinková voda"?;Soda  
Gastro;1;Ktoré ovocie je známe ako "kráľovná ovocia"?;Mango  
Gastro;1;Aký druh koláča sa zvyčajne podáva na narodeninách?;Torta  
Gastro;1;Aké jedlo sa zvyčajne pripravuje na Vianoce v mnohých krajinách?;Morčacie  
Gastro;1;Aký druh syra je typický pre španielsku kuchyňu?;Manchego  
Gastro;1;Čo sa bežne používa na ochutenie jedál v ázijskej kuchyni?;Sója  
Gastro;1;Aký druh ovocia sa používa na výrobu cideru?;Jablko  
Gastro;1;Čo je hlavnou zložkou v zemiakovej kaši?;Zemiaky  
Gastro;1;Aké jedlo je známe ako "americký hamburger"?;Hovädzie  
Gastro;1;Ktorý dezert obsahuje čokoládu a marshmallow?;S'mores  
Gastro;1;Aký druh oleja sa bežne používa na varenie?;Olive  
Gastro;1;Aké ovocie je typické pre smoothie?;Banán  
Gastro;1;Aké jedlo je známe ako "rajčinová polievka"?;Tomato  
Gastro;1;Ktorý nápoj je často podávaný s raňajkami?;Čaj  
Gastro;1;Ktorá zelenina je hlavným zložením v guacamole?;Avokádo  
Gastro;1;Aký druh chleba je typický pre francúzsku kuchyňu?;Bageta  
Gastro;1;Aký nápoj je vyrobený z fermentovaných hrozienok?;Víno  
Gastro;1;Aké jedlo sa zvyčajne pripravuje na Halloween?;Tekvica  
Gastro;1;Ktoré jedlo je známe ako "french fries"?;Zemiaky  
Gastro;1;Aký druh syra je najčastejšie používaný na tacos?;Queso  
Gastro;1;Aké ovocie je známe svojou kyslou chuťou?;Citrón  
Gastro;1;Aký druh korenia je známy pre svoju pikantnosť?;Chilli  
Gastro;1;Ktoré jedlo je obľúbené na raňajky v USA?;Pancakes  
Gastro;1;Aký druh ovocia sa používa na výrobu džemu?;Maliny  
Gastro;1;Čo je hlavnou prísadou v tradičnej španielskej omelete?;Zemiaky  
Gastro;1;Aký nápoj je známy ako "tropický koktail"?;Pina  
Gastro;1;Ktorý dezert je typický pre Taliansko?;Gelato  
Gastro;1;Aké jedlo je známe ako "španielska polievka"?;Gazpacho  
Gastro;1;Aký druh ovocia sa používa na výrobu vína?;Hrozno  
Gastro;1;Aký nápoj je obľúbený v Taliansku po jedle?;Espresso  
Gastro;1;Ktoré jedlo je známe ako "indický curry"?;Curry  
Gastro;1;Aká zelenina sa často používa v ázijskej kuchyni?;Mrkva  
Gastro;1;Ktoré jedlo je známe ako "grilované syry"?;Toast  
Gastro;1;Aký druh ryby je obľúbený na sushi?;Salmón  
Gastro;1;Ktoré ovocie je známe svojou sladkou chuťou?;Jahoda  
Gastro;1;Aký dezert je známy svojou krémovou textúrou?;Panna  
Gastro;1;Aké jedlo je obľúbené v Taliansku a obsahuje cestoviny?;Spaghetti  
Gastro;1;Aký druh syra je typický pre grécku kuchyňu?;Feta  
Gastro;1;Čo je hlavné zloženie v tradičnej polievke borscht?;Beet  
Gastro;1;Aký dezert obsahuje čokoládu a sušienky?;Brownies
Gastro;1;Aká múka sa používa na palacinky?;Pšeničná  
Gastro;1;Aké jedlo je tradične spojené s Talianskom?;Pizza  
Gastro;1;Ktorý nápoj je zvyčajne podávaný na večierkoch?;Šampanské  
Gastro;1;Aká prísada sa nachádza v tradičnej omelete?;Vajcia  
Gastro;1;Aký druh ovocia je často používaný na dezerty?;Jahody  
Gastro;1;Ktoré jedlo obsahuje brokolicu a syr?;Brokolicový koláč  
Gastro;1;Aký nápoj je známy ako "zelený čaj"?;Matcha  
Gastro;1;Aký druh ryby je známy ako "losos"?;Losos  
Gastro;1;Čo je základnou zložkou v šaláte?;Zelenina  
Gastro;1;Ktorý druh mäsa je typický pre kebab?;Baranina  
Gastro;1;Aký dezert je zvyčajne podávaný na Vianoce?;Tradičný koláč  
Gastro;1;Aký nápoj je často podávaný na večeru?;Víno  
Gastro;1;Ktoré jedlo je známe ako "smažené ryby"?;Fish and chips  
Gastro;1;Aký druh syra sa používa na špagety?;Parmezán  
Gastro;1;Ktorá zelenina je základnou prísadou v polievke?;Cibuľa  
Gastro;1;Aký druh orechov je bežne používaný v koláčoch?;Vlašské  
Gastro;1;Ktoré ovocie sa používa na výrobu banánového chleba?;Banány  
Gastro;1;Aký druh receptu je známy ako "grilovanie"?;Grilovanie  
Gastro;1;Aký nápoj je obľúbený v lete?;Limonáda  
Gastro;1;Ktoré jedlo je známe ako "talianske cestoviny"?;Pasta  
Gastro;1;Aká múka je základom na sušienky?;Hladká  
Gastro;1;Aký druh ovocia je bežne používaný na smoothies?;Banán  
Gastro;1;Ktorý dezert je známy svojou krémovou chuťou?;Panna cotta  
Gastro;1;Aké jedlo je obľúbené na raňajky v Taliansku?;Káva  
Gastro;1;Aký nápoj je známy pre svoju osviežujúcu chuť?;Minerálka  
Gastro;1;Ktorá zelenina je základná v polievke minestrone?;Mrkva  
Gastro;1;Aké jedlo je známe ako "sladké žemle"?;Koláče  
Gastro;1;Aký druh syra je používaný v lasagniach?;Ricotta  
Gastro;1;Ktoré ovocie je známe svojou osviežujúcou chuťou?;Melón  
Gastro;1;Aký nápoj je obľúbený na zimné večery?;Teplý čaj  
Gastro;1;Aké jedlo je známe ako "zemiakové placky"?;Bramboráky  
Gastro;1;Ktoré ovocie je základné v ovocných šalátoch?;Jablko  
