kategoria;narocnost;otazka;odpoved
Anatómia;1;Aký orgán pumpuje krv?;srdce  
Anatómia;1;Kde sa nachádza pečeň?;brucho  
Anatómia;1;Aký je najväčší orgán v tele?;koža  
Anatómia;1;Ktorá kost sa nachádza v predlaktí?;rádius  
Anatómia;1;Aký je hlavný orgán dýchacieho systému?;pľúca  
Anatómia;1;Aký je názov kostí v hlave?;lebka  
Anatómia;1;Ktorý sval je zodpovedný za pohyb paží?;biceps  
Anatómia;1;Aký orgán filtruje krv?;obličky  
Anatómia;1;Aký je najmenší kost v tele?;stapedus  
Anatómia;1;Ktorý orgán produkuje inzulín?;pankreas  
Anatómia;1;Kde sa nachádza slezina?;brucho  
Anatómia;1;Aký je názov svalov v nohách?;stehná  
Anatómia;1;Ktorý systém riadi telo?;nervový  
Anatómia;1;Aký je názov svalov na chrbte?;dorsálne  
Anatómia;1;Aký orgán je zodpovedný za zmysel chuti?;jazyk  
Anatómia;1;Ktorý orgán je spojený so sluchom?;ucho  
Anatómia;1;Aký je názov kĺbu v kolene?;meniskus  
Anatómia;1;Kde sa nachádza močový mechúr?;brucho  
Anatómia;1;Aký je názov svalov v hrudníku?;pectoralis  
Anatómia;1;Ktorý orgán produkuje žlč?;pečeň  
Anatómia;1;Aký je názov kosti v stehne?;femur  
Anatómia;1;Ktorý orgán je zodpovedný za videnie?;oko  
Anatómia;1;Kde sa nachádzajú pľúca?;hrudník  
Anatómia;1;Aký je názov malého prsta na ruke?;prst  
Anatómia;1;Aký je názov kosti v predlaktí?;ulna  
Anatómia;1;Ktorý orgán je zodpovedný za hormonálnu reguláciu?;žľazy  
Anatómia;1;Aký je názov časti mozgu?;cerebellum  
Anatómia;1;Ktorý sval je zodpovedný za dýchanie?;bránica  
Anatómia;1;Aký je názov časti chrbtice?;priečne  
Anatómia;1;Kde sa nachádza mozog?;hlava  
Anatómia;1;Aký je názov žily v tele?;vena  
Anatómia;1;Ktorý orgán je zodpovedný za metabolizmus?;pečeň  
Anatómia;1;Aký je názov kostí v nohe?;kosti  
Anatómia;1;Ktorý orgán je spojený s trávením?;žalúdok  
Anatómia;1;Aký je názov tkaniva, ktoré obklopuje orgány?;peritoneum  
Anatómia;1;Ktorý orgán je zodpovedný za imunitu?;slezina  
Anatómia;1;Kde sa nachádzajú obličky?;brucho  
Anatómia;1;Aký je názov nosných kostí?;nasálne  
Anatómia;1;Ktorý orgán je zodpovedný za rovnováhu?;ucho  
Anatómia;1;Aký je názov svalov v bruchu?;abdominálne  
Anatómia;1;Ktorý systém chráni telo pred infekciou?;imunitný  
Anatómia;1;Aký je názov časti zubov?;korunka  
Anatómia;1;Kde sa nachádza srdce?;hrudník  
Anatómia;1;Aký je názov ciev, ktoré vedú krv k srdcu?;žíly  
Anatómia;1;Ktorý orgán je zodpovedný za reprodukciu?;vaječníky  
Anatómia;1;Aký je názov kostí v ruke?;zápästie  
Anatómia;1;Ktorý sval je zodpovedný za chôdzu?;quadriceps  
Anatómia;1;Aký je názov malého kostného úseku?;kostička  
Anatómia;1;Kde sa nachádzajú cievy?;telo  
Anatómia;1;Aký je názov kĺbu v ramene?;glenohumerálny  
Anatómia;1;Ktorý orgán zodpovedá za trávenie?;žalúdok  
Anatómia;1;Aký je názov tkaniva, ktoré spája svaly s kosťami?;šľacha
Anatómia;1;Aký je názov časti srdca?; predsieň  
Anatómia;1;Ktorý orgán produkuje hormóny?; štítna žľaza  
Anatómia;1;Aký je názov najväčšieho svalstva?; gluteus maximus  
Anatómia;1;Kde sa nachádzajú uši?; hlava  
Anatómia;1;Aký je názov kostí v tvári?; čeľusť  
Anatómia;1;Ktorý orgán je zodpovedný za vylučovanie?; obličky  
Anatómia;1;Aký je názov svalov v predlaktí?; flexory  
Anatómia;1;Kde sa nachádza pupok?; brucho  
Anatómia;1;Aký je názov kostí v ruke?; zápästie  
Anatómia;1;Aký je názov svalov na tvári?; mimické svaly  
Anatómia;1;Ktorý orgán sa podieľa na dýchaní?; priedušnice  
Anatómia;1;Aký je názov kĺbu v lakti?; ohyb  
Anatómia;1;Kde sa nachádzajú pľúca?; hrudník  
Anatómia;1;Aký je názov kostí v krku?; krčné stavce  
Anatómia;1;Ktorý orgán je zodpovedný za zmysel čuchu?; nos  
Anatómia;1;Aký je názov tkaniva, ktoré obklopuje svaly?; svalovina  
Anatómia;1;Kde sa nachádza jazyk?; ústa  
Anatómia;1;Aký je názov časti chrbtice?; bedrová  
Anatómia;1;Ktorý orgán je zodpovedný za sluch?; ucho  
Anatómia;1;Aký je názov ciev, ktoré vedú krv od srdca?; artérie  
Anatómia;1;Kde sa nachádza bránica?; hrudná dutina  
Anatómia;1;Aký je názov kostí v oblasti hrudníka?; rebrá  
Anatómia;1;Ktorý orgán je zodpovedný za trávenie?; žalúdok  
Anatómia;1;Aký je názov tkaniva, ktoré spája orgány?; väzivo  
Anatómia;1;Kde sa nachádzajú obličky?; chrbát  
Anatómia;1;Aký je názov svalov v bokoch?; abduktory  
Anatómia;1;Ktorý orgán je zodpovedný za imunitu?; lymfa  
Anatómia;1;Aký je názov najmenšej kosti?; sluchová  
Anatómia;1;Kde sa nachádza konečník?; brucho  
Anatómia;1;Aký je názov svalov v oblasti krku?; sternocleidomastoid  
Anatómia;1;Ktorý orgán je zodpovedný za metabolizmus?; pečeň  
Anatómia;1;Aký je názov kostí v nohe?; stehenná  
Anatómia;1;Kde sa nachádza srdcová chlopňa?; srdce  
Anatómia;1;Aký je názov žíl v tele?; vena  
