kategoria;narocnost;otazka;odpoved
Aktuálne dianie;1;Kto je prezidentom USA?;Biden  
Aktuálne dianie;1;Ktorá krajina usporiadala olympijské hry v roku 2021?;Japonsko  
Aktuálne dianie;1;Kto je generálnym tajomníkom OSN?;Guterres  
Aktuálne dianie;1;Aký je názov najnovšieho filmu o Jamesovi Bondovi?;No Time  
Aktuálne dianie;1;Ktorá krajina bola prvou, ktorá schválila vakcínu proti COVID-19?;Veľká Británia  
Aktuálne dianie;1;Kto je zakladateľom Facebooku?;Zuckerberg  
Aktuálne dianie;1;Aká je hlavná město Francúzska?;Paríž  
Aktuálne dianie;1;Kto objavil penicilín?;Fleming  
Aktuálne dianie;1;Ktorá krajina má najvyššiu populáciu na svete?;Čína  
Aktuálne dianie;1;Kto je hlavný vyjednávač EÚ pre brexit?;Barnier  
Aktuálne dianie;1;Ktorý spevák vydal album „30“?;Adele  
Aktuálne dianie;1;Kto je autorom teórie relativity?;Einstein  
Aktuálne dianie;1;Kde sa nachádza Eiffelova veža?;Paríž  
Aktuálne dianie;1;Kto je najbohatším človekom na svete v roku 2023?;Musk  
Aktuálne dianie;1;Aký je názov najväčšej sociálnej siete?;Facebook  
Aktuálne dianie;1;Kto bol prvým černošským prezidentom USA?;Obama  
Aktuálne dianie;1;Aký je názov najnovšej klimatickej konferencie?;COP28  
Aktuálne dianie;1;Kto je premiérom Spojeného kráľovstva?;Sunak  
Aktuálne dianie;1;Ktorá krajina vyhrala posledný futbalový svetový pohár?;Francúzsko  
Aktuálne dianie;1;Kto je autorom knižnej série Harry Potter?;Rowling  
Aktuálne dianie;1;Ktorá krajina je známa svojimi tulipánmi?;Holandsko  
Aktuálne dianie;1;Kto je prezidentom Ukrajiny?;Zelenskyj  
Aktuálne dianie;1;Kto je hlavnou postavou seriálu „Hra o tróny“?;Jon Snow  
Aktuálne dianie;1;Aký je názov najväčšieho jazera na svete?;Kaspické  
Aktuálne dianie;1;Kto je známy ako „otec internetu“?;Cerf  
Aktuálne dianie;1;Kto je riaditeľom WHO?;Ghebreyesus  
Aktuálne dianie;1;Ktorá krajina je známa svojimi pyramídami?;Egypt  
Aktuálne dianie;1;Aký je názov najnovšej verzie operačného systému Windows?;Windows 11  
Aktuálne dianie;1;Kto je najúspešnejším tenistom v histórii?;Federer  
Aktuálne dianie;1;Kto napísal „Veľkého Gatsbyho“?;Fitzgerald  
Aktuálne dianie;1;Ktorý štát je známy svojou kultúrou sushi?;Japonsko  
Aktuálne dianie;1;Kto je zakladateľom Tesly?;Musk  
Aktuálne dianie;1;Ktorá krajina je najväčšia na svete?;Rusko  
Aktuálne dianie;1;Kto je najznámejším astronautom?;Armstrong  
Aktuálne dianie;1;Kto je riaditeľom FBI?;Wray  
Aktuálne dianie;1;Ktorá krajina je známa svojim čokoládovým výrobkom?;Švajčiarsko  
Aktuálne dianie;1;Kto je najlepším strelec v histórii futbalu?;Pelé  
Aktuálne dianie;1;Ktorý štát je známy svojou kultúrou flamenga?;Španielsko  
Aktuálne dianie;1;Kto je aktuálnym prezidentom Francúzska?;Macron  
Aktuálne dianie;1;Aký je názov najväčšej korporácie na svete?;Apple  
Aktuálne dianie;1;Kto je najznámejším režisérom filmov o superhrdinoch?;Marvel  
Aktuálne dianie;1;Kto je autorom „1984“?;Orwell  
Aktuálne dianie;1;Kto je riaditeľom NASA?;Nelson  
Aktuálne dianie;1;Ktorý šport sa hrá na tenisovom kurte?;Tenis  
Aktuálne dianie;1;Kto napísal „Moby Dicka“?;Melville  
Aktuálne dianie;1;Kto je najznámejším spevákom popu?;Jackson  
Aktuálne dianie;1;Aký je názov najnovšej verzia iOS?;iOS 16  
Aktuálne dianie;1;Ktorý kraj je známy svojou kultúrou kebabu?;Turecko  
Aktuálne dianie;1;Kto je autorom „Pána prsteňov“?;Tolkien  
Aktuálne dianie;1;Aký je názov najväčšej cirkvi na svete?;Basilika  
Aktuálne dianie;1;Kto je známy ako „kráľ rock and rollu“?;Elvis  
Aktuálne dianie;1;Kto je zakladateľom Microsoftu?;Gates  
Aktuálne dianie;1;Kto je prezidentom Ruska?;Putin  
Aktuálne dianie;1;Ktorý športovec vyhral najviac zlatých medailí na olympiádach?;Phelps  
Aktuálne dianie;1;Kto je najznámejším britským hercom?;Cumberbatch
Politika;1;Kto je premiérom Českej republiky?;Fiala  
Kultúra;1;Kto napísal „Pýcha a predsudok“?;Austen  
Ekonomika;1;Ktorá mena sa používa v Japonsku?;Jen  
Sport;1;Kto vyhral posledný Wimbledon?;Djoković  
Technológie;1;Kto je CEO spoločnosti Apple?;Cook  
Ekológia;1;Ktorá krajina je známa ako „Zelený kraj“?;Nový Zéland  
Veda;1;Kto je známy ako „otec genetiky“?;Mendel  
Zdravie;1;Aký je názov vakcíny od Pfizeru?;Comirnaty  
Kultúra;1;Kto je autorom „Malého princa“?;Saint-Exupéry  
Politika;1;Kto je prezidentom Nemecka?;Steinmeier  
Sport;1;Ktorý tím vyhral posledný Super Bowl?;Chiefs  
Veda;1;Aký je názov najbližšej hviezdnej sústavy?;Proxima  
Technológie;1;Kto vytvoril Android?;Google  
Ekonomika;1;Ktorá krajina má euro ako svoju menu?;Nemecko  
Historie;1;Kto bol prvým človekom na Mesiaci?;Armstrong  
Kultúra;1;Aký je názov hlavného mesta Talianska?;Rím  
Politika;1;Kto je predsedom Európskej komisie?;von der Leyen  
Sport;1;Ktorý šport sa hrá na zimných olympiádach?;Hokej  
Zdravie;1;Aké ochorenie spôsobuje vírus HIV?;AIDS  
Technológie;1;Kto je zakladateľom SpaceX?;Musk  
Veda;1;Kto objavil zákony pohybu?;Newton  
Kultúra;1;Kto je známy ako „kráľ popu“?;Jackson  
Politika;1;Kto je predsedom vlády Talianska?;Meloni  
Sport;1;Kto vyhral posledný majstrovstvá sveta v hokeji?;Kanada  
Ekonomika;1;Ktorá firma vyrába iPad?;Apple  
Zdravie;1;Kto je riaditeľom CDC?;Walensky  
Technológie;1;Kto je zakladateľom Amazonu?;Bezos  
Kultúra;1;Aký je názov najznámejšieho obrazu od Moneta?;Lekná  
Politika;1;Kto je prezidentom Južnej Kórey?;Yoon  
Sport;1;Ktorý tím vyhral posledný Euro?;Taliansko  
Veda;1;Aké je chemické symbol zlata?;Au  
Ekologické;1;Ktorá krajina je najväčším producentom ropy?;USA  
Zdravie;1;Aký je názov choroby, ktorá spôsobuje cukrovku?;Diabetes  
Technológie;1;Ktorý vyhľadávač vlastní Google?;YouTube  
Kultúra;1;Kto napísal „Romeo a Júlia“?;Shakespeare  
Politika;1;Kto je premiérom Kanady?;Trudeau  
Sport;1;Kto vyhral poslednú Tour de France?;Vingegaard  
Ekonomika;1;Ktorá mena sa používa v Spojenom kráľovstve?;Libra  
Veda;1;Aký je názov najväčšej planéty v slnečnej sústave?;Jupiter  
Technológie;1;Ktorá firma vyrába Galaxy?;Samsung  
Kultúra;1;Kto je autorom „Vojny a mieru“?;Tolstoj  
Politika;1;Kto je prezidentom Francúzska?;Macron  
Sport;1;Ktorý tím vyhral posledné MS vo futbale?;Argentina  
Zdravie;1;Ktorý vírus spôsobuje chrípku?;Influenza  
Veda;1;Kto je známy ako „otec moderného chémie“?;Lavoisier  
Technológie;1;Kto je CEO spoločnosti Microsoft?;Nadella  
Kultúra;1;Aký je názov najpopulárnejšieho muzikálu na Broadwayi?;Hamilton  
Politika;1;Kto je predsedom Senátu USA?;Schumer
Aktuálne dianie;2;Kto je premiérom Maďarska?;Viktor Orbán  
Aktuálne dianie;2;Kto je prezidentom Brazílie?;Lula da Silva  
Aktuálne dianie;2;Aká je názov poslednej klimatickej konferencie OSN?;COP28  
Aktuálne dianie;2;Kto je generálnym tajomníkom NATO?;Jens Stoltenberg  
Aktuálne dianie;2;Ktorá krajina prijala nové klimatické zákony v 2023?;Nemecko  
Aktuálne dianie;2;Kto je prezidentom Turecka?;Recep Erdoğan  
Aktuálne dianie;2;Kto je známy ako "kráľovná popu" v súčasnosti?;Madonna  
Aktuálne dianie;2;Kto je prezidentom Juhoafrickej republiky?;Cyril Ramaphosa  
Aktuálne dianie;2;Kto je riaditeľom Medzinárodného menového fondu?;Kristalina Georgieva  
Aktuálne dianie;2;Ktorá krajina vyhrala Eurovision 2023?;Švédsko  
Aktuálne dianie;2;Kto je zakladateľom a CEO spoločnosti Twitter?;Elon Musk  
Aktuálne dianie;2;Kto je víťazom posledného Oscarového ceremoniálu za najlepší film?;Everything Everywhere  
Aktuálne dianie;2;Kto je riaditeľom spoločnosti Tesla?;Elon Musk  
Aktuálne dianie;2;Kto je prezidentom Ukrajiny?;Volodymyr Zelenskyj  
Aktuálne dianie;2;Kto je víťazom posledného majstrovstva sveta v krikete?;Indie  
Aktuálne dianie;2;Kto je predsedom vlády Japonska?;Fumio Kishida  
Aktuálne dianie;2;Ktorá krajina zrušila povinné očkovanie proti COVID-19?;Írsko  
Aktuálne dianie;2;Kto je prezidentom Argentíny?;Javier Milei  
Aktuálne dianie;2;Kto je riaditeľom spoločnosti Google?;Sundar Pichai  
Aktuálne dianie;2;Kto je víťazom posledného Grand Prix v F1?;Max Verstappen  
Aktuálne dianie;2;Kto je prezidentom Mexika?;Andrés Manuel  
Aktuálne dianie;2;Ktorá krajina prijala nové zákony proti dezinformáciám?;Austrália  
Aktuálne dianie;2;Kto je prezidentom Filipín?;Ferdinand Marcos  
Aktuálne dianie;2;Kto je víťazom posledného Wimbledon?;Carlos Alcaraz  
Aktuálne dianie;2;Kto je predsekom Európskeho parlamentu?;Roberta Metsola  
Aktuálne dianie;2;Kto je prezidentom Rumunska?;Klaus Iohannis  
Aktuálne dianie;2;Ktorá krajina má najvyšší počet utečencov v 2023?;Turecko  
Aktuálne dianie;2;Kto je známy ako "otec popu" v súčasnosti?;Michael Jackson  
Aktuálne dianie;2;Kto je predsedom vlády Španielska?;Pedro Sánchez  
Aktuálne dianie;2;Kto je prezidentom Kórejskej republiky?;Yoon Suk-yeol  
Aktuálne dianie;2;Kto je riaditeľom organizácie UNICEF?;Catherine Russell  
Aktuálne dianie;2;Kto je víťazom posledného Super Bowlu?;Kansas City  
Aktuálne dianie;2;Kto je prezidentom Poľska?;Andrzej Duda  
Aktuálne dianie;2;Ktorá krajina má najvyššiu životnosť?;Japonsko  
Aktuálne dianie;2;Kto je známy ako "otec moderného umenia"?;Pablo Picasso  
Aktuálne dianie;2;Kto je prezidentom Indie?;Droupadi Murmu  
Aktuálne dianie;2;Kto je najbohatším človekom v Ázii?;Mukesh Ambani  
Aktuálne dianie;2;Kto je premiérom Kanady?;Justin Trudeau  
Aktuálne dianie;2;Kto je riaditeľom spoločnosti Netflix?;Ted Sarandos  
Aktuálne dianie;2;Kto je predsedom vlády Talianska?;Giorgia Meloni  
Aktuálne dianie;2;Kto je prezidentom Srbska?;Aleksandar Vučić  
Aktuálne dianie;2;Kto je víťazom posledných majstrovstiev sveta v basketbale?;USA  
Aktuálne dianie;2;Kto je prezidentom Bieloruska?;Alexander Lukašenko  
Aktuálne dianie;2;Kto je zakladateľom firmy SpaceX?;Elon Musk  
Aktuálne dianie;2;Kto je víťazom posledného majstrovstva sveta vo futbale?;Argentína  
Aktuálne dianie;2;Kto je prezidentom Českej republiky?;Petr Pavel  
Aktuálne dianie;2;Kto je predsedom vlády Nemecka?;Olaf Scholz  
Aktuálne dianie;2;Kto je prezidentom Estónska?;Alar Karis  
Aktuálne dianie;2;Kto je riaditeľom Medzinárodnej agentúry pre atómovú energiu?;Rafael Grossi  
Aktuálne dianie;2;Kto je víťazom Nobelovej ceny za mier 2023?;Ales Bialiatski
Aktuálne dianie;2;Kto je premiérom Talianska?;Giorgia Meloni  
Aktuálne dianie;2;Ktorá krajina hostila COP28?;Spojené arabské emiráty  
Aktuálne dianie;2;Kto je prezidentom Kolumbie?;Gustavo Petro  
Aktuálne dianie;2;Kto je generálnym tajomníkom NATO?;Jens Stoltenberg  
Aktuálne dianie;2;Ktorá krajina sa stala členom EÚ v roku 2023?;Chorvátsko  
Aktuálne dianie;2;Kto je prezidentom Fínska?;Sauli Niinistö  
Aktuálne dianie;2;Aká je mena v Turecku?;Lira  
Aktuálne dianie;2;Kto je predsedom vlády Indie?;Narendra Modi  
Aktuálne dianie;2;Ktorý kraj zrušil COVID-19 obmedzenia v 2023?;Dánsko  
Aktuálne dianie;2;Kto je prezidentom Iránu?;Ebrahim Raisi  
Aktuálne dianie;2;Ktorá krajina vyhrala MS v hádzanej 2023?;Dánsko  
Aktuálne dianie;2;Kto je prezidentom Argentíny?;Javier Milei  
Aktuálne dianie;2;Kto je predsedom vlády Španielska?;Pedro Sánchez  
Aktuálne dianie;2;Ktorá krajina vyhrala majstrovstvá sveta v rugby?;Južná Afrika  
Aktuálne dianie;2;Kto je prezidentom Srbska?;Aleksandar Vučić  
Aktuálne dianie;2;Kto je hlavný vyjednávač USA pre klimatickú dohodu?;John Kerry  
Aktuálne dianie;2;Ktorá krajina prišla o kráľovnú v 2022?;Veľká Británia  
Aktuálne dianie;2;Kto je prezidentom Južnej Kórey?;Yoon Suk-yeol  
Aktuálne dianie;2;Kto je predsedom Európskej rady?;Charles Michel  
Aktuálne dianie;2;Ktorá krajina prijala zákony proti dezinformáciám?;Nemecko  
Aktuálne dianie;2;Kto je generálnym tajomníkom OSN?;António Guterres  
Aktuálne dianie;2;Kto je prezidentom Maďarska?;Katalin Novák  
Aktuálne dianie;2;Kto je prezidentom Nemecka?;Frank-Walter Steinmeier  
Aktuálne dianie;2;Kto je predsedom vlády Českej republiky?;Petr Fiala  
Aktuálne dianie;2;Kto je prezidentom Grécka?;Katerina Sakellaropoulou  
Aktuálne dianie;2;Kto je prezidentom Rumunska?;Marcel Ciolacu  
Aktuálne dianie;2;Kto je predsedom vlády Slovenska?;Robert Fico  
Aktuálne dianie;2;Kto je prezidentom Portugalska?;Marcelo Rebelo  
Aktuálne dianie;2;Kto je prezidentom Litvy?;Gitanas Nausėda  
Aktuálne dianie;2;Kto je predsedníčkou Európskej komisie?;Ursula von der Leyen  
Aktuálne dianie;2;Kto je prezidentom Egypta?;Abdel Fattah el-Sisi  
Aktuálne dianie;2;Kto je predsedom vlády Talianska?;Giorgia Meloni  
Aktuálne dianie;2;Kto je prezidentom Slovinska?;Nataša Pirc Musar  
Aktuálne dianie;2;Kto je prezidentom Mali?;Assimi Goïta  
Aktuálne dianie;2;Kto je prezidentom Cypru?;Nicos Christodoulides  
Aktuálne dianie;2;Kto je prezidentom Kene?;William Ruto  
Aktuálne dianie;2;Kto je prezidentom Sýrie?;Bashar al-Assad  
Aktuálne dianie;2;Kto je predsedom vlády Belgicka?;Alexander De Croo  
Aktuálne dianie;2;Kto je prezidentom Malajzie?;Anwar Ibrahim  
Aktuálne dianie;2;Kto je prezidentom Libanonu?;Michel Aoun  
Aktuálne dianie;2;Kto je prezidentom Zeleného mysu?;José Maria Neves  
Aktuálne dianie;2;Kto je prezidentom Dominikánskej republiky?;Luis Abinader  
Aktuálne dianie;2;Kto je prezidentom Súdánu?;Abdel Fattah al-Burhan  
Aktuálne dianie;2;Kto je prezidentom Zambie?;Hakainde Hichilema  
Aktuálne dianie;2;Kto je prezidentom Toga?;Faure Gnassingbé  
Aktuálne dianie;2;Kto je prezidentom Pobrežia Slonoviny?;Alassane Ouattara  
Aktuálne dianie;2;Kto je prezidentom Barmy?;Min Aung Hlaing  
Aktuálne dianie;2;Kto je prezidentom Gabonu?;Ali Bongo  
Aktuálne dianie;2;Kto je prezidentom Mali?;Assimi Goïta  
Aktuálne dianie;2;Kto je prezidentom Bahrajnu?;Hamad bin Isa Al Khalifa  
Aktuálne dianie;2;Kto je prezidentom Qataru?;Tamim bin Hamad Al Thani  
Aktuálne dianie;2;Kto je prezidentom Saint Kitts a Nevis?;Terrance Drew
Aktuálne dianie;3;Kto vyhral voľby v Taliansku v roku 2022?;Meloni  
Aktuálne dianie;3;Kto je hlavným vyjednávačom USA na klimatických konferenciách?;Kerry  
Aktuálne dianie;3;Kto je prezidentom Srbska v roku 2023?;Vučić  
Aktuálne dianie;3;Kto je generálnym tajomníkom EÚ?;Ursula von der Leyen  
Aktuálne dianie;3;Ktorá krajina zorganizovala COP27?;Egypt  
Aktuálne dianie;3;Kto je prezidentom Brazílie od roku 2023?;Lula  
Aktuálne dianie;3;Kto je víťazom Nobelovej ceny za literatúru 2023?;Kjell Askildsen  
Aktuálne dianie;3;Kto je premiérom Kanady v roku 2023?;Trudeau  
Aktuálne dianie;3;Kto je prezidentom Ukrajiny od začiatku vojny?;Zelenskyj  
Aktuálne dianie;3;Ktorá krajina ukončila vojenskú službu pre ženy?;Švédsko  
