kategoria;narocnost;otazka;odpoved
Ríša zvierat;1;Ktoré zviera je najväčšie na svete?;Modrý veľryba  
Ríša zvierat;1;Ktoré zviera je známe ako "kráľ džungle"?;Lev  
Ríša zvierat;1;Aké zviera je symbolom múdrosti?;Sova  
Ríša zvierat;1;Ktoré zviera produkuje med?;Včela  
Ríša zvierat;1;Aké zviera je najrýchlejšie na súši?;Gepard  
Ríša zvierat;1;Ktoré zviera je najmenšie na svete?;Bumblebee bat  
Ríša zvierat;1;Ktoré zviera má najdlhší krk?;Žirafa  
Ríša zvierat;1;Aké zviera je známe svojou schopnosťou skákať?;Králiček  
Ríša zvierat;1;Ktoré zviera je najdlhšie žijúce?;Žralok  
Ríša zvierat;1;Ktoré zviera je najbližší príbuzný človeka?;Šimpanz  
Ríša zvierat;1;Ktoré zviera je známe svojím červeným nosom?;Sob  
Ríša zvierat;1;Aké zviera je známe ako "plazivý kráľ"?;Korytnačka  
Ríša zvierat;1;Ktoré zviera má najväčšie oči?;Oko  
Ríša zvierat;1;Ktoré zviera je známe svojím pestrým perím?;Papagáj  
Ríša zvierat;1;Ktoré zviera je hlavným zdrojom ovčej vlny?;Ovca  
Ríša zvierat;1;Aké zviera je známe svojim skvelým čuchom?;Pes  
Ríša zvierat;1;Ktoré zviera sa nazýva "kráľovná noci"?;Kocúr  
Ríša zvierat;1;Ktoré zviera je súčasťou známeho zverinca?;Slon  
Ríša zvierat;1;Aké zviera sa považuje za symbol lásky?;Holub  
Ríša zvierat;1;Ktoré zviera má najväčšiu silu v pomere k veľkosti?;Chrobák  
Ríša zvierat;1;Ktoré zviera je známe svojou ostrohou?;Rybárik  
Ríša zvierat;1;Ktoré zviera je považované za "pána hmyzu"?;Mravec  
Ríša zvierat;1;Ktoré zviera má schopnosť meniť farbu?;Chameleón  
Ríša zvierat;1;Kto sa považuje za najzraniteľnejšie zviera?;Nosorožec  
Ríša zvierat;1;Ktoré zviera je známe svojím hmyzom?;Motýľ  
Ríša zvierat;1;Kto je najvyšší suchozemský cicavec?;Žirafa  
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým chvostom?;Lemur  
Ríša zvierat;1;Ktoré zviera je symbolom Austrálie?;Kangúr  
Ríša zvierat;1;Ktoré zviera je najväčší predátor?;Ľadový medveď  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom?;Slávik  
Ríša zvierat;1;Ktoré zviera je považované za najinteligentnejšie?;Delfín  
Ríša zvierat;1;Ktoré zviera je známe svojou plávajúcou schopnosťou?;Korytnačka  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou lietať?;Vták  
Ríša zvierat;1;Ktoré zviera je známe svojím náhľadom?;Tigra  
Ríša zvierat;1;Ktoré zviera je najväčšie suchozemské zviera?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojím silným hlasom?;Kohút  
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým telom?;Had  
Ríša zvierat;1;Ktoré zviera je známe svojím zlatým sfarbením?;Zlatá rybka  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou tancovať?;Pavián  
Ríša zvierat;1;Ktoré zviera je známe svojou pomalou chôdzou?;Korytnačka  
Ríša zvierat;1;Ktoré zviera je známe svojím strážením?;Pes  
Ríša zvierat;1;Ktoré zviera je známe svojím skrytým životom?;Tajga  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou prežiť v extrémnych podmienkach?;Púšť  
Ríša zvierat;1;Ktoré zviera je známe svojou silou?;Lev  
Ríša zvierat;1;Ktoré zviera je známe svojím spievaním?;Slávik  
Ríša zvierat;1;Ktoré zviera je známe svojím skrytým životom vo vode?;Rybár  
Ríša zvierat;1;Ktoré zviera je najobľúbenejším domácim zvieraťom?;Pes  
Ríša zvierat;1;Ktoré zviera je známe svojimi dlhými ušami?;Zajac  
Ríša zvierat;1;Ktoré zviera je najmenším cicavcom na svete?;Pipistrellus  
Ríša zvierat;1;Ktoré zviera je známe svojím čiernym sfarbením?;Uhlíkový chvost
Ríša zvierat;1;Ktoré zviera je známe svojou rýchlosťou vo vode?;Delfín  
Ríša zvierat;1;Aké zviera sa nazýva "pán hmyzu"?;Mravec  
Ríša zvierat;1;Ktoré zviera je známe svojím skvelým sluchom?;Sova  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou plávať?;Vydra  
Ríša zvierat;1;Ktoré zviera je známe svojou veľkou silou?;Slon  
Ríša zvierat;1;Aké zviera je známe svojím pestrým sfarbením?;Papagáj  
Ríša zvierat;1;Ktoré zviera je najobľúbenejším domácim miláčikom?;Pes  
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým krkom?;Žirafa  
Ríša zvierat;1;Ktoré zviera je známe svojím ostrým zrakom?;Jastrab  
Ríša zvierat;1;Ktoré zviera je známe svojou dlhou životnosťou?;Žralok  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou skryť sa?;Chameleon  
Ríša zvierat;1;Aké zviera je známe svojou agresivitou?;Hroch  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou skákať?;Králiček  
Ríša zvierat;1;Ktoré zviera je známe svojím pomalým pohybom?;Slen  
Ríša zvierat;1;Aké zviera je najmenšie v oceáne?;Krysa  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom v noci?;Sova  
Ríša zvierat;1;Ktoré zviera má najdlhší chvost?;Pavúk  
Ríša zvierat;1;Aké zviera je najväčšie na pevnine?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojím rozkošným vzhľadom?;Koala  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou lietať?;Netopier  
Ríša zvierat;1;Ktoré zviera je známe svojou silou v mori?;Chobotnica  
Ríša zvierat;1;Ktoré zviera je známe svojím vynikajúcim čuchom?;Psy  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom?;Slávik  
Ríša zvierat;1;Aké zviera je známe svojou rýchlosťou?;Kôň  
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým telom?;Had  
Ríša zvierat;1;Ktoré zviera sa považuje za symbol moci?;Orol  
Ríša zvierat;1;Ktoré zviera je známe svojimi dlhými nohami?;Žirafa  
Ríša zvierat;1;Ktoré zviera má najväčšiu silu v pomere k veľkosti?;Mravec  
Ríša zvierat;1;Ktoré zviera je známe svojím štíhlym telom?;Gepard  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou plávať?;Rybka  
Ríša zvierat;1;Ktoré zviera sa považuje za symbol šťastia?;Sova  
Ríša zvierat;1;Ktoré zviera je známe svojím priateľským správaním?;Pes  
Ríša zvierat;1;Ktoré zviera je známe svojím vynikajúcim zrakom?;Sova  
Ríša zvierat;1;Aké zviera sa nazýva "kráľovná džungle"?;Leopard  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou prežiť v extrémnych podmienkach?;Tučniak  
Ríša zvierat;1;Ktoré zviera je známe svojím zlatým sfarbením?;Zlatá rybka  
Ríša zvierat;1;Ktoré zviera je najväčším predátorom?;Tiger  
Ríša zvierat;1;Ktoré zviera je známe svojím veľkým rozpätím krídel?;Orol  
Ríša zvierat;1;Ktoré zviera je známe svojím ostrým tichom?;Puma  
Ríša zvierat;1;Aké zviera je známe svojou prítomnosťou v domácnostiach?;Mačka  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom v prírode?;Cvrček  
Ríša zvierat;1;Aké zviera je známe svojou odolnosťou voči chladu?;Tučniak  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou prežiť v piesku?;Korytnačka
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým jazykom?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou lietať?;Netopier  
Ríša zvierat;1;Aké zviera je známe svojou schopnosťou žiť vo vode?;Rybka  
Ríša zvierat;1;Ktoré zviera je najväčšie na súši?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou plávať?;Delfín  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou skákať?;Kangúr  
Ríša zvierat;1;Aké zviera je známe svojím špecifickým zápachom?;Mysi  
Ríša zvierat;1;Ktoré zviera sa považuje za symbol moci?;Lev  
Ríša zvierat;1;Ktoré zviera je známe svojou bielou farbou?;Mrož  
Ríša zvierat;1;Ktoré zviera je známe svojím čiernym sfarbením?;Panda  
Ríša zvierat;1;Ktoré zviera je známe svojou rýchlosťou?;Gepard  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou skryť sa?;Chameleon  
Ríša zvierat;1;Ktoré zviera je známe svojou agresivitou?;Krokodíl  
Ríša zvierat;1;Ktoré zviera je známe svojim dlhým chvostom?;Kocúr  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom?;Slávik  
Ríša zvierat;1;Ktoré zviera je známe svojou vynikajúcou pamäťou?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojou pomalou chôdzou?;Žirafa  
Ríša zvierat;1;Aké zviera je známe svojou schopnosťou tancovať?;Pavúk  
Ríša zvierat;1;Ktoré zviera je známe svojím ostrým zrakom?;Sova  
Ríša zvierat;1;Ktoré zviera je známe svojím hlasným volaním?;Havran  
Ríša zvierat;1;Aké zviera je známe svojou dlhou životnosťou?;Žralok  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou prežiť v piesku?;Korytnačka  
Ríša zvierat;1;Ktoré zviera je známe svojím rozkošným vzhľadom?;Koala  
Ríša zvierat;1;Ktoré zviera je známe svojím žltým sfarbením?;Kanárik  
Ríša zvierat;1;Ktoré zviera je známe svojím bleskovým pohybom?;Rybka  
Ríša zvierat;1;Ktoré zviera je známe svojím rýchlym behom?;Zajac  
Ríša zvierat;1;Ktoré zviera je známe svojím pestrým sfarbením?;Papagáj  
Ríša zvierat;1;Ktoré zviera je známe svojou silou?;Medveď  
Ríša zvierat;1;Ktoré zviera je známe svojím rozšírením?;Holub  
Ríša zvierat;1;Ktoré zviera je známe svojím vynikajúcim sluchom?;Psa  
Ríša zvierat;1;Ktoré zviera je najmenšie v lese?;Mravec  
Ríša zvierat;1;Ktoré zviera je známe svojím skrytým životom?;Tajomný  
Ríša zvierat;1;Ktoré zviera je známe svojou životaschopnosťou?;Krysa  
Ríša zvierat;1;Ktoré zviera je známe svojím osamotením?;Puma  
Ríša zvierat;1;Ktoré zviera je známe svojím roztomilým správaním?;Panda  
Ríša zvierat;1;Ktoré zviera je známe svojou dlhou nohou?;Žirafa  
Ríša zvierat;1;Ktoré zviera je známe svojou veľmi silnou čelusťou?;Aligátor  
Ríša zvierat;1;Ktoré zviera je známe svojím útokom v noci?;Sova  
Ríša zvierat;1;Ktoré zviera je známe svojou láskyplnosťou?;Pes  
Ríša zvierat;1;Ktoré zviera je známe svojou odolnosťou voči teplu?;Kozoroh  
Ríša zvierat;1;Ktoré zviera je známe svojou bodkovanou kožou?;Jaguár  
Ríša zvierat;1;Ktoré zviera je známe svojou veľkou silou?;Slon  
Ríša zvierat;1;Ktoré zviera je známe svojimi dlhými ušami?;Zajac  
Ríša zvierat;1;Ktoré zviera je známe svojím veľkým rozšírením?;Holub  
Ríša zvierat;1;Ktoré zviera je známe svojím dlhým krkom?;Žirafa  
Ríša zvierat;1;Ktoré zviera je známe svojím rýchlym pohybom?;Krysa  
Ríša zvierat;1;Ktoré zviera je známe svojím čiernym a bielym sfarbením?;Panda  
Ríša zvierat;1;Ktoré zviera je známe svojím spevom v noci?;Sova  
Ríša zvierat;1;Ktoré zviera je známe svojou schopnosťou žiť na stromoch?;Veverička  
