kategoria;narocnost;otazka;odpoved
Hry a hračky;1;Aká hra kombinuje slová a body?;Scrabble  
Hry a hračky;1;Ktorý z týchto hier je známy ako "človeče, nehnevaj sa"?;Dame  
Hry a hračky;1;Aká je najpredávanejšia hračka na svete?;Barbie  
Hry a hračky;1;Akú hru hráme s kockami?;Hracích   
Hry a hračky;1;Aká hra je známa ako "Tetris"?;Puzzle  
Hry a hračky;1;Ktorá hra sa hrá s kartami a má 52 kariet?;Poker  
Hry a hračky;1;Aké sú malé figúrky v hre Monopoly?;Pena  
Hry a hračky;1;Ktorá hračka je obľúbená medzi deťmi a má kolieska?;Bicykel  
Hry a hračky;1;Ktorá hra sa hrá na počítači s postavami v boji?;Dota  
Hry a hračky;1;Aká je najobľúbenejšia stolná hra na svete?;Monopoly  
Hry a hračky;1;Ktorá hra je známa ako "hra s otázkami"?;Kvíz  
Hry a hračky;1;Aká hračka sa skladá z farebných kociek?;LEGO  
Hry a hračky;1;Ktorá hra sa hrá na ploche s figúrkami a šachovnicou?;Šach  
Hry a hračky;1;Aká hračka sa používa na kreslenie a maľovanie?;Farby  
Hry a hračky;1;Ktorá hra sa hrá s balónmi a je populárna na párty?;Hádzanie  
Hry a hračky;1;Ktorá hračka má zvyčajne zvuk a svetlá?;Hračky  
Hry a hračky;1;Aká hra sa hrá na počítači a vyžaduje tímovú prácu?;FPS  
Hry a hračky;1;Ktorá hračka je známa svojou schopnosťou skákať?;Gulička  
Hry a hračky;1;Aká hračka sa používa na súťaženie v rýchlosti?;Autíčko  
Hry a hračky;1;Ktorá hra má figúrky, ktoré sa pohybujú po doske?;Dame  
Hry a hračky;1;Aký je názov populárneho kartového pokru?;Texas  
Hry a hračky;1;Ktorá hračka sa používa na stavanie a hranie?;Kocky  
Hry a hračky;1;Aká hračka je známa svojou schopnosťou lietať?;Dron  
Hry a hračky;1;Aká kartová hra je známa svojou stratégiou?;Rummy  
Hry a hračky;1;Ktorá hračka má vo svojej zloženia plyšové zvieratá?;Medveď  
Hry a hračky;1;Aká hra je známa ako "hra s číslami"?;Sudoku  
Hry a hračky;1;Ktorá hračka sa používa na skákanie a zábavu?;Trampolína  
Hry a hračky;1;Ktorá hra je zameraná na preteky s autami?;Racing  
Hry a hračky;1;Aká hračka je obľúbená pre deti a umožňuje im tvoriť?;Hliny  
Hry a hračky;1;Ktorá hračka je známa svojou schopnosťou plávať?;Lodička  
Hry a hračky;1;Aká hra sa hrá s figúrkami a vyžaduje stratégiu?;Risk  
Hry a hračky;1;Ktorá hračka je známa svojou jednoduchou konštrukciou?;Skladačka  
Hry a hračky;1;Aká hra sa hrá s kockami a má cieľ dosiahnuť 21?;Blackjack  
Hry a hračky;1;Ktorá hračka je známa svojou schopnosťou svietiť?;Lampička  
Hry a hračky;1;Aká hračka je populárna medzi bábätkami a má zvuky?;Hrkálka  
Hry a hračky;1;Ktorá hračka sa používa na učenie farieb?;Kocky  
Hry a hračky;1;Aká hračka je známa svojou interaktívnosťou?;Tablet  
Hry a hračky;1;Ktorá hračka je zameraná na zábavu a pohyb?;Loptu  
Hry a hračky;1;Aká hra je známa ako "klasická hra s kockami"?;Kocky  
Hry a hračky;1;Ktorá hra sa hrá na pláži a vyžaduje tímovú prácu?;Lopta  
Hry a hračky;1;Aké sú malé hračky s postavičkami?;Figúrky  
Hry a hračky;1;Ktorá hračka je známa svojou variabilitou?;Puzzle  
Hry a hračky;1;Aká hračka je obľúbená pre deti a má pohyb?;Autíčko  
Hry a hračky;1;Ktorá hračka je známa svojou schopnosťou chápať príkazy?;Robot  
Hry a hračky;1;Akú hru hráme s kartami a má 4 farby?;Bingo  
Hry a hračky;1;Ktorá hračka je obľúbená na výlety a má kolieska?;Kufor  
Hry a hračky;1;Aká hračka sa používa na hranie vonku a má tvar lopty?;Futbal  
Hry a hračky;1;Ktorá hračka je známa svojou farbou a má tvar zvieraťa?;Plyšák  
Hry a hračky;1;Aká hračka sa používa na učenie a má rôzne zvuky?;Hračky
Hry a hračky;1;Ktorá hračka je obľúbená na pieskovisku?;Lopta  
Hry a hračky;1;Aká hračka sa dá ťahať za sebou?;Káčatko  
Hry a hračky;1;Ktorá hra sa hrá s figúrkami a má šachovnicu?;Šach  
Hry a hračky;1;Aká hračka má kolesá a jazdí?;Autíčko  
Hry a hračky;1;Aká hračka je často vyrobená z plyšu?;Medveď  
Hry a hračky;1;Ktorá hra sa hrá s kartami a má 21?;Blackjack  
Hry a hračky;1;Ktorá hračka sa používa na skákanie?;Skákacie  
Hry a hračky;1;Aká hra je známa svojím logickým myslením?;Sudoku  
Hry a hračky;1;Aká hračka je určená na maľovanie?;Pastelky  
Hry a hračky;1;Ktorá hračka je známa svojou interaktívnosťou?;Tablet  
Hry a hračky;1;Ktorá hra sa hrá na doske s bodmi?;Dáma  
Hry a hračky;1;Aká hračka je určená na skladanie?;Puzzle  
Hry a hračky;1;Ktorá hračka sa používa na učenie písmen?;Písmenká  
Hry a hračky;1;Aká hračka je určená pre bábätká a vydáva zvuky?;Hračky  
Hry a hračky;1;Ktorá hračka je známa svojou odolnosťou?;Kocky  
Hry a hračky;1;Aká hračka je populárna na narodeninových oslavách?;Balón  
Hry a hračky;1;Ktorá hra je známa svojou rýchlosťou?;Bleskovka  
Hry a hračky;1;Aká hračka je určená na hranie vo vode?;Lodná  
Hry a hračky;1;Ktorá hračka má tvar zvieratka a je obľúbená?;Plyšák  
Hry a hračky;1;Aká hračka je známa svojou schopnosťou skákať?;Skočec  
Hry a hračky;1;Ktorá hračka je zvyčajne na kolieskach a jazdí?;Bicykel  
Hry a hračky;1;Ktorá hračka sa dá stavať z kociek?;LEGO  
Hry a hračky;1;Aká hračka je určená na učenie tvarov?;Tvary  
Hry a hračky;1;Ktorá hračka je známa svojou variabilitou?;Stavebnica  
Hry a hračky;1;Aká hračka je obľúbená pre deti a má zvuky?;Hračka  
Hry a hračky;1;Ktorá hračka je zvyčajne vyrobená z plastu?;Figúrka  
Hry a hračky;1;Ktorá hračka je známa svojou farbou a tvarom?;Okrúhla  
Hry a hračky;1;Aká hračka je často používaná v škôlkach?;Kocky  
Hry a hračky;1;Ktorá hra sa hrá s kartami a je obľúbená?;Poker  
Hry a hračky;1;Aká hračka je známa svojou schopnosťou lietať?;Dron  
Hry a hračky;1;Ktorá hračka je obľúbená medzi chlapcami?;Autíčko  
Hry a hračky;1;Aká hračka je určená na zábavu a pohyb?;Skákadlo  
Hry a hračky;1;Ktorá hračka má zvuk a je interaktívna?;Hlasová  
Hry a hračky;1;Ktorá hračka je známa svojou jednoduchou konštrukciou?;Stolná  
Hry a hračky;1;Aká hračka je obľúbená na pláži?;Lopta  
Hry a hračky;1;Ktorá hračka je určená pre najmenších?;Hrkálka  
Hry a hračky;1;Aká hra je známa ako "hra na preteky"?;Preteky  
Hry a hračky;1;Ktorá hračka je určená na hranie vonku?;Lopta  
Hry a hračky;1;Aká hračka je známa svojou schopnosťou skákať?;Skákačka  
Hry a hračky;1;Ktorá hra je určená na učenie čísel?;Čísla  
Hry a hračky;1;Ktorá hračka je obľúbená pre deti a je plyšová?;Zvieratko  
