kategoria;narocnost;otazka;odpoved
Dejiny;1;Kto bol prvým prezidentom USA?;Washington  
Dejiny;1;Kedy začala druhá svetová vojna?;1939  
Dejiny;1;Kto objavil Ameriku?;Kolumbus  
Dejiny;1;Kde sa nachádza Eiffelova veža?;Paríž  
Dejiny;1;Ktorá krajina je známa pyramídami?;Egypt  
Dejiny;1;Kto napísal "Odysseu"?;Homer  
Dejiny;1;Kedy sa skončila prvá svetová vojna?;1918  
Dejiny;1;Aký je hlavný jazyk v Brazílii?;Portugalčina  
Dejiny;1;Kto bol posledným cisárom Rímskej ríše?;Augustus  
Dejiny;1;Kde sa nachádza Veľká čínská múr?;Čína  
Dejiny;1;Kto bol rímsky boh vojny?;Mars  
Dejiny;1;Kto vynašiel telefón?;Bell  
Dejiny;1;Aký je najstarší známy písaný jazyk?;Sumerčina  
Dejiny;1;Kto bol vodcom Sovietskeho zväzu počas druhej svetovej vojny?;Stalin  
Dejiny;1;Kedy bola založená Rímska ríša?;753 pred n.l.  
Dejiny;1;Kto bol kráľom Anglicka počas Veľkej vojny?;Henrich  
Dejiny;1;Kde sa narodil Napoleon?;Korzika  
Dejiny;1;Kto napísal "Zločin a trest"?;Dostojevskij  
Dejiny;1;Kto je známy ako "otec histórie"?;Herodotos  
Dejiny;1;Ktorá krajina bola domovom Mayskej civilizácie?;Mexiko  
Dejiny;1;Kedy bola objavená Amerika?;1492  
Dejiny;1;Kto bol prvým človekom na Mesiaci?;Armstrong  
Dejiny;1;Ktorá ríša bola známa svojou hodvábnou cestou?;Rímska  
Dejiny;1;Aký je hlavný jazyk v Taliansku?;Taliančina  
Dejiny;1;Kto viedol Americkú revolúciu?;Washington  
Dejiny;1;Kde sa nachádza Stonehenge?;Anglicko  
Dejiny;1;Kto bol prvým prezidentom Československa?;Masaryk  
Dejiny;1;Kto napísal "Pán prsteňov"?;Tolkien  
Dejiny;1;Kedy sa uskutočnila 1. svetová vojna?;1914  
Dejiny;1;Kde bola založená Aténska demokracia?;Atény  
Dejiny;1;Kto bol vynálezcom parného stroja?;Watt  
Dejiny;1;Aká bola hlavná náboženská tradícia v starovekom Egypte?;Polyteizmus  
Dejiny;1;Kto bol vodcom nacistického Nemecka?;Hitler  
Dejiny;1;Kedy bola vyhlásená nezávislosť USA?;1776  
Dejiny;1;Kto napísal "Božskú komédiu"?;Dante  
Dejiny;1;Kto bol kráľom Francúzska počas revolúcie?;Ľudovít  
Dejiny;1;Kde sa nachádza Koloseum?;Rím  
Dejiny;1;Kto bol prvým prezidentom Ruska?;Jelcin  
Dejiny;1;Ktorý štát je známy svojou históriou samurajov?;Japonsko  
Dejiny;1;Kto je známy ako "srdce Indického národa"?;Gándhí  
Dejiny;1;Kedy bola postavená Veľká pyramída?;2580 pred n.l.  
Dejiny;1;Kto bol posledným faraónom Egypta?;Kleopatra  
Dejiny;1;Kto vynašiel kníhtlač?;Gutenberg  
Dejiny;1;Aký spôsob vlády existoval v starovekom Grécku?;Demokracia  
Dejiny;1;Kto bol autorom "Mníchovskej dohody"?;Chamberlain  
Dejiny;1;Kto bol zakladateľom Mongolskej ríše?;Čingischán  
Dejiny;1;Kedy vznikla Európska únia?;1993  
Dejiny;1;Kto bol vodcom Francúzskej revolúcie?;Robespierre  
Dejiny;1;Kto napísal "Vojnu a mier"?;Tolstoj  
Dejiny;1;Kde sa narodil Albert Einstein?;Nemecko  
Dejiny;1;Kto bol zakladateľom Facebooku?;Zuckerberg  
Dejiny;1;Aký je hlavný jazyk v Indii?;Hindčina  
Dejiny;1;Ktorá krajina bola známa ako "Zem vychádzajúceho slnka"?;Japonsko  
Dejiny;1;Kto bol prvým prezidentom Južnej Kórey?;Rhee
Dejiny;1;Kto bol prvým rímskym cisárom?;Augustus  
Dejiny;1;Kedy sa konal pád Berlín Wall?;1989  
Dejiny;1;Kto napísal "Všeobecnú históriu"?;Herodotos  
Dejiny;1;Aká bola hlavná náboženská tradícia v starovekom Ríme?;Pohanstvo  
Dejiny;1;Ktorý kráľ Anglicka bol popravený?;Karel  
Dejiny;1;Kde sa uskutočnil súd s čarodejnicami?;Salem  
Dejiny;1;Kto bol vodcom americkej občianskej vojny?;Lincoln  
Dejiny;1;Kedy sa konala bitka pri Waterloo?;1815  
Dejiny;1;Kto bol prvým prezidentom Francúzskej republiky?;Léon  
Dejiny;1;Ktorá krajina zrušila otroctvo ako prvá?;Haití  
Dejiny;1;Kto bol známy ako "Železný kancelár"?;Bismarck  
Dejiny;1;Kedy bola objavená penicilín?;1928  
Dejiny;1;Kto bol prvým ženou vo vláde USA?;Eleanor  
Dejiny;1;Aká bola hlavným mestom starovekého Egypta?;Théb  
Dejiny;1;Kto bol vodcom Indického hnutia za nezávislosť?;Gándhí  
Dejiny;1;Kedy bola založená OSN?;1945  
Dejiny;1;Kto bol najznámejším egyptským faraónom?;Tutanchamon  
Dejiny;1;Kde sa nachádza Taj Mahal?;India  
Dejiny;1;Kto bol vodcom sovietskej revolúcie?;Lenin  
Dejiny;1;Kto napísal "Povstanie v Gulagu"?;Solženicyn  
Dejiny;1;Kedy bola prvá ľudská expedícia na Mesiac?;1969  
Dejiny;1;Kto bol posledným panovníkom Ruského impéria?;Nikolaj  
Dejiny;1;Kto objavil teórie relativity?;Einstein  
Dejiny;1;Kedy bola vyhlásená Deklarácia práv človeka?;1789  
Dejiny;1;Kto bol prvý muž, ktorý prešiel cez pól?;Peary  
Dejiny;1;Kde sa konala Prvá svetová vojna?;Európa  
Dejiny;1;Kto bol najznámejším vodcom zabezpečenia demokracie?;Churchill  
Dejiny;1;Kto bol vynálezcom telegrafu?;Morse  
Dejiny;1;Kedy bol spustený Titanic?;1911  
Dejiny;1;Kto bol zakladateľom Rímskej ríše?;Rím  
Dejiny;1;Kedy bola založená Veľká Británia?;1707  
Dejiny;1;Kto bol prvým prezidentom Indie?;Nehru  
Dejiny;1;Kde sa nachádza pyramída v Gíze?;Egypt  
Dejiny;1;Kto napísal "Knihu o duši"?;Plato  
Dejiny;1;Kedy bola založená NATO?;1949  
Dejiny;1;Kto bol zakladateľom Mongolskej ríše?;Čingischán  
Dejiny;1;Kde sa nachádza Pompei?;Taliansko  
Dejiny;1;Kto bol vodcom Francúzskej revolúcie?;Robespierre  
Dejiny;1;Kedy bola postavená Veľká čínská múr?;5 st.  
