kategoria;narocnost;otazka;odpoved
Botanika;1;Aká je najväčšia rastlina na Zemi?;Sekvoja  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou prežiť v suchých podmienkach?;Kaktus  
Botanika;1;Aký je názov najbežnejšej zeleniny na svete?;Zemiak  
Botanika;1;Čo produkujú rastliny počas fotosyntézy?;Kyslík  
Botanika;1;Aký je najvyšší strom na svete?;Hyperion  
Botanika;1;Ktorá rastlina je známa svojimi farebnými kvetmi a vôňou?;Ruža  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu čaju?;Čajovník  
Botanika;1;Ktorá rastlina má jedlé plody nazývané bobule?;Malina  
Botanika;1;Aká je najznámejšia liečivá rastlina?;Aloe  
Botanika;1;Ktorá rastlina je symbolom pokoja?;Olivovník  
Botanika;1;Aké je názov rastliny, ktorá sa používa na výrobu vína?;Hrozno  
Botanika;1;Ktoré rastliny majú listy v tvare ihly?;Borovice  
Botanika;1;Aký je názov rastliny, ktorá produkuje med?;Kvety  
Botanika;1;Aký je názov rastliny, ktorú používame na korenenie jedál?;Bazalka  
Botanika;1;Ktoré rastliny sú známe svojou schopnosťou čistiť vzduch?;Pokojné rastliny  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou krásnou vôňou?;Levanduľa  
Botanika;1;Ktorá rastlina je považovaná za symbol lásky?;Ruža  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu parfémov?;Jazmín  
Botanika;1;Ktoré rastliny sú známe svojimi veľkými listami?;Tropické rastliny  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané fíky?;Fíkovník  
Botanika;1;Ktorá rastlina sa často používa na liečbu popálenín?;Aloe  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu čokolády?;Kakaovník  
Botanika;1;Ktorá rastlina je známa svojimi žltými kvetmi a liečivými vlastnosťami?;Nechtík  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou prilákať motýle?;Levanduľa  
Botanika;1;Ktorá rastlina sa používa na prípravu pesto?;Bazalka  
Botanika;1;Aká je najbežnejšia zelenina na svete?;Mrkva  
Botanika;1;Ktorá rastlina má plody nazývané jablká?;Jabloň  
Botanika;1;Aký je názov rastliny, ktorá má jedlé semienka a používa sa na výrobu oleja?;Slnečnica  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť v mokrých oblastiach?;Trstina  
Botanika;1;Aký je názov rastliny, ktorá je známa svojimi modrými kvetmi?;Hortenzia  
Botanika;1;Ktorá rastlina sa používa na výrobu vína?;Hrozno  
Botanika;1;Aký je názov rastliny, ktorá má charakteristické listy?;Bambus  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou prežiť v extrémnych podmienkach?;Sukulenty  
Botanika;1;Aký je názov rastliny, ktorá sa používa na korenie jedál?;Korenie  
Botanika;1;Ktorá rastlina je symbolom priateľstva?;Šalvia  
Botanika;1;Aký je názov rastliny, ktorá má jedlé listy?;Špenát  
Botanika;1;Ktorá rastlina je známa svojou krásou a vôňou?;Ruža  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť vo vode?;Räčica  
Botanika;1;Ktorá rastlina produkuje med?;Kvety  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané hrozno?;Hrozno  
Botanika;1;Ktorá rastlina je symbolom múdrosti?;Bambus  
Botanika;1;Aký je názov rastliny, ktorá sa často používa na čaj?;Ružový čaj  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou čistiť vodu?;Räčica  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu liekov?;Aloe  
Botanika;1;Ktorá rastlina je známa svojou zelenou farbou?;Tráva
Botanika;1;Ktorá rastlina je známa svojimi malými bielymi kvetmi?;Pivonka  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu kávy?;Káva  
Botanika;1;Ktorá rastlina je známa svojimi veľkými žltými kvetmi?;Slnečnica  
Botanika;1;Aká je najznámejšia rastlina v púšti?;Kaktus  
Botanika;1;Ktorá rastlina má listy v tvare srdca?;Břečťan  
Botanika;1;Aký je názov rastliny, ktorá sa často používa na liečbu nachladnutia?;Zázvor  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť na skalách?;Moss  
Botanika;1;Aká je najobľúbenejšia izbová rastlina?;Sanjvital  
Botanika;1;Ktorá rastlina je známa svojím jedovatým mliekom?;Ricinus  
Botanika;1;Aký je názov rastliny, ktorá má jedlé korenie známe ako škorica?;Škorica  
Botanika;1;Ktorá rastlina má listy, ktoré sa používajú na čaj?;Mäta  
Botanika;1;Aký je názov rastliny s jemnými, bielymi kvetmi a zelenými listami?;Jazmín  
Botanika;1;Ktorá rastlina je známa svojimi jedlými hľuzami?;Zemiak  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané marhule?;Marhuľa  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou prežiť v chladných oblastiach?;Bór  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu olivového oleja?;Oliva  
Botanika;1;Ktorá rastlina je známa svojím bohatým obsahom vitamínu C?;Citrón  
Botanika;1;Aký je názov rastliny, ktorá má charakteristické modré kvety?;Iris  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť v piesočnatých pôdach?;Tamarisk  
Botanika;1;Aká je najznámejšia rastlina v tropických lesoch?;Palma  
Botanika;1;Ktorá rastlina je považovaná za symbol jari?;Tulipán  
Botanika;1;Aký je názov rastliny, ktorá sa často používa na korenie ryže?;Koriander  
Botanika;1;Ktorá rastlina má listy, ktoré menia farbu na jeseň?;Javor  
Botanika;1;Aký je názov rastliny, ktorá je známa svojím rýchlym rastom?;Bamboo  
Botanika;1;Ktorá rastlina je známa svojimi vysokými, štíhlymi stonkami?;Fíkovník  
Botanika;1;Aká je najobľúbenejšia kvetina na svete?;Ruža  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou absorbovať vlhkosť?;Sukulenty  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu parfémov?;Levanduľa  
Botanika;1;Ktorá rastlina je známa svojimi jedlými kvetmi?;Nasturtium  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu zubnej pasty?;Sage  
Botanika;1;Ktorá rastlina má plody nazývané melón?;Melón  
Botanika;1;Aký je názov rastliny, ktorá produkuje jedlé plody nazývané hrušky?;Hruška  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou prežiť v slaných vodách?;Mangrov  
Botanika;1;Aký je názov rastliny, ktorá má jedlé korenie známe ako čierne korenie?;Piper  
Botanika;1;Ktorá rastlina je známa svojimi žltými kvetmi a vysokou výškou?;Kvetina  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou odolnosťou voči chladu?;Horská  
Botanika;1;Ktorá rastlina sa často používa na výrobu jemného oleja?;Mandľa  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané pomaranče?;Pomaranč  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou prežiť v extrémnych podmienkach?;Cactus  
Botanika;1;Aký je názov rastliny, ktorá má jedlé listy a používa sa na šaláty?;Špenát  
Botanika;1;Ktorá rastlina je známa svojimi voňavými kvetmi?;Ruža  
Botanika;1;Aký je názov rastliny, ktorá produkuje jedlé plody nazývané ananás?;Ananás  
Botanika;1;Ktorá rastlina je známa svojou liečivou schopnosťou?;Aloe  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu olivového oleja?;Olivovník  
Botanika;1;Ktorá rastlina má listy, ktoré sú jedlé a používané v kuchyni?;Bazalka  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu čajov?;Čajovník
Botanika;1;Ktorá rastlina je známa svojimi modrými kvetmi?;Hortenzia  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané čerešne?;Čerešňa  
Botanika;1;Ktorá rastlina sa používa na výrobu medu?;Včelí kvet  
Botanika;1;Aký je názov rastliny, ktorá sa často používa na výrobu korenia?;Paprika  
Botanika;1;Ktorá rastlina sa používa na varenie polievok?;Petržlen  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané slivky?;Slivka  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou bojovať proti škodcom?;Nechtík  
Botanika;1;Aký je názov rastliny, ktorá je bežnou izbovou rastlinou?;Fikus  
Botanika;1;Ktorá rastlina je známa svojou bielou farbou kvetov?;Ľalia  
Botanika;1;Aký je názov rastliny, ktorá má plody nazývané citrón?;Citrón  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť na slnku?;Sukulent  
Botanika;1;Aký je názov rastliny s jedlými kvetmi, často používanými na dekoráciu?;Náprstník  
Botanika;1;Ktorá rastlina je známa svojou krásou a používa sa na svadbách?;Ruža  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu zubného prášku?;Sage  
Botanika;1;Ktorá rastlina je známa svojou žltou farbou a rastie na lúkach?;Kopretina  
Botanika;1;Aký je názov rastliny, ktorá má jedlé listy známe ako rukola?;Rukola  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť v tieni?;Papraď  
Botanika;1;Aký je názov rastliny, ktorá je známa svojich voňavých kvetoch?;Levanduľa  
Botanika;1;Ktorá rastlina má jedlé plody známe ako avokádo?;Avokádo  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu fenyklu?;Fenykl  
Botanika;1;Ktorá rastlina je známa svojou liečivou schopnosťou?;Aloe  
Botanika;1;Aký je názov rastliny, ktorá je považovaná za symbol pokoja?;Olive  
Botanika;1;Ktorá rastlina má plody nazývané čučoriedky?;Čučoriedka  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu esenciálnych olejov?;Eukalyptus  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou absorbovať toxíny?;Sansevieria  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu medu?;Medovka  
Botanika;1;Ktorá rastlina je známa svojimi voňavými listami?;Basil  
Botanika;1;Aký je názov rastliny, ktorá má jedlé listy známe ako špenát?;Špenát  
Botanika;1;Ktorá rastlina má jedlé plody nazývané mandarínky?;Mandarínka  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť v mokrých oblastiach?;Rákos  
Botanika;1;Ktorá rastlina je známa svojou liečivou schopnosťou na trávenie?;Zázvor  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu terpenov?;Terpén  
Botanika;1;Ktorá rastlina má plody nazývané kiwi?;Kivi  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť v chudobných pôdach?;Tráva  
Botanika;1;Ktorá rastlina je známa svojou voňavou kôrou?;Cimín  
Botanika;1;Aký je názov rastliny, ktorá má jedlé semienka známe ako chia?;Chia  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť na piesku?;Kaktus  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou krásou a farbami?;Orchidea  
Botanika;1;Ktorá rastlina má plody nazývané papája?;Papája  
Botanika;1;Aký je názov rastliny, ktorá produkuje jedlé plody nazývané hrozno?;Hrozno  
Botanika;1;Ktorá rastlina je známa svojou schopnosťou rásť v chladných oblastiach?;Borovica  
Botanika;1;Aký je názov rastliny, ktorá má jedlé plody nazývané maliny?;Malina  
Botanika;1;Ktorá rastlina je známa svojou liečivou schopnosťou na kožné problémy?;Nechtík  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu oleja z orechov?;Orech  
Botanika;1;Ktorá rastlina má plody nazývané marhule?;Marhuľa  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou čistiť vzduch?;Pilea  
Botanika;1;Ktorá rastlina je známa svojím rýchlym rastom?;Tráva  
Botanika;1;Aký je názov rastliny, ktorá sa používa na výrobu čaju z byliniek?;Harmanček  
Botanika;1;Ktorá rastlina má jedlé plody známe ako melón?;Melón  
Botanika;1;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť v suchých oblastiach?;Kaktus
Botanika;2;Ktorá rastlina je známa svojimi jedlými hľuzami?;Zemiak  
Botanika;2;Aký je názov rastliny, ktorá sa používa na výrobu piva?;Chmeľ  
Botanika;2;Ktorá rastlina má plody nazývané citrón?;Citrónovník  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou vôňou?;Ruža  
Botanika;2;Ktorá rastlina má jedlé listy a používa sa na korenie?;Petržlen  
Botanika;2;Aký je názov rastliny, ktorá produkuje kakaové bôby?;Kakaovník  
Botanika;2;Ktorá rastlina je známa svojou schopnosťou rásť na skalách?;Sukulenty  
Botanika;2;Aký je názov rastliny, ktorá má jedlé plody nazývané broskyne?;Broskyňa  
Botanika;2;Ktorá rastlina je symbolom šťastia?;Šťastná rastlina  
Botanika;2;Aký je názov rastliny, ktorá sa používa na výrobu vína?;Hrozno  
Botanika;2;Ktorá rastlina má plody nazývané papája?;Papája  
Botanika;2;Aký je názov rastliny, ktorá vyrastá z cibule?;Cibuľa  
Botanika;2;Ktorá rastlina je známa svojimi liečivými vlastnosťami?;Aloe  
Botanika;2;Aký je názov rastliny, ktorá má jedlé listy známe ako šalát?;Šalát  
Botanika;2;Ktorá rastlina je známa svojou schopnosťou absorbovať znečistenie?;Breza  
Botanika;2;Aký je názov rastliny, ktorá má kvety v tvare zvončeka?;Zvonkohra  
Botanika;2;Ktorá rastlina produkuje jedlé plody nazývané maliny?;Malinovník  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou trvácnosťou?;Bambus  
Botanika;2;Ktorá rastlina má listy známe ako mäta?;Mäta  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou vôňou a používa sa na čaj?;Harmanček  
Botanika;2;Ktorá rastlina má plody nazývané limetky?;Limetovník  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť na piesku?;Piesočná tráva  
Botanika;2;Ktorá rastlina je známa svojou liečivou schopnosťou na bolesť hlavy?;Levanduľa  
Botanika;2;Aký je názov rastliny, ktorá sa používa na výrobu zubného oleja?;Tea tree  
Botanika;2;Ktorá rastlina má jedlé plody nazývané čierne ríbezle?;Ríbezľa  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou schopnosťou rásť v morských oblastiach?;Mangrovník  
Botanika;2;Ktorá rastlina je známa svojou schopnosťou rásť v chudobných pôdach?;Púpava  
Botanika;2;Aký je názov rastliny, ktorá sa používa na výrobu ovocných štiav?;Ovocný strom  
Botanika;2;Ktorá rastlina má plody nazývané figy?;Fíkovník  
Botanika;2;Aký je názov rastliny, ktorá je známa svojou jedovatou kôrou?;Ricinus  
Botanika;2;Ktorá rastlina je známa svojou schopnosťou prežiť v extrémnej zime?;Borovica  
