kategoria;narocnost;otazka;odpoved
Fyzika;1;Ktorý zákon popisuje pohyb telesa v gravitačnom poli?;Gravitácia  
Fyzika;1;Aký je symbol pre rýchlosť svetla?;c  
Fyzika;1;Kto objavil zákon zachovania energie?;Joule  
Fyzika;1;Aká je jednotka sily?;Newton  
Fyzika;1;Ktorá častica má záporný náboj?;Elektrón  
Fyzika;1;Čo je základnou jednotkou hmotnosti?;Kilogram  
Fyzika;1;Akou jednotkou sa meria elektrický prúd?;Ampér  
Fyzika;1;Aký je základný zákon termodynamiky?;Zachovanie energie  
Fyzika;1;Kto formuloval Einsteinovu teóriu relativity?;Einstein  
Fyzika;1;Aká je jednotka tlaku?;Pascal  
Fyzika;1;Čo je to joule?;Jednotka energie  
Fyzika;1;Aký je výskyt gravitačnej sily?;Všade  
Fyzika;1;Ktorá častica má kladný náboj?;Proton  
Fyzika;1;Aký je symbol pre hmotnosť?;m  
Fyzika;1;Kto je považovaný za otca modernej fyziky?;Newton  
Fyzika;1;Aká je maximálna rýchlosť vesmírneho letu?;Svetlo  
Fyzika;1;Ktorá sila pôsobí na teleso pri páde?;Gravitácia  
Fyzika;1;Aká je jednotka elektrického napätia?;Volt  
Fyzika;1;Kto objavil zákony pohybu?;Newton  
Fyzika;1;Aký je vzorec pre kinetickú energiu?;1/2mv²  
Fyzika;1;Čo je to akcelerácia?;Zrýchlenie  
Fyzika;1;Ktorá veličina meria teplotu?;Kelvin  
Fyzika;1;Aká je jednotka objemu?;Liter  
Fyzika;1;Aký je symbol pre hustotu?;ρ  
Fyzika;1;Kto objavil elektromagnetizmus?;Faraday  
Fyzika;1;Aký je základný zákon optiky?;Lom  
Fyzika;1;Aká je jednotka frekvencie?;Hertz  
Fyzika;1;Kto objavil radioaktivitu?;Curie  
Fyzika;1;Aký je vzorec pre obvod kruhu?;2πr  
Fyzika;1;Aký je symbol pre prácu?;W  
Fyzika;1;Kto vymyslel teóriu relativity?;Einstein  
Fyzika;1;Aká je jednotka energie?;Joule  
Fyzika;1;Ktorý zákon opisuje pohyb planét?;Gravitácia  
Fyzika;1;Aká je jednotka elektrického odporu?;Ohm  
Fyzika;1;Kto je autor zákonov termodynamiky?;Carnot  
Fyzika;1;Aký je symbol pre elektrický náboj?;Q  
Fyzika;1;Aká je základná jednotka dĺžky?;Meter  
Fyzika;1;Kto objavil zákon akcie a reakcie?;Newton  
Fyzika;1;Čo meria gyroskop?;Rotáciu  
Fyzika;1;Aký je symbol pre prietok?;Φ  
Fyzika;1;Kto objavil zákon zachovania impulzu?;Newton  
Fyzika;1;Aký je základný zákon mechaniky?;Zákon pohybu  
Fyzika;1;Čo je to entropia?;Miera neusporiadanosti  
Fyzika;1;Aký je symbol pre prácu?;W  
Fyzika;1;Ktorá veličina určuje silu magnetického poľa?;Magnetická indukcia  
Fyzika;1;Aká je jednotka magnetického toku?;Weber  
Fyzika;1;Kto formuloval zákon o zachovaní hmotnosti?;Lavoisier  
Fyzika;1;Aký je symbol pre elektromagnetickú indukciu?;ε  
Fyzika;1;Čo je to gravitačné pole?;Sila ťahania  
Fyzika;1;Aká je jednotka pre prúd?;Ampér  
Fyzika;1;Ktorý zákon opisuje pohyb telesa vo vode?;Archimedov zákon  
Fyzika;1;Aká je jednotka práce?;Joule  
Fyzika;1;Kto je známy pre kvantovú mechaniku?;Planck  
Fyzika;1;Aká je jednotka elektrického výkonu?;Watt  
Fyzika;1;Ktorý zákon popisuje tepelnú expanziu?;Zákon expanzie
Fyzika;1;Kto je známy pre gravitáciu?;Newton  
Fyzika;1;Aká je jednotka tepla?;Joule  
Fyzika;1;Aký je symbol pre vodu?;H2O  
Fyzika;1;Čo meria barometer?;Tlak  
Fyzika;1;Aký je najmenší základný prvok?;Vodík  
Fyzika;1;Aká je jednotka magnetizmu?;Tesla  
Fyzika;1;Ktorý zákon hovorí o zotrvačnosti?;Newtonov  
Fyzika;1;Aký je symbol pre zlato?;Au  
Fyzika;1;Kto je známy pre kvantovú fyziku?;Planck  
Fyzika;1;Aký je základný zákon akustiky?;Rovnica  
Fyzika;1;Aká je jednotka intenzity svetla?;Lumen  
Fyzika;1;Kto objavil zákon vzduchoprázdna?;Torricelli  
Fyzika;1;Čo je základná jednotka elektriny?;Coulomb  
Fyzika;1;Aká je jednotka pre prácu?;Joule  
Fyzika;1;Aký je symbol pre rýchlosť?;v  
Fyzika;1;Kto formuloval zákon gravitácie?;Newton  
Fyzika;1;Aká je jednotka pre hustotu?;kg/m3  
Fyzika;1;Čo meria voltmeter?;Napätie  
Fyzika;1;Aká je základná jednotka teploty?;Kelvin  
Fyzika;1;Aký je symbol pre akceleráciu?;a  
Fyzika;1;Kto je známy pre polarizáciu svetla?;Malus  
Fyzika;1;Čo je to kyvadlo?;Otočné  
Fyzika;1;Aký je symbol pre frekvenciu?;f  
Fyzika;1;Kto objavil zákon o zachovaní energie?;Meyer  
Fyzika;1;Aká je jednotka elektrického výkonu?;Watt  
Fyzika;1;Aký je základný zákon chemickej kinetiky?;Rýchlosť  
Fyzika;1;Kto objavil zákon o pohybe telies?;Galileo  
Fyzika;1;Aký je symbol pre elektrický odpor?;R  
Fyzika;1;Aká je jednotka pre tlak?;Pascal  
Fyzika;1;Kto je známy pre objav elektrónu?;Thomson  
Fyzika;1;Čo určuje rýchlosť svetla?;Vákuum  
Fyzika;1;Aký je symbol pre hustotu?;ρ  
Fyzika;1;Kto formuloval zákony ohmov?;Ohm  
Fyzika;1;Aká je jednotka pre magnetické pole?;Tesla  
Fyzika;1;Čo je to vlna?;Oscilácia  
Fyzika;1;Aký je symbol pre prácu?;W  
Fyzika;1;Kto objavil zákon zachovania hybnosti?;Newton  
Fyzika;1;Aká je jednotka pre energiu?;Joule  
Fyzika;1;Aký je základný zákon optiky?;Zlom  
Fyzika;1;Kto je známy pre objav fotoelektrického javu?;Einstein  
Fyzika;1;Aký je symbol pre elektrický náboj?;Q  
Fyzika;1;Čo meria termometer?;Teplotu  
Fyzika;1;Aká je jednotka pre objem?;Liter  
Fyzika;1;Aký je symbol pre čas?;t  
Fyzika;1;Kto objavil zákon o tepelnom žiarení?;Stefan  
Fyzika;1;Aká je jednotka pre kinetickú energiu?;Joule  
Fyzika;1;Čo je to gravitačná sila?;Príťažlivosť  
Fyzika;1;Aký je základný zákon mechaniky?;Newtonov
Fyzika;2;Aký je základný zákon elektromagnetizmu?;Maxwellove rovnice  
Fyzika;2;Čo meria newtonmeter?;Moment sily  
Fyzika;2;Kto objavil zákon o pohybe telesa?;Newton  
Fyzika;2;Aký je symbol pre tlak?;P  
Fyzika;2;Čo je to ohm?;Jednotka odporu  
Fyzika;2;Aká je základná jednotka elektrického výkonu?;Watt  
Fyzika;2;Kto formuloval prvý zákon termodynamiky?;Zeroth  
Fyzika;2;Aká je jednotka magnetického poľa?;Tesla  
Fyzika;2;Kto navrhol teóriu kvantovania?;Planck  
Fyzika;2;Čo je to entalpia?;Energia  
Fyzika;2;Aký je vzorec pre potenciálnu energiu?;mgh  
Fyzika;2;Aká je základná jednotka teploty?;Kelvin  
Fyzika;2;Kto je autor zákonov pohybu?;Newton  
Fyzika;2;Čo určuje hybnosť?;Hmotnosť rýchlosť  
Fyzika;2;Aký je symbol pre hmotnosť?;m  
Fyzika;2;Kto sa zaoberal studenou fúziou?;Pons  
Fyzika;2;Čo meria akcelerometer?;Zrýchlenie  
Fyzika;2;Aký je základný zákon hydrodynamiky?;Bernoulli  
Fyzika;2;Kto objavil fotoelektrický jav?;Einstein  
Fyzika;2;Aký je symbol pre teplotu?;T  
Fyzika;2;Čo je to hmotnosť?;Množstvo hmoty  
Fyzika;2;Aká je jednotka intenzity zvuku?;Decibel  
Fyzika;2;Kto formuloval zákon o gravitácii?;Newton  
Fyzika;2;Aký je symbol pre energiu?;E  
Fyzika;2;Čo opisuje zákon zachovania hmotnosti?;Hmotnosť  
Fyzika;2;Aká je základná jednotka elektrického náboja?;Coulomb  
Fyzika;2;Kto je známy pre objav neutrína?;Reines  
Fyzika;2;Aký je základný zákon optiky?;Huygens  
Fyzika;2;Čo meria spektrometer?;Spektrum  
Fyzika;2;Aký je základný zákon akustiky?;Huygens  
Fyzika;2;Kto formuloval zákon o tepelnom žiarení?;Planck  
Fyzika;2;Aká je jednotka pre elektrické napätie?;Volt  
Fyzika;2;Kto je známy pre kvantovú mechaniku?;Bohr  
Fyzika;2;Čo je to mechanická energia?;Kinetická potenciálna  
Fyzika;2;Aký je symbol pre čas?;t  
Fyzika;2;Kto objavil zákon o akcii a reakcii?;Newton  
Fyzika;2;Aký je základný zákon pružnosti?;Hooke  
Fyzika;2;Čo meria manometer?;Tlak  
Fyzika;2;Aká je jednotka pre elektrický prúd?;Ampér  
Fyzika;2;Kto objavil zákon o tepelnom pohybe?;Brown  
Fyzika;2;Aký je symbol pre magnetický tok?;Φ  
Fyzika;2;Čo je to elektrická energia?;Práca prúd  
Fyzika;2;Aká je základná jednotka svetelného toku?;Lumen  
Fyzika;2;Kto je známy pre objav gravitácie?;Newton  
Fyzika;2;Aký je symbol pre prietok?;Q  
Fyzika;2;Čo opisuje zákon zachovania energie?;Energie  
Fyzika;2;Aká je jednotka pre objem?;Liter  
Fyzika;2;Kto je známy pre objav ultrazvuku?;Lavoisier  
Fyzika;2;Aký je základný zákon termodynamiky?;Zeroth  
Fyzika;2;Čo meria kalorimeter?;Teplo  
Fyzika;2;Aký je symbol pre intenzitu svetla?;I  
Fyzika;2;Kto formuloval zákon o optickej mriežke?;Grimaldi  
Fyzika;2;Aká je jednotka pre elektrickú kapacitu?;Farad  
Fyzika;2;Čo je to gravitačné zrýchlenie?;9.81 m/s²  
Fyzika;2;Aký je symbol pre tlak?;p
Fyzika;2;Aká je základná jednotka elektrického napätia?;Volt  
Fyzika;2;Kto je známy pre objav relativity?;Einstein  
Fyzika;2;Aký je vzorec pre prácu?;W=F·s  
Fyzika;2;Čo určuje rozptyl svetla?;Refrakcia  
Fyzika;2;Kto je známy pre objav magnetizmu?;Faraday  
Fyzika;2;Aký je vzorec pre potenciálnu energiu?;PE=mgh  
Fyzika;2;Čo meria barometer?;Tlak  
Fyzika;2;Aký je symbol pre teplotu?;T  
Fyzika;2;Čo je to mechanická práca?;F·s  
Fyzika;2;Kto objavil zákon pohybu?;Newton  
Fyzika;2;Aký je základný zákon akustiky?;Hybnosť  
Fyzika;2;Aký je symbol pre elektrickú energiu?;E  
Fyzika;2;Kto formuloval zákon o elektrodynamike?;Maxwell  
Fyzika;2;Aká je jednotka pre magnetický tok?;Weber  
Fyzika;2;Čo meria seismometer?;Zemetrasenia  
Fyzika;2;Aký je základný zákon hydrodynamiky?;Bernoulli  
Fyzika;2;Kto objavil zákon o akcii a reakcii?;Newton  
Fyzika;2;Aká je jednotka pre svetelný výkon?;Lumen  
Fyzika;2;Čo je to elektromagnetická vlna?;Rádiové vlny  
Fyzika;2;Aký je základný zákon optiky?;Snellov zákon  
Fyzika;2;Kto formuloval zákon o tepelnom pohybe?;Boltzmann  
Fyzika;2;Aký je symbol pre elektrický prúd?;I  
Fyzika;2;Aká je jednotka pre elektrický náboj?;Coulomb  
Fyzika;2;Kto objavil zákon o magnetickej indukcii?;Faraday  
Fyzika;2;Čo je to elektrická kapacita?;C=Q/V  
Fyzika;2;Aká je jednotka pre svetelný tok?;Lumen  
Fyzika;2;Kto je známy pre objav neutrína?;Reines  
Fyzika;2;Aký je symbol pre magnetické pole?;B  
Fyzika;2;Aká je základná jednotka hmotnosti?;Kilogram  
Fyzika;2;Čo meria spektroskóp?;Spektrum  
Fyzika;2;Aký je základný zákon dynamiky?;F=m·a  
Fyzika;2;Kto objavil zákon o termodynamike?;Carnot  
Fyzika;2;Aký je symbol pre výkon?;P  
Fyzika;2;Čo je to oscilácia?;Periodické pohyby  
Fyzika;2;Aká je jednotka pre tepelnú kapacitu?;Joule  
Fyzika;2;Kto je známy pre objav fotónu?;Einstein  
Fyzika;2;Aký je základný zákon optickej mriežky?;Braggov zákon  
Fyzika;2;Čo je to gravitácia?;Pôsobenie hmoty  
Fyzika;2;Aký je symbol pre hustotu?;ρ  
Fyzika;2;Kto objavil zákon o zachovaní hybnosti?;Newton  
Fyzika;2;Aká je jednotka pre prúd?;Ampér  
Fyzika;2;Čo meria voltmeter?;Napätie  
Fyzika;2;Aký je základný zákon akcelerácie?;F=m·a  
Fyzika;2;Kto je známy pre objav radioaktivity?;Curie  
Fyzika;2;Aký je symbol pre elektrický odpor?;R  
Fyzika;2;Čo meria dynamometer?;Silu  
Fyzika;2;Kto objavil zákon o tepelných výmenách?;Newton  
Fyzika;2;Aká je jednotka pre intenzitu svetla?;Candela  
Fyzika;2;Aký je základný zákon pohybu?;Zotrvačnosť  
Fyzika;2;Čo je to kolízia?;Srážka telies  
Fyzika;2;Aký je symbol pre frekvenciu?;f  
Fyzika;2;Kto formuloval zákon o pohybe telies?;Newton  
Fyzika;2;Aká je jednotka elektrickej kapacity?;Farad  
Fyzika;2;Čo určuje teplota?;Energia častíc  
Fyzika;2;Aký je základný zákon elektromagnetizmu?;Faradayov zákon  
Fyzika;2;Kto je známy pre objav tepla?;Calorimetry  
Fyzika;2;Aký je symbol pre magnetický tok?;Φ  
Fyzika;2;Čo je to mechanická energia?;Kinetická+potenciálna
Fyzika;3;Aký je vzorec pre zákon zachovania energie?;E=mc²  
