kategoria;narocnost;otazka;odpoved
Filmy a seriály;1;Kto hrá hlavnú postavu v filme Titanic?;DiCaprio  
Filmy a seriály;1;Aký je názov populárneho seriálu o rodine Simpsonovcov?;Simpsonovci  
Filmy a seriály;1;Ktorý film získal Oscara za najlepší film v roku 2020?;Parasite  
Filmy a seriály;1;Aký je názov najznámejšieho čarodejníka v literatúre a filmoch?;Harry Potter  
Filmy a seriály;1;Kto režíroval film Jurský park?;Spielberg  
Filmy a seriály;1;Aký je názov filmu, kde hrá Keanu Reeves postavu menom Neo?;Matrix  
Filmy a seriály;1;Kto je hlavný antagonist v sérii filmov o Batmanovi?;Joker  
Filmy a seriály;1;Aký je názov filmovej série o agentovi Jamesovi Bondovi?;Bond  
Filmy a seriály;1;Kto je autorom knižnej predlohy pre film Hra o tróny?;Martin  
Filmy a seriály;1;Aký je názov populárneho seriálu o zločinoch v New Yorku?;Zločin  
Filmy a seriály;1;Kto hral rolu Toma Hanka vo filme Forrest Gump?;Hanks  
Filmy a seriály;1;Aký je názov filmu o robotovi menom WALL-E?;WALL-E  
Filmy a seriály;1;Kto sa stal najmladším hercom, ktorý získal Oscara?;Tatum  
Filmy a seriály;1;Aký je názov filmu, kde sa objavuje postava Indiana Jones?;Indiana  
Filmy a seriály;1;Kto hral rolu Holly Golightly vo filme Raňajky u Tiffanyho?;Hepburn  
Filmy a seriály;1;Aký je názov filmu o superhrdinovi menom Spider-Man?;Spider-Man  
Filmy a seriály;1;Kto hrá postavu Katniss Everdeen v Hladových hrách?;Lawrence  
Filmy a seriály;1;Aký je názov animovaného filmu o levovi menom Simba?;Lev  
Filmy a seriály;1;Kto je hlavným protagonistom v seriáli Breaking Bad?;White  
Filmy a seriály;1;Aký je názov filmu o rodine Addamsovcov?;Addams  
Filmy a seriály;1;Kto režíroval film Pán prsteňov?;Jackson  
Filmy a seriály;1;Aký je názov filmu o vojne medzi Avatarmi?;Avatar  
Filmy a seriály;1;Kto hral rolu Jacka Sparrowa v Pirátoch z Karibiku?;Depp  
Filmy a seriály;1;Aký je názov filmu, kde vystupuje postava Forrest Gump?;Forrest  
Filmy a seriály;1;Kto je autorom knižnej predlohy pre Twilight?;Meyer  
Filmy a seriály;1;Aký je názov kultového hororu od Alfreda Hitchcocka?;Psycho  
Filmy a seriály;1;Kto hral rolu Harryho Pottera vo filmovej sérii?;Radcliffe  
Filmy a seriály;1;Aký je názov romantickej komédie s Meg Ryan a Tomom Hanksom?;Sleepless  
Filmy a seriály;1;Kto je autorom populárnej série kníh o detektívovi Sherlockovi Holmesovi?;Doyle  
Filmy a seriály;1;Aký je názov filmu o skupine priateľov v New Yorku?;Priatelia  
Filmy a seriály;1;Kto hral hlavnú postavu vo filme Gladiátor?;Crowe  
Filmy a seriály;1;Aký je názov animovaného filmu o rybe menom Nemo?;Nemo  
Filmy a seriály;1;Kto režíroval film Pulp Fiction?;Tarantino  
Filmy a seriály;1;Aký je názov filmu, kde hrá Robert Downey Jr. Iron Mana?;Iron  
Filmy a seriály;1;Kto je hlavnou postavou v seriáli Priatelia?;Rachel  
Filmy a seriály;1;Aký je názov filmu o superhrdinovi menom Thor?;Thor  
Filmy a seriály;1;Kto hral vo filme Rýchlo a zbesilo?;Diesel  
Filmy a seriály;1;Aký je názov animovaného filmu o dinosaure?;Dinosaurus  
Filmy a seriály;1;Kto je autorom série kníh o Harrym Potterovi?;Rowling  
Filmy a seriály;1;Aký je názov série filmov o Star Wars?;Star Wars  
Filmy a seriály;1;Kto hral rolu v seriáli Hra o tróny?;Harington  
Filmy a seriály;1;Aký je názov filmu, kde sa objavuje postava Sherlock Holmes?;Holmes  
Filmy a seriály;1;Kto režíroval film Avatar?;Cameron  
Filmy a seriály;1;Aký je názov filmu s postavou Jacka Dawson?;Titanic  
Filmy a seriály;1;Kto hral rolu v seriáli Zúfalé manželky?;Huffman  
Filmy a seriály;1;Aký je názov populárneho animovaného filmu o hračkách?;Hračky
Filmy a seriály;1;Kto je hlavným hrdinom v filme Iron Man?;Tony Stark  
Filmy a seriály;1;Aký je názov populárneho seriálu s postavou Walter White?;Breaking Bad  
Filmy a seriály;1;Kto hral hlavnú postavu v snímke Gladiátor?;Maximus  
Filmy a seriály;1;Aký je názov filmu s modrými humanoidmi?;Avatar  
Filmy a seriály;1;Kto je autorom série kníh o Percy Jacksonovi?;Rick Riordan  
Filmy a seriály;1;Aký je názov filmu s postavou Jacka Dawson?;Titanic  
Filmy a seriály;1;Kto režíroval film Inception?;Christopher Nolan  
Filmy a seriály;1;Aký je názov seriálu o detektívovi, ktorý žije v Londýne?;Sherlock  
Filmy a seriály;1;Kto hral rolu vo filme Múmia?;Brendan Fraser  
Filmy a seriály;1;Aký je názov animovaného filmu o aute menom Lightning McQueen?;Cars  
Filmy a seriály;1;Kto je hlavnou postavou v Harrym Potterovi?;Harry Potter  
Filmy a seriály;1;Aký je názov filmu s postavou Elsa?;Frozen  
Filmy a seriály;1;Kto hral rolu v populárnom seriáli Priatelia?;Jennifer Aniston  
Filmy a seriály;1;Aký je názov filmu o superhrdinovi menom Batman?;Batman  
Filmy a seriály;1;Kto je hlavným antagonistom v filme Avengers?;Thanos  
Filmy a seriály;1;Aký je názov filmu s postavou Rocky Balboa?;Rocky  
Filmy a seriály;1;Kto režíroval film Forrest Gump?;Robert Zemeckis  
Filmy a seriály;1;Aký je názov populárneho sci-fi seriálu o vesmíre?;Star Trek  
