kategoria;narocnost;otazka;odpoved
Hudba;1;Kto je známy ako "kráľ popu"?;Jackson  
Hudba;1;Ktorý nástroj má struny a klávesy?;Piano  
Hudba;1;Aký žáner reprezentuje skupina Beatles?;Rock  
Hudba;1;Kto zložil pieseň "Imagine"?;Lennon  
Hudba;1;Ktorý spevák je známy pieseňou "Like a Rolling Stone"?;Dylan  
Hudba;1;Kto je speváčkou piesne "Rolling in the Deep"?;Adele  
Hudba;1;Aký nástroj hrá Jimi Hendrix?;Gitara  
Hudba;1;Ktorá skupina má hit "Hotel California"?;Eagles  
Hudba;1;Kto je známy ako "Lady Gaga"?;Gaga  
Hudba;1;Kto zložil "Symfóniu č. 9"?;Beethoven  
Hudba;1;Aký je pôvodný názov piesne "Yesterday"?;Scrambled  
Hudba;1;Kto spieva pieseň "Shape of You"?;Sheeran  
Hudba;1;Aký žáner reprezentuje Beyoncé?;Pop  
Hudba;1;Ktorý skladateľ je známy svojimi operami?;Mozart  
Hudba;1;Kto je frontmanom skupiny Coldplay?;Martin  
Hudba;1;Ktorý nástroj má klávesy a je elektronický?;Syntetizátor  
Hudba;1;Kto spieval "I Will Always Love You"?;Houston  
Hudba;1;Kto je spevákom piesne "Uptown Funk"?;Mars  
Hudba;1;Ktorá kapela má hit "Sweet Child o' Mine"?;Guns N' Roses  
Hudba;1;Kto zložil "Toccata a fuga d moll"?;Bach  
Hudba;1;Kto má hit "Bad Guy"?;Eilish  
Hudba;1;Kto spieva pieseň "Viva La Vida"?;Coldplay  
Hudba;1;Ktorá speváčka má pseudonym "Rihanna"?;Fenty  
Hudba;1;Kto je autorom piesne "Bohemian Rhapsody"?;Queen  
Hudba;1;Kto je spevák piesne "Born to Run"?;Springsteen  
Hudba;1;Ktorá pieseň je známa ako hymna USA?;Star-Spangled  
Hudba;1;Kto je známy ako "Kráľ rock and rollu"?;Elvis  
Hudba;1;Aký nástroj sa často používa v jazze?;Saxofón  
Hudba;1;Kto je autorkou piesne "I Will Survive"?;Gaynor  
Hudba;1;Ktorý spevák je známy piesňou "Can't Help Falling in Love"?;Presley  
Hudba;1;Kto je autorom "Clair de Lune"?;Debussy  
Hudba;1;Ktorý žáner je spojený s Bobom Marleyom?;Reggae  
Hudba;1;Kto zložil "Eine kleine Nachtmusik"?;Mozart  
Hudba;1;Ktorá skupina má hit "Wonderwall"?;Oasis  
Hudba;1;Kto je speváčkou piesne "Single Ladies"?;Beyoncé  
Hudba;1;Kto je autorom piesne "My Heart Will Go On"?;Dion  
Hudba;1;Kto spieva "Shake It Off"?;Swift  
Hudba;1;Aký nástroj má klávesy a pedály?;Organ  
Hudba;1;Kto je spevákom piesne "Just the Way You Are"?;Mars  
Hudba;1;Kto je autorkou piesne "Firework"?;Perry  
Hudba;1;Ktorá kapela má hit "Smells Like Teen Spirit"?;Nirvana  
Hudba;1;Kto je autorom piesne "Hallelujah"?;Cohen  
Hudba;1;Kto je speváčkou piesne "Someone Like You"?;Adele  
Hudba;1;Kto je známy ako "Kráľ country"?;Williams  
Hudba;1;Ktorý spevák má hit "In the End"?;Linkin Park  
Hudba;1;Kto je autorkou piesne "Bad Romance"?;Gaga  
Hudba;1;Kto je spevák piesne "Let It Be"?;McCartney  
Hudba;1;Kto je známy ako "Queen of Soul"?;Franklin  
Hudba;1;Kto je autorom "Satisfaction"?;Jagger  
Hudba;1;Kto je speváčkou piesne "Chasing Cars"?;Snow Patrol  
Hudba;1;Ktorá pieseň je známa ako hymna LGBTQ+?;Born This Way  
Hudba;1;Kto je spevák piesne "Thinking Out Loud"?;Sheeran
Hudba;1;Kto je známy ako "Kráľ popu"?;Jackson  
Hudba;1;Ktorý nástroj je v orchestri najvyšší?;Hlas  
Hudba;1;Kto je spevákom piesne "Hello"?;Adele  
Hudba;1;Aký žáner reprezentuje Elvis Presley?;Rock  
Hudba;1;Kto zložil "Čajkovského balet"?;Čajkovskij  
Hudba;1;Kto spieva pieseň "Shake It Off"?;Swift  
Hudba;1;Kto je autorom piesne "The Sound of Silence"?;Simon  
Hudba;1;Ktorá speváčka má hit "Umbrella"?;Rihanna  
Hudba;1;Kto je frontmanom skupiny Queen?;Mercury  
Hudba;1;Kto spieva pieseň "Someone You Loved"?;Lewis  
Hudba;1;Kto zložil "Nutcracker Suite"?;Čajkovskij  
Hudba;1;Kto je autorom piesne "Stairway to Heaven"?;Page  
Hudba;1;Kto má hit "Rolling in the Deep"?;Adele  
Hudba;1;Kto zložil "Eine kleine Nachtmusik"?;Mozart  
Hudba;1;Kto spieva pieseň "Tears Dry on Their Own"?;Winehouse  
Hudba;1;Aký nástroj je klávesový a má struny?;Hammond  
Hudba;1;Kto je spevákom piesne "Chasing Cars"?;Snow Patrol  
Hudba;1;Kto je známy ako "Král reggae"?;Marley  
Hudba;1;Kto zložil pieseň "In the Hall of the Mountain King"?;Grieg  
Hudba;1;Kto je spevákom piesne "Royals"?;Lorde  
Hudba;1;Kto zložil "Fur Elise"?;Beethoven  
Hudba;1;Kto je autorom piesne "Hey Jude"?;Lennon  
Hudba;1;Kto je speváčkou piesne "Born This Way"?;Gaga  
Hudba;1;Kto má hit "Counting Stars"?;OneRepublic  
Hudba;1;Kto je spevákom piesne "Rude"?;Magic!  
Hudba;1;Kto je autorkou piesne "Stronger"?;Kanye  
Hudba;1;Kto spieva pieseň "Lose Yourself"?;Eminem  
Hudba;1;Kto je autorom piesne "My Heart Will Go On"?;Horner  
Hudba;1;Kto je spevákom piesne "Despacito"?;Fonsi  
Hudba;1;Kto je spevákom piesne "Say You Won't Let Go"?;James  
Hudba;1;Kto zložil pieseň "Clair de Lune"?;Debussy  
Hudba;1;Kto je autorom piesne "I Want to Hold Your Hand"?;Lennon  
Hudba;1;Kto je speváčkou piesne "Just a Girl"?;Stefani  
Hudba;1;Kto má hit "I Gotta Feeling"?;Black Eyed Peas  
Hudba;1;Kto je známy ako "Kráľ hip-hopu"?;Jay-Z  
Hudba;1;Kto spieva pieseň "Let It Go"?;Idina  
Hudba;1;Kto je spevákom piesne "Wake Me Up"?;AVICII  
Hudba;1;Kto je autorkou piesne "Fight Song"?;Rachel  
Hudba;1;Kto zložil pieseň "Carmen"?;Bizet  
Hudba;1;Kto je spevákom piesne "Blinding Lights"?;The Weeknd  
Hudba;1;Kto je známy ako "Kráľ R&B"?;Usher  
Hudba;1;Kto zložil "Symfóniu č. 5"?;Beethoven  
Hudba;1;Kto spieva pieseň "Don't Start Now"?;Dua  
Hudba;1;Kto je speváčkou piesne "Bubbly"?;Colbie  
Hudba;1;Kto je spevákom piesne "All of Me"?;Legend  
Hudba;1;Kto je autorom piesne "Back to Black"?;Winehouse  
Hudba;1;Kto má hit "Fight Song"?;Rachel  
Hudba;1;Kto je spevákom piesne "Firework"?;Katy  
Hudba;1;Kto je autorkou piesne "Hello"?;Adele  
